,cid,votes,含like,含like中文翻译
33553,Ugwi6MPmUUHVJiZrO-V4AaABAg,14000,"every time i thought she was finished, she did like 8 more things...",每当我以为她已经完成时，她都会喜欢8件事...
36749,UgwRFo-eaYSHbYMC5yR4AaABAg,5000,she's already on like year 99 of her harvest moon playthrough lol,她已经在收获月球发挥的99年大声笑了
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
32279,UgyJXYo2X2L5tkjUvfR4AaABAg,3500,"the way she runs to cover her grandmas ears ๐๐ผ so adorable ๐ญ






shit...thanks for over 1,000 likes โค๏ธ๐๐ผ","她的跑步方式遮住了祖母的耳朵






该死...谢谢您超过1,000个喜欢❤️"
28364,UgwAmh9mwbsNn2MrK6F4AaABAg,2200,she's like a disney princess.. but better because she can do anything,她就像迪士尼公主..但是更好，因为她可以做任何事情
34768,UgyQpM0HVnaBQhUMEap4AaABAg,1900,"bro she really living life like that, and i'm out hear stressing away for uni exams woooooow",兄弟，她真的像那样过着那样的生活，我听到我为Uni考试感到压力
21499,Ugy_rDs8BM0sdE53Xk54AaABAg,1600,the way how those animals just followed her. she looked like a princess on disney or something.,那些动物跟随她的方式。她看上去像迪士尼公主之类的。
19491,UgxWYh3tKEOvDyMqR1J4AaABAg,1300,she's like a disney princess,她就像迪斯尼公主
16668,UgwL7olMGPJTHMAkYId4AaABAg,1000,this is like the life i want to live but then i remember i don’t know shit and i’m probably gonna die of starvation,这就像我想过的生活，但后来我记得我不知道狗屎，我可能会死于饥饿
22659,UgyBT7lL44bJijTqXmd4AaABAg,916,"normal person: oh hey, a chestnut

liziqi: i can make like 20 dishes from this.","普通人：哦，嗯，栗子

Liziqi：我可以从中做20道菜。"
33749,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vJkqbFTH5R,882,"@ingestrauss3826 seems our idea of success, doesn't coincide with health and happiness too well. we are working for the man and government (which i thought was the other way around), period. most of us will not be as financially successful as we'd like. in the process we've are ruining nature, instead of protecting it, and letting it provide it's best for us to live and enjoy.",@ingestrauss3826似乎是我们成功的想法，与健康和幸福不太吻合。我们正在为人类和政府工作（我认为这是相反的时期）。我们大多数人不会像我们想要的那样成功。在此过程中，我们正在破坏自然，而不是保护自然，并让它为我们的生活和享受提供最好的生活。
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
3619,UgxBAWnduyrKBfNPB0t4AaABAg,816,i have watched it many times. very magical. she's like living in heaven.,我看过很多次。非常神奇。她就像住在天堂。
23052,UgyEGffCSCapYWhPlt14AaABAg,813,"she is very beautiful
who thinks like here๐‘","她很美丽
谁在这里想到"
9447,UgxqCtHrvTzS35Wy--l4AaABAg,763,"if you have malayalamies, base a likes",如果您有马来亚人，请基于一个喜欢
15197,UgyHTBxfbnOo063npyt4AaABAg,752,i feel like i'm watching a real life ghibli studio anime.. damn,我觉得我正在看现实生活中的吉卜力工作室动漫。
26104,UgwQdehRp_7a7Gz3Xz94AaABAg,745,in fact this video has like 14k dislike made me completely lost faith in humanity.,实际上，这个视频像14K不喜欢，使我对人类完全失去了信心。
36994,UgxYTMrxOTvWAg4hDth4AaABAg,743,seems like she has a more fulfilling life that most of working to pay bills,似乎她的生活更充实，大多数人都在努力支付账单
22051,UgxNG3n_xxdO6362iad4AaABAg,699,sheโ€s like a disney princess with all the animals! i love her little lamb!,她就像所有动物的迪士尼公主！我爱她的小羔羊！
24185,Ugyfp-OANSszCqro3EB4AaABAg,699,"if i die and go to heaven, this is what i want my heaven to look like.",如果我死了，去天堂，这就是我想要天堂的样子。
11044,UgzdqJXifDp179lYdYp4AaABAg,693,"wow, canโ€t believe what i am watching. itโ€s like watching a fairytale in real life!",哇，不敢相信我在看什么。就像在现实生活中观看童话！
37102,UgwA-4glOyOblf3Vlat4AaABAg,660,"i wanna be like her.. please, its so productive and she is so hard worker",我想像她一样..拜托，它是如此富有成效，她是如此勤奋
34524,Ugw5s9z3MVHWUuAa_XR4AaABAg,593,i'm 17 seconds in and the puppies and the lamb following her like wtf how can this be so cute,我17秒钟，幼犬和羔羊像wtf一样跟随她，怎么会这么可爱
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,when i get depressed by reading comments full of hatred about china i come here. this is like the most friendly place towards chinese people. thank you liziqi. it has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
30993,UgzF-bTIu0PQa86x5gB4AaABAg,565,why this much of dislikes... these are the most relaxing videos i have ever seen in youtube.. love from india... kerala,为什么这么讨厌...这些是我在YouTube中见过的最轻松的视频..来自印度的爱...喀拉拉邦
10731,Ugz2WaAc0skSlZWKMmN4AaABAg,525,having a granddaughter like this is a big blessing,有这样的孙女是一个很大的祝福
15625,UgyXRaztSJ9IRryX5hp4AaABAg,499,"she is so hardworking, doing millions of things every day. i feel like i am too lazy...",她是如此努力，每天做数百万件事。我觉得我太懒了...
5272,UgxuFbCwJtXFPl5dIp94AaABAg,496,this just seems like a peaceful fantasy world.,这似乎是一个和平的幻想世界。
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
30492,UgyySwGmDvOFkuceh9F4AaABAg,474,who is this angel like person living in heaven? is it some drama or real..its too good to be true,这个天使是谁，就像住在天堂里的人？这是一些戏剧还是真实的..它太好了，无法实现
34368,Ugy9Gua_ThhMeAwifHN4AaABAg,461,"to the almost 8 thousand people who disliked this, screw you; this woman is amazing",对于近8000人不喜欢这个的人，拧你。这个女人很棒
29166,UgytiuO8JMZGnEFJAPh4AaABAg,459,"how can ppl dislike her videos
i mean
why 
hoooow","PPL如何不喜欢她的视频
我是说
为什么
哦"
21194,UgxPn91sUsWYBwhEF1J4AaABAg,445,"all i wanna know is why we donโ€t make popcorn like that 
that microwave bullshit in my pantry is nothing compared to that awesome explosion","我只想知道的是为什么我们不做那样的爆米花
与那个很棒的爆炸相比，我的储藏室中的微波废话没什么"
8714,UgzHptbh2LhJeCMzfJB4AaABAg,443,i'd rather live in a place like this and enjoy quietly than the bustling city,我宁愿住在这样的地方，安静地享受，而不是繁华的城市
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
20901,UgxbKRpBovS4jA6rNqJ4AaABAg,395,she is so connected with nature like any human supposed to be. sad that we totally lost our connection with nature and its raw energy. that's why we are angry and depressed in the cities.,她像任何人类一样与自然有联系。可悲的是，我们完全失去了与自然及其原始能量的联系。这就是为什么我们在城市中生气和沮丧的原因。
27182,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zRkbehWvop,353,"wow...she sounds like cinderella, but she's better than cinderella.",哇...她听起来像灰姑娘，但她比灰姑娘好。
31226,UgwC5qDWyuspVj4d64Z4AaABAg,330,what on this earth could possess a person to even think of hitting the dislike button?!?! smh...,这个地球上有什么人甚至可以想到击中不喜欢按钮？！？！ SMH ...
