,cid,votes,time,含talent,含talent中文翻译
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,4 years ago (edited),"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
36470,UgyvmxmPJmXATBXTYnV4AaABAg,306,4 years ago,"her whole family can be prop by. such a talented girl.






i love you! intersection","Her whole family can be proud of her. Such a talented girl. 






我爱你！！"
22170,Ugyehpm6WYaRRaPthnp4AaABAg,218,3 years ago,"other people: wow she has so much talent. look at all of her skills

me: wait. is that a round mango?","其他人：哇，她有很多才华。看她的所有技能

我：等等。那是圆形芒果吗？"
11562,UgzV9_5Gzc-peiVcKK94AaABAg,195,2 years ago (edited),"thatโ€s the most hardworking girl iโ€ve ever seen. i want to have her talent and sweet, patient temperament.",那是我见过的最勤奋的女孩。我想拥有她的才华和甜美，耐心的气质。
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,4 years ago,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,4 years ago,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
40196,UgyPjH9TA52o85Jn9RZ4AaABAg,110,4 years ago,this beautiful young woman makes everything look so easy and very attractive!!! she is a unique and extremely talented lady. her work is always amazing and so very fun to watch. beautiful in all aspects!!,这个美丽的年轻女子使一切看起来如此轻松，非常吸引人！！！她是一位独特而极其才华的女士。她的作品总是很棒，而且非常有趣。各个方面都很美丽！
52053,UgxxvHG2mGuYRI4mst94AaABAg,109,4 years ago,hello my talented sis love u and ur video love u so much love from pakistan,你好我才华横溢
14198,Ugwshm7LLdVtz0RqS854AaABAg,91,2 years ago,beautiful..talented..respectful to her elders knows how to do everything..if the apocalypse ever happens i’m looking for her!,美丽的..致命..对她的长者的尊重知道如何做一切。
12556,UgyDYTKXiEQyhi9m2ll4AaABAg,73,2 years ago,this is why i love china. they are very hardworking and very talented. they made for themselves. and so peaceful place it is,这就是为什么我爱中国。他们非常勤奋，很有才华。他们为自己做了。如此和平的地方是
49842,UgwjeVj4yhpd281--314AaABAg,55,4 years ago,"happy chinese new year li ziqi. you're amazing and talented
love from philippines","农历新年快乐李齐。你很棒，才华横溢
来自菲律宾的爱"
32007,UgxxBPIVKdd9bUgvq7h4AaABAg,51,4 years ago,now im thinking.. did she build her own house??? so talented โก,现在我在想..她建造了自己的房子吗？？？如此有才华
48386,UgxFR6K19eEc6NJcB7p4AaABAg,46,4 years ago,"482 ppl disliked her video? wtf is wrong with these ppl, this women is beautiful, hard working, smart and so talented, i envy her.",482 PPL不喜欢她的视频？ WTF对这些PPL是错误的，这个女人是美丽，努力工作，聪明和才华横溢的，我羡慕她。
13845,UgwC3w1V9TVaQSDZPA94AaABAg,42,2 years ago,"how to love your homeland in order to be able to show the nature and everyday life of people in rural areas so beautifully and unobtrusively! bravo! very talented! and what a rich nature of china, just delight!",如何爱您的家园，以便能够如此美丽，毫不客气地展现人们在农村地区的自然和日常生活！勇敢！很有天赋！中国的丰富本质，只是高兴！
37577,UgzyTwBIRtNni_75EWt4AaABAg,37,4 years ago,you are the most beautiful and talented youruber from china. love you.,您是来自中国最美丽，最有才华的您。爱你。
12854,UgzaynMUyEnzlo5p4cl4AaABAg,32,2 years ago,she is a talented young girl she has a bright future,她是一个才华横溢的年轻女孩，她的未来有光明
46928,UgykGdTXcviBxCE0M3h4AaABAg,32,4 years ago,like her personality she is full of energy and so talented with everything no matter what if it is cooking or hard labor.your pets are so adorable.,像她的个性一样，她充满活力，无论是在做饭还是辛苦的劳动，都有一切才华。您的宠物太可爱了。
23129,UgxOxDUMwQ6VYP3KV-l4AaABAg,26,3 years ago,talents are definitely talents. this is the real short video,人才，绝对是人才。这才是真正的短视频
22449,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN935FNYZNSPp,25,3 years ago (edited),"it's back to basics. i need to go live in a farm eventually. no stress from city living. no commutes. to be surrounded by horses, cows and dogs. in a way my 90 yr old dad is doing this. we have fresh cow's milk everyday. and a full year supply of rice from my brother who tills the land. we learned a lot of skills from our dad. my brothers are very talented (can do many different things) while i, on the other hand, pursued opportunities in the corporate world. one or two more years, i will be leaving the big urban jungle for a simple life.",这回到了基础。我最终需要在农场生活。没有城市生活的压力。没有通勤。被马，牛和狗包围。从某种意义上说，我90岁的爸爸正在这样做。我们每天都有新鲜的牛奶。以及我哥哥耕种土地的全年饭。我们从父亲那里学到了很多技能。我的兄弟们很有才华（可以做很多不同的事情），而另一方面，我在企业界寻求机会。一两年来，我将离开大城市丛林，过着简单的生活。
2287,UgzHgmGoevO6JnYrNuF4AaABAg,24,1 year ago,thank you! talent and beauty are brilliant together! we love the whole family,谢谢你！才能和美丽在一起！我们爱整个家庭
24462,UgxCd3xzPpKU8CM_ofJ4AaABAg,23,3 years ago (edited),"i think li is the true legend. the most talented woman iโ€ve seen on the internet. 

by the way i think 6:52 is not a melon seeds but a sunflower seeds.

edit: i forgot to mention the puppies and lamb. they are so cute ๐๐","我认为李是真正的传奇。我在互联网上见过的最有才华的女人。

顺便说一句，我认为6:52不是瓜子，而是葵花籽。

编辑：我忘了提到幼犬和羔羊。他们是如此可爱"
38541,Ugx1P89G_Bd-0LVKkF54AaABAg,19,4 years ago (edited),"when i watch your videos i feel peaceful, you are a wonderful human being and depending on what i saw, i think you are really talented and experienced in such young age .
amazing .","当我观看您的视频时，我会感到和平，您是一个很棒的人，根据我所看到的，我认为您在如此年轻的时候就非常有才华和经验丰富。
惊人的 。"
52404,Ugyfn3GGP_3ySLqYf594AaABAg,17,4 years ago,diz girl is multitalented n very hard working,diz女孩是多元化的N非常努力的工作
28524,UgzgwKSHJKRPjTR_3nJ4AaABAg,17,3 years ago,liziqi is so talented. ๐‘๐‘โ her granny ( grandmother is very lucky.) life should be like this โค,Liziqi是如此有才华。
26117,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-8zuTZbfpPYO,17,3 years ago,"bunnyfreakz you canโ€t expect everyone to like what sheโ€s doing. sheโ€s a really talented person, but not everyone would like it.",Bunnyfreakz，您不能指望每个人都喜欢她在做什么。她是一个非常有才华的人，但并不是每个人都喜欢。
2054,UgxKuXO04jUL3t_QBnd4AaABAg,16,1 year ago,"this is the first video that i've seen from lizqi back in 2020 if i not mistaken..it really amazed me, and i've been her fans since that..what a talent you had girl. may god bless you and your grandma with good health throughout this year and advance.",这是我在2020年从Lizqi看过的第一部视频，如果我没有误会。愿上帝保佑您和您的祖母在今年健康状况良好，并进步。
31264,UgwBHMGguXljvNp565V4AaABAg,16,3 years ago,this is what everyone had been dreams of. live in the village with all we need. super talented girl thumbs up ๐‘๐‘,这就是每个人都是梦想的。我们所需要的一切都住在村庄。超级才华的女孩大拇指
50774,UgyKUcf7SCfDlQCsLN14AaABAg,14,4 years ago,wow. such a great passion and talent. you are very bless li. happy new year,哇。如此伟大的热情和才华。你很祝福李。新年快乐
5545,UgxtsHt7oFimDzVx_j14AaABAg,13,2 years ago (edited),"favorite channel. i am a good liziki. the girl is glorious. darling. beautiful and very talented. your channel, my girl, is a pleasure to watch. god forbid you a paw and your grandmother of health and many years of life",最喜欢的频道。我是一个很好的利兹基。这个女孩很光荣。亲爱的。美丽而很有才华。我的频道，我的女孩，很高兴观看。上帝禁止你是爪子和你的祖母健康和多年的生活
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
36491,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8uXEy4sqEjG,12,4 years ago (edited),mang kanor i mean by how she does stuff ofcourse she can have that life style but living that type of life sure its not easy. because those things are difficult to do even with that life style they could easily go wrong thats why i said she is a talented girl,曼格·凯诺（Mang Kanor）我的意思是说她如何做自己的事情，她可以拥有这种生活方式，但过着这种生活类型的生活，确保这并不容易。因为这些事情即使生活方式也很难做，所以他们很容易出错，这就是为什么我说她是一个才华横溢的女孩
16856,UgxLNW1P3lxL7potNSh4AaABAg,11,3 years ago,we all need a girl like her. so hardworking and talented.,我们都需要一个像她这样的女孩。如此勤奋和才华。
3293,UgxsWCSQENIQVksug5t4AaABAg,10,1 year ago,she is so talented...... and her creativety of,她是如此才华横溢……以及她的视频的创造力，真的很放松
41487,UgxECOdJicp4FScGJCp4AaABAg,10,4 years ago,just love watching her do her things. such a young girl and so talented...so inspiring and a good example for today's young generation.,只是喜欢看着她做她的事情。如此年轻的女孩和才华横溢……如此鼓舞人心，这是当今年轻一代的一个很好的榜样。
14599,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Aazs_vMPlT,9,2 years ago,too talented.,太有才了。
22457,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN93N-OpVdmYy,9,3 years ago,"โ€ @theroyalfight lol, she's a wealthy lifestyle blogger nowadays. a video with 1 million views can make $3000 โ€“ $7000 in adsense and she gets several million views per upload along with accumulating views. so that's a little bit of a stretch to act like shes actually roughing it, but nevertheless i love her and shes very talented and her and her grandmothers land is beautiful.",@theroyalfight大声笑，她是当今富裕的生活方式博客作者。一百万次观看次数的视频可以使$ 3000 - $ 7000的Adsense录制，她每个上传获得数百万次观看次数以及累积的观看次数。因此，这有点像她实际上是在粗糙的，但是我爱她，她非常有才华，她和她的祖母的土地很美。
37739,UgzdqA8YfoGbtHSInKx4AaABAg,8,4 years ago,"8:52 nice hiroshima lemon. 
jk nice video, you are very talented and hardworking!","8:52漂亮的广岛柠檬。
JK不错的视频，您非常有才华和勤奋！"
27243,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-42miArLcP,8,3 years ago,"this is from an media interview of her. i read the original interview transcript. unless we think that what she said during the interview was fake, she did deserve a better life and all the respect. i chose to believe her because i have done some of the things shown in her videos while i was young. i could tell that the way she did those jobs is natural and experienced, definitely not fake posing for filming. best wish to this talented, independent and beautiful girl",这是来自她的媒体采访。我读了原始的面试成绩单。除非我们认为她在采访中所说的是假的，否则她确实应该得到更好的生活和所有的尊重。我之所以相信她，是因为我年轻的时候做了她视频中显示的一些事情。我可以说她做这些工作是自然而有经验的方式，绝对不是假装拍摄的假装。祝这个才华横溢，独立和美丽的女孩
36490,UgyvmxmPJmXATBXTYnV4AaABAg.8uUOtMcYkny8uWleMWisrS,8,4 years ago,its not talent. its her lifestyle.,它不是才华。它的生活方式。
39016,UgyPh2yRxNLsA8xAwRN4AaABAg,8,4 years ago,omg her pets are sooo adorable. she is gifted with beauty and talent!,天哪，她的宠物太可爱了。她充满了美丽和才华！
14603,UgyL8ZC4sr-CLXxfCap4AaABAg.9AVBpd2l1cF9Ae8Idyocb4,7,2 years ago,talented,有才
37140,UgwNBZ02I9nAy5ZkH-R4AaABAg,7,4 years ago,you are amazing and truely an inspiration to others.love your attitude and talents.๐๐,您真是太神奇了，真正的灵感来启发您的态度和才华。
37356,UgzG5C_ih7AEjutI0x14AaABAg,7,4 years ago,u r sooooo super talented...from india with love..piu..wanna see more of such videos๐๐,你是超级才华的...来自印度的爱情.. piu .. wanna查看更多此类视频
32334,Ugy5u7NaEU3Gr20NUF94AaABAg,6,4 years ago,nice work ๐‘๐‘the girl is so talented,做得好
37219,UgxCS9-gVm-2-lf5dVF4AaABAg,6,4 years ago,^_^ you are the most beautiful and talented youruber from china. love you.,^ _^您是来自中国最美丽，最有才华的您。爱你。
40393,Ugw9wo4AjMlGZxH0jjZ4AaABAg,6,4 years ago,"let's hope you subscribed to receive your youtube buttons. your videos are amazing.
you are an amazing talented beautiful woman","希望您订阅以接收YouTube按钮。您的视频很棒。
你是一个了不起的才华横溢的美丽女人"
