,cid,votes,time,含channel,含channel中文翻译
49373,Ugwc2G9zgVIeMLRaiRB4AaABAg,1100,4 years ago,"my god, i love this channel! everything looks so perfect.",我的天哪，我爱这个频道！一切看起来都很完美。
35989,UgyhyXflybsr2hUCb_B4AaABAg,809,4 years ago,her channel is the purest thing i've ever come across on youtube.,她的频道是我在YouTube上遇到过的最纯粹的事情。
1709,UgyPBtl1WQcovNWYrzV4AaABAg,762,1 year ago,"3 years ago, i accidently found your video. your videos helped me to overcome my insomnia. when i cannot sleep, i’m always come back to your channel. i wish you will comeback & upload everything that you want. i’ll wait for you ziqi. stay safe & comeback stronger. i miss you.",3年前，我不小心找到了您的视频。您的视频帮助我克服了失眠。当我无法入睡时，我总是回到您的频道。希望您会卷土重来并上传所需的一切。我会等你ziqi。保持安全和卷土重来。我想你。
7523,Ugz33gk2n58Ad39Ysvt4AaABAg,701,2 years ago,"you could dump this girl in the wilderness, and you'd come a year later to see that she already has a furnished house, eats nutritious meals, and has befriended and domesticated the animals xd

i love this channel so much.","您可以在荒野中丢弃这个女孩，一年后，您会看到她已经有家具屋子，吃了营养餐，并与动物成为了XD的朋友和驯化

我非常喜欢这个频道。"
36716,UgwlBcbmXfA4FTQmFKR4AaABAg,573,4 years ago,"i just found your channel today and absolutely love it!! i love the editing, music, quiet/gentleness to your videos. your environment is amazing! you live a very blessed life. i wish i could live with you, be your sister and learn everything i could from you!",我今天刚刚找到了您的频道，绝对喜欢它！我喜欢您的视频的编辑，音乐，安静/温柔。您的环境很棒！你过着非常幸福的生活。我希望我能和你一起生活，成为你的妹妹，并从你那里学习一切！
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,4 years ago,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
18941,UgxExBuLZG_8QnjAucB4AaABAg,340,3 years ago,i didn't know there is a channel for live-action ghibli-movies!,我不知道有一个真人纪念日的频道！
3973,Ugx_C_mW3h0hF00gVzF4AaABAg,311,1 year ago (edited),this is literally my favorite youtube channel. ❤️❤️❤️ i notice that there’s purpose and knowledge in every notion that she does and i love it!,这实际上是我最喜欢的YouTube频道。我注意到她这样做的每个观念都有目的和知识，我喜欢它！
45836,UgzrtQDx9C_PCuqtJPp4AaABAg,254,4 years ago,"this channel deserve 10 m subscribers
cinematography is not joke, like a movie, those puppy and sheep, why im so late","这个频道值得10 m的订户
摄影不是在开玩笑，就像电影，那些小狗和绵羊一样，为什么我这么晚了"
5715,UgwzBQg7-QBAITj3EZl4AaABAg,243,2 years ago,"91m views?
damn... this channel is amazing","91m的视图？
该死...这个频道很棒"
