,cid,votes,含love,含love中文翻译
27160,UgwoBK95SLTCe-m60uJ4AaABAg,11000,thanks to her for inspiring me to film my mom's video ! love from vietnamese.,感谢她激励我拍摄妈妈的视频！来自越南人的爱。
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
35365,UgyIlNkDFoFy949wgSV4AaABAg,4200,"i love how thereโ€s just a puppy and two lambs following her. 

honestly. goals.","我喜欢只有一只小狗和两个羔羊跟随她。

诚实地。目标。"
22430,Ugzk2hZzSJPMNCq5HPR4AaABAg,2100,"no matter how i need and love technology. this is the life i always dream. free from debt, free from worries, free from expectations, free from the eyes and standards of society. just living peacefully",无论我如何需要和热爱技术。这是我一直梦想的生活。没有债务，不用担心，没有期望，没有社会的眼睛和标准。只是和平地生活
49373,Ugwc2G9zgVIeMLRaiRB4AaABAg,1100,"my god, i love this channel! everything looks so perfect.",我的天哪，我爱这个频道！一切看起来都很完美。
33051,UgyTWmyBvRkc3cSrLPF4AaABAg,1000,i love the lamb following her. most precious โค๏ธ i am absolutely infatuated with all of this.,我爱羔羊跟随她。最珍贵的❤️我绝对对所有这一切感到痴迷。
32048,UgwlrcsnlxBK_XQhCXd4AaABAg,920,"i honestly love, how she treats her grandma with so much respect and how she does everything for her grandma. plus this video is so calming",我老实说，她如何以如此尊重的方式对待祖母，以及她如何为祖母做一切。加上这个视频是如此平静
26959,Ugy8RAAnp_ZBpY9JrQ94AaABAg,920,i love that the sheep and the dogs follows her around๐ฅฐ๐ฅฐ,我喜欢绵羊和狗在她周围跟随她
37727,UgzF0WVAyf7I8zUtQfJ4AaABAg,803,i love how there are puppies and a lamb following her at the beginning uwu,我喜欢幼犬和羔羊在uwu开始跟随她
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
7523,Ugz33gk2n58Ad39Ysvt4AaABAg,701,"you could dump this girl in the wilderness, and you'd come a year later to see that she already has a furnished house, eats nutritious meals, and has befriended and domesticated the animals xd

i love this channel so much.","您可以在荒野中丢弃这个女孩，一年后，您会看到她已经有家具屋子，吃了营养餐，并与动物成为了XD的朋友和驯化

我非常喜欢这个频道。"
22051,UgxNG3n_xxdO6362iad4AaABAg,699,sheโ€s like a disney princess with all the animals! i love her little lamb!,她就像所有动物的迪士尼公主！我爱她的小羔羊！
15555,Ugz6Crq1rQZ_uHYCX094AaABAg,618,i love how she doesn't hide the fact that she's scared of the popcorn thing,我喜欢她不隐藏她害怕爆米花的事实
36716,UgwlBcbmXfA4FTQmFKR4AaABAg,573,"i just found your channel today and absolutely love it!! i love the editing, music, quiet/gentleness to your videos. your environment is amazing! you live a very blessed life. i wish i could live with you, be your sister and learn everything i could from you!",我今天刚刚找到了您的频道，绝对喜欢它！我喜欢您的视频的编辑，音乐，安静/温柔。您的环境很棒！你过着非常幸福的生活。我希望我能和你一起生活，成为你的妹妹，并从你那里学习一切！
30993,UgzF-bTIu0PQa86x5gB4AaABAg,565,why this much of dislikes... these are the most relaxing videos i have ever seen in youtube.. love from india... kerala,为什么这么讨厌...这些是我在YouTube中见过的最轻松的视频..来自印度的爱...喀拉拉邦
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,"her videos came to my attention by my 10-year-old daughter, she loved watching her videos on youtube. now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning mandarin and this video will help us to know a little more about the traditional chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
