语种,Language,数字,地区
英语,English,25587,English
中文,Chinese,3494,Chinese
emoji,Emoji,3011,符号表情
越南语,Vietnamese,2287,亚洲
韩语,Korean,1910,亚洲
阿拉伯语,Arabic,1488,Arabic
俄语,Russian,1408,Russian
西班牙语,Spanish,1325,Spanish
印尼语,Indonesian,1104,亚洲
葡萄牙语,Portuguese,851,Portuguese
索马里语,Somali ,700,非洲
罗马尼亚语,Romanian ,627,欧洲
布尔语,Boer ,622,非洲
日语,Japanese ,595,亚洲
意大利语,Italian ,592,欧洲
泰语,Thai ,578,亚洲
菲律宾语,Filipino ,568,亚洲
斯瓦希里语,Swahili ,522,非洲
波兰语,Polish,506,欧洲
法语,French ,492,French 
德语,German ,440,欧洲
土耳其语,Turkish ,438,亚洲
威尔士语,Welsh ,374,欧洲
挪威语,Norwegian,348,欧洲
荷兰语,Dutch ,345,欧洲
爱沙尼亚语,Estonian ,338,欧洲
斯洛文尼亚语,Slovenian ,245,欧洲
芬兰语,Finnish ,244,欧洲
加泰罗尼亚语,Catalan ,218,欧洲
丹麦语,Danish ,196,欧洲
克罗地亚语,Croatian ,185,欧洲
阿尔巴尼亚语,Albanian ,175,欧洲
波斯语,Farsi ,163,亚洲
斯洛伐克语,Slovak ,146,欧洲
瑞典语,Swedish,134,欧洲
捷克语,Czech ,133,欧洲
马其顿语,Macedonian ,125,欧洲
保加利亚语,Bulgarian ,81,欧洲
马拉亚拉姆语,Malayalam ,79,亚洲
立陶宛语,Lithuanian ,65,欧洲
匈牙利语,Hungarian ,64,欧洲
孟加拉语,Bengali ,63,亚洲
乌克兰语,Ukrainian ,57,欧洲
乌尔都语,Urdu ,51,亚洲
柬埔寨语,Cambodian ,38,亚洲
拉脱维亚语,Latvian ,34,欧洲
印地语,Hindi ,15,亚洲
泰米尔语,Tamil ,13,亚洲
老挝语,Lao ,11,亚洲
缅甸语,Burmese ,8,亚洲
泰卢固语,Telugu,7,亚洲
马拉地语,Marathi ,5,亚洲
希腊语,Greek,5,欧洲
僧伽罗语,Sinhala,4,亚洲
尼泊尔语,Nepali ,4,亚洲
卡纳达语,Kannada ,2,亚洲
希伯来语,Hebrew ,1,亚洲
旁遮普语,Punjabi,1,亚洲
库尔德语,Kurdish,1,亚洲
注：多地通用语言是指,,,
