,cid,votes,含channel,含channel中文翻译
30871,UgzwGoc9tWSZUi0myDV4AaABAg,4900,this channel beats anything they're showing on food network in the states.,该频道击败了他们在美国食品网络上显示的任何东西。
18265,Ugz0HSm7t2DGvsE_jfR4AaABAg,434,no cooking channel or modern chefs are as good as she. she's an angel from heaven.,没有烹饪渠道或现代厨师和她一样好。她是天堂的天使。
28236,UgzFSH_E5j37KtyOwAJ4AaABAg,393,everything she has is reusable or can be given back to the earth. i love this channel. it's everything we can only dream for the world to be.,她拥有的一切都是可重复使用的，或者可以归还地球。我喜欢这个频道。这是我们只能梦dream以求的一切。
26194,UgwzdQr9XSbrxvGNSQF4AaABAg,249,"today is august 21, 2019 exactly two years since this channel was established. congratulations liziqi, our dear princess. happy 2nd year anniversary, we wish you more years of success and happines",今天是自该频道建立以来的2019年8月21日。恭喜我们亲爱的公主利兹奇。二周年快乐，祝您成功多年，快乐
31913,Ugz5SQzSVIB9U4-q1np4AaABAg,211,"after observing for a period of time, i found that there are the following characteristics of the ziqi channel:
the first is that the fan base is wide and thick. as a oil pipe channel that is not managed by myself,
and there is no interaction with the fans on the oil pipe, and it is not easy to achieve the current scale.
after all, the channel originally started from the help of fans, and it felt a bit ""inadvertently inserted willow and willow"";
secondly, the video praise rate is high, which is nearly 10 times higher than the general channel. this is amazing.
explain that the quality of the video is high, unlike the channels that have a lot of subscriptions on the oil pipe are the same as scum.
after all, there are too many channels on the channels that scam money every day after they are named.
the last is that the channel is highly popular, and the number of comments itself explains everything.
and i dare to ensure that there are few big channels such as such a harmonious channel on the entire oil pipe.
ziyi here is one of them, like a world of integration in the world.","观察了一段时间，发现子柒频道有以下几个特点：
首先是粉丝群又广又厚，做为一个不是自己亲自管理的油管频道，
而且在油管上和粉丝毫无互动，能做到目前这样子的规模很不容易，
毕竟频道最初是从粉丝帮忙搬运起家，多少有点“无心插柳柳成荫”的感觉；
其次是视频点赞率高，比一般频道高出近10倍的点赞率，这点很了不起，
说明视频质量高，不像油管上好多千万订阅的频道都是渣一样的点赞率，
毕竟出了名之后每天发点烂片混日子骗钱的频道油管上太多太多了；
最后就是频道人气高，评论数量自身就说明了一切，
而且我敢保证整个油管上这么和谐的大频道根本就没几家，
子柒这里就是其中一家，俨然一副世界大融合的景象。"
32039,UgxdEhj-cZs-wEm9c4x4AaABAg,193,"this is the only channel that i eagerly look forward to watching. so much hard work done by her and her crew, thanks.",这是我热切期待观看的唯一频道。谢谢她和她的船员做很多艰苦的工作，谢谢。
24866,Ugz732P_cYX2F7Gyz7h4AaABAg,184,i don't know what brings me here but i love watching all the videos in this channel. amazing!,我不知道是什么把我带到这里，但我喜欢观看此频道中的所有视频。惊人的！
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,this is the best channel to introduce chinese culture. i love to learn chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
29675,Ugzg8N-zNQuI6a4Fwe14AaABAg,146,i discovered her at 2am and i literally think there is no better channel. her videos are soothing and educating and honest content.,我在凌晨2点发现了她，我从字面上认为没有更好的频道。她的视频正在舒缓，教育和诚实的内容。
26811,Ugw2CTV6Au8er71Xs2V4AaABAg,103,i find myself watching this channel every sunday afternoon...so relaxing,我发现自己每个星期日下午都在看这个频道...所以放松
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
25343,Ugz38EA5dToJR4R-RF94AaABAg,75,your channel is a true gem! a diamond that shines and sparkles! i love your videos more than i can say!,您的频道是一个真正的宝石！钻石闪闪发光的钻石！我比我所说的更爱你的视频！
4187,Ugz0fOYcp3pdjVTAsdt4AaABAg,67,"this is really the favorite channel. i often look at the whole family, while watching the distant motherland, is there the same as me?",这真的是最爱的频道了，经常全家四口一起看，边看边想着遥远的祖国，有和我一样的吗？
24867,UgwNbCpU6Bu3-5x6qAV4AaABAg,60,i really love your channel and what you do. i finally found a channel with no hate comments . who could any one not like this. i actually started a garden because of you . thank you so much for the inspiration❤️❤️,我真的很喜欢您的频道以及您的工作。我终于找到了一个没有仇恨评论的频道。谁能不这样的人。我实际上是因为你而开了一个花园。非常感谢您的灵感❤️❤️
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
