,cid,votes,time,含great,含great中文翻译
6320,UgzrOgipSKHwc8hEvCV4AaABAg,428,2 years ago,"my name is hrithika from kerala ,india.iam only 8 years old.my sister is typing this for me. iam your great fan ๐.i wish to make a land like yours",我叫来自印度喀拉拉邦的Hrithika。我的姐姐只有8岁。 iam你的忠实粉丝
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,3 years ago (edited),"li ziyi ~ always gives people a total fresh and refined, traditional chinese women's beauty. the image that can be great !!
please continue to cheer !! do more and more high -quality and simple chinese style videos to educate more people ~ thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
29809,Ugx2hZVd-RV0W0AJc114AaABAg,58,3 years ago,"really adorable videos, great movie experience!",真的很可爱的视频，很棒的电影体验！
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,3 years ago,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
33871,UgxSiZnyRA-c60kRMLR4AaABAg,45,3 years ago,she is totally great.... luv her all videos.... and we army wait for ur videos and when we see that u have uploaded a new one.... click!!!!!... luv from india,她非常棒。。。
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,3 years ago,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,3 years ago (edited),"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,3 years ago,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
7369,Ugzlr7VPmCeTez98pNV4AaABAg,35,2 years ago,i feel like if she met the primitive tech guy they would make great friends and have a lot to talk about,我觉得如果她遇到了原始技术人员，他们会结交好朋友，并有很多要谈论的
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,3 years ago,wow chinese food is so great. will surely visit the middle kingdom on day. love from india!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
33917,UgwWzHvkZtzjRE4rhb94AaABAg,30,3 years ago,"liziqi and team thanks for all your video, such a great work, everything is awesome
♥from indonesia","Liziqi和Team感谢您的所有视频，如此出色的工作，一切都很棒
♥来自印度尼西亚"
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,2 years ago (edited),"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,2 years ago,"wow. chinese have a great traditional food clothes house and life style.one day i hope i will able to visit this country as a tourist. 
from bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
29732,Ugz3SQWDuku2EyRlrQV4AaABAg,19,3 years ago,"the first time you follow you are in a beautiful shot. at that time, the update was too slow. i repeatedly read the previous works every day. later, i was too busy to forget it. i did n’t expect yesterday to search for the youtube channel on tv yesterday. see your work again! intersection it's great. every time you look at your work, you just enjoy it. from raw materials to the last finished product, it is like showing the life of each food.",第一次关注你是在美拍，那时候更新太慢了，每天就重复的看之前的作品，后来太忙就慢慢给淡忘了，没想到昨天无聊在电视上搜YouTube频道竟然在油管又重新看到你的作品！！太棒了，每次看你的作品简直就是享受，从原材料到最后的成品，简直就像展示每个食物的一生归宿
23271,Ugxe5e3fIautK1xmID14AaABAg,18,3 years ago,"is that possible for me to visit such place? the director of this channel is out of this world i guess, such a great artist.",我有可能参观这样的地方吗？我想这个频道的导演不在这个世界上，这是一位伟大的艺术家。
2505,UgyoGO1hmLz43jfW6A54AaABAg,18,1 year ago,"wonderful this way of living and eating, it would be great to translate everything, and know the ingredients",这种生活和饮食方式很棒，可以翻译所有内容并知道成分很棒
2366,UgydjI962gS1QDC0BVt4AaABAg,18,1 year ago,"you're so hardworking and beautiful, i love the simplicity. also you're a great cook, i would really like to learn some of your recipes",您是如此的努力和美丽，我喜欢简单性。另外，您是一个很棒的厨师，我真的很想学习您的一些食谱
15716,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L93C8cnPrZO_,17,3 years ago,greaterbayarea hero her grandparents raised her up after both her parents passed away,她的父母双方都去世后，她的祖父母大英雄抚养了她
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,3 years ago,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
20411,UgyKrdJx29nms3VrjAB4AaABAg,17,3 years ago,she is one of the greatest humans alive,她是活着的最伟大的人之一
3036,UgxRBV2GuNmq6g5LyzV4AaABAg,17,1 year ago,it's just great !!! thank you my friend!!!,太好了！！！谢谢，我的朋友！！！
9658,UgwYhSe8t-2VOmfNYlR4AaABAg,16,3 years ago,"great cinematography, love the quality of the sound and editing.",出色的摄影，喜欢声音的质量和编辑。
17792,UgzNjAlpW0sWSQUe5HF4AaABAg,15,3 years ago,"i really like her food making video, my sister is great",真的是很喜欢她的美食制作视频，小姐姐太棒了
8566,Ugy6kUOOslDOOMFRTUh4AaABAg,14,2 years ago,"i didn't even watch the content, just closed my eyes and listen to the music and the sound of her activities brought peace to my mind. great video by the way.",我什至没有看内容，只是闭上了眼睛，听音乐和她的活动的声音使我想到了和平。顺便说一句，很棒的视频。
3362,UgyY2ZuRGSZMSq0ofth4AaABAg,13,1 year ago,"ziyi, you are great! i really like your work 的",子柒妳好棒啊！好喜欢妳的作品
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,3 years ago (edited),pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
31776,UgxnJvlynXyoniJoWY94AaABAg,12,3 years ago,the dislikers are the ones who try to copy you and fail miserably. you are great and keep up the good work.,不喜欢的人是那些试图复制您并惨败的人。您很棒，并保持良好的工作。
27609,UgzhrQjPKdpb0a_ROUB4AaABAg,12,3 years ago,another great video... i love ur grama shes so cute*,另一个很棒的视频...我爱你的grama她是如此可爱*
26471,UgyfGuFAaJcps3oWHdB4AaABAg,11,3 years ago,dang... this lady n her mom / granny blessed with a great foods. so yummy!,ang ...这位女士n她的妈妈 /奶奶祝福了美味的食物。很好吃！
13011,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96C-9LSAC-Z,10,3 years ago,"great in theory, impossible in practice",理论上很棒，在实践中不可能
33360,UgwxZQ4DEcDWB2Tx3694AaABAg,9,3 years ago (edited),i just love your peaceful videos living simple wonderful life and the noodle dish looks great.,我只是喜欢您的和平视频，过着简单的美好生活，面条菜看起来很棒。
31692,Ugzwq0QZyJaOcraGqYh4AaABAg,9,3 years ago,this meal looks absolutely delicious and healthy. thanks for sharing. this video shows great respect for the wonderful foods on earth and how we can present them.,这顿饭看起来绝对美味又健康。感谢分享。该视频非常尊重地球上美妙的食物以及我们如何展示它们。
18990,UgwNuqpROZ99_IQPms14AaABAg,8,3 years ago,"i recently learned about li ziran. i just watched a few videos. wow, it was great. i lived a lot of people who wanted to have a burden on life.",最近才了解到李子染，刚刚看了几个视频哇塞实在太棒了，活出了许多人想要的样子，也没有生活负担，挺你！
7750,UgwAYbfx0JzpBPmlOJh4AaABAg,8,2 years ago,sheโ€s remind me of my great grandmother. she had a hard life as well,她让我想起了我曾祖母。她也过着艰难的生活
9294,UgzmIwoVeD_8J-tEgUV4AaABAg,8,2 years ago,sichuan people are so spicy 'great! admire!,四川人辣的好' 厉害!佩服!
29027,UgxrxlDmInXxSqPwncJ4AaABAg,8,3 years ago,"as always, everything is divine and beautiful !!! glad to see grandmother again !!! thanks for the great video",和往常一样，一切都是神圣而美丽的！！！很高兴再次见到祖母！！！感谢您的精彩视频
30090,UgyqId_fXI02_RJpsUh4AaABAg,8,3 years ago,"ziyi always supports likes, it's really great",子柒永远支持按赞，真的好棒
8835,Ugz155ulCsI6rTV9VWJ4AaABAg,8,2 years ago,i just realize sheโ€s cooking without any electricity! just like my great grandmother did.,我只是意识到她在做饭没有任何电！就像我曾祖母一样。
33298,Ugx0E2Wvm4_pHpN1BYx4AaABAg,7,3 years ago,great video so peaceful!! from portland oregon usa,很棒的视频如此宁静！来自美国波特兰的美国
