,cid,votes,含calm,含calm中文翻译
19925,Ugy64b8Tc-CR9fv_DdR4AaABAg,807,why are there 10k dislikes ..like people her videos are extremely aesthetic and calming and a lot of effort is required for these videos and she's feeding her grandma and giving us amazing content. why would you dislike this :(,为什么有10k的不喜欢。就像她的视频非常美观和平静，这些视频需要付出很多努力，她正在喂奶，并给我们提供了惊人的内容。你为什么不喜欢这个:(
30794,UgwDVTXYsWe6xG0NRJp4AaABAg,424,watching your videos calm my soul. you always show me that nature provides and it's up to us on how we can use it efficiently.,看着你的视频平静我的灵魂。您总是向我展示自然提供的，这取决于我们如何有效使用它。
32783,Ugzdz9B1qq9i0ys8Jb54AaABAg,367,"no matter how many millions of money we have in our bank accounts..if there is no peace of mind,healthy body and calm life..nothing can replace these",无论我们在银行帐户中有多少钱。如果没有安心，健康的身体和平静的生活。
25059,Ugytvmc3UbnvGly8w114AaABAg,237,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
15819,Ugz9yIW0_sTfOVZcda54AaABAg,185,why is this so damn calming,为什么这么该死的平静
6585,Ugy3xkTYxlTAID94IdJ4AaABAg,107,"i wish one day could live in place like this,so calming,relaxing,quiet place",我希望有一天能像这样生活，如此平静，放松，安静
3418,UgzNKYkV0tCUPFX9ZQp4AaABAg,89,"every time i saw ziyi's video, i felt very calm in my heart ... this is her unique charm, right?",每次看到子柒的视频心里就觉得很平静.....这就是她独特的魅力吧
14712,UgxCv7t-PZ3g7-WyfWx4AaABAg,67,"the quality, music, sound of nature, the sound of the pots and cutting are so calming to me",质量，音乐，大自然的声音，花盆的声音和割ch的声音对我来说是如此平静
11163,UgzUVB8vI2wBd2A43_h4AaABAg,31,"calm piano music: exists
insects: shhhhhhhhhhhhhhhhhhhhhhhhhh","平静的钢琴音乐：存在
昆虫：shhhhhhhhhhhhhhhhhhhhhhhhhh"
24212,Ugz70msks_b7G0fXLRJ4AaABAg,25,"watching from jamaica 
such a peaceful and calming video
shout out to all the caribbean peeps watching this","从牙买加观看
如此和平与平静的视频
向所有加勒比海窥视大喊看着这个"
13349,Ugy2EFfv0hjylyXBje54AaABAg,19,"she is pretty, and calm.. how beautiful..",她很漂亮，镇定..多么美丽。
9955,UgykU8u40JDLh8OfSS14AaABAg,18,"so serene to watch her! so calm, so peaceful! 
love from india! โฅ๏ธ","如此安静地看着她！如此镇定，如此宁静！
来自印度的爱！ ♥谢"
18218,UgwFis8As12YuknLUBZ4AaABAg,15,"there are still pickles. just looking at my heart, i feel very calm, peaceful, and give me a comfortable feeling. i started to like you",竟然还会腌菜，光是看着内心就感到很平静，安祥，给我一种舒服的感觉。开始喜欢你了
