,cid,votes,含good,含good中文翻译
18265,Ugz0HSm7t2DGvsE_jfR4AaABAg,434,no cooking channel or modern chefs are as good as she. she's an angel from heaven.,没有烹饪渠道或现代厨师和她一样好。她是天堂的天使。
24746,UgywjeuRIp_tgmm9JFZ4AaABAg,402,"liziqi: makes really good home made food by getting it from plants and lakes she finds 

me: eats mcdonald’s while watching liziqi","Liziqi：从她发现的植物和湖泊中获得真正的自制食物

我：看麦当劳一边看利兹奇"
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
27526,UgzAZjJKw_o8AI7YzX94AaABAg,198,"yes, i am a chinese. those dishes are edible after pickling! it tastes good! sour, crisp",是的，我是中国人。这些菜是可食用的！味道很好！酸，酥脆
32352,UgxHrpF8FQeeEcny9RZ4AaABAg,168,"more than 500k views in 4 hours .... wow! her following is very huge, but understandable coz her video indeed are very good. keep it up... liziqi.",4个小时内的50万次浏览量超过50万次。她的关注非常巨大，但可以理解的，因为她的视频确实非常好。继续... liziqi。
4136,Ugx2Bn8O1FroGaCiTYp4AaABAg,151,"in a time where everything is fast and noisy, it's good to get these relaxed vibes and natural sounds, like drops of water, birds :)",在一切快速而嘈杂的时候，最好获得这些放松的氛围和自然的声音，例如水，鸟类，鸟:)
3950,UgwGF-mfOEwIG9tT5714AaABAg,138,grandma is so lucky! she is eating good food made with lots of love!,奶奶很幸运！她正在吃充满爱的美食！
19034,UgyhSJHbnccPmF2NewB4AaABAg,95,"as a chinese, i must tell you all that the river snail rice noodle is smelly(because the sour bamboo shoot is smelly) but taste really good.",作为中国人，我必须告诉你所有的蜗牛米面条臭（因为酸竹芽臭），但味道真的很好。
8045,UgzaqEE7JwDmLAar2id4AaABAg,88,"i admire this girl because sheโ€s at good farmer and cooking and she takes care of her grandmother very well,god bless you girl.๐‘๐‘๐‘",我很欣赏这个女孩，因为她在好农民和做饭，她很好地照顾祖母，上帝保佑你的女孩。
25963,Ugw_mP5mM-vn-Ilt3bt4AaABAg,67,you are so sweet & good. love from india,你是如此的甜蜜和好。来自印度的爱
17749,Ugx9Q2tr8-wCzJJinfZ4AaABAg,63,"she is a charm in herself man .
it feels so good to see her cook .","她是自己的魅力。
看到她的厨师真是太好了。"
3909,UgxgK05InVePyfFVu_14AaABAg,62,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
22399,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-S01o6Xmhb,58,"@felixl1865 bruh, yeah she probably uses good cameras and computers to record things, but she does live in the country side and she is doing hard work and this is probably her lifestyle",@felixl1865 bruh，是的，她可能使用好的相机和计算机来录制事物，但她确实生活在乡下，她正在努力工作，这可能是她的生活方式
9491,UgyH32MbZfW61OKLwOt4AaABAg,54,their area are so good that they don't need to go market for any ingredient coz everything is in their surrounding only....,他们的区域是如此的好，以至于他们不需要去市场上的任何成分，因为一切都在周围。
33049,UgwLO82-iVslTnvW85p4AaABAg,47,"relaxing sunday and her soothing peace giving video.
no other combination is so good.","放松周日和她舒缓的和平播放视频。
没有其他组合如此好。"
14728,UgwzEHqgrZMDUhltGB14AaABAg,47,"her videos make me remember the book “the good earth.” you guys should check it out if you haven’t read it before, it is a very relaxing story.",她的视频使我记得“好地球”。你们应该检查一下，如果您以前从未阅读过，这是一个非常轻松的故事。
10447,UgxWYcGws_9CH4OozQh4AaABAg,45,"oh my goodness, i couldn’t believe my eyes when i watched this - all this still happening in the 21st century. she is a super women and beautiful",哦，天哪，当我看着这一点时，我简直不敢相信我的眼睛 - 这一切仍在21世纪发生。她是一个超级女人，美丽
34995,UgzL8Rg_AtnuEzNrdmp4AaABAg,45,"your notifications are my happiness.. ❤
keep up the good work queen","您的通知是我的幸福。
保持良好的工作皇后"
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
23049,UgxCh4WNo2ahUH3Pldt4AaABAg,34,we grow snake beans and we ferment them and they r soooo good i literally eat them with everything,我们种蛇豆，然后发酵它们，它们很好，我实际上用了一切
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
10392,UgytLpBDfBTJgT6FGq14AaABAg,26,i wish there’s a recipe on everything she’s makes. it looks so good,我希望她所做的一切都有一个食谱。看起来很好
2981,Ugwem1gt5OrJqKkK8VB4AaABAg,26,"what's good about her, in her vedios, she cooked what she planted. everything is in her yard, so amazing!",在她的Vedios中，她对她有什么好处，她煮熟了自己的种植。一切都在她的院子里，真是太神奇了！
12998,Ugw9aYFo_Rzsb57Ca214AaABAg,26,"she is so good at cooking and rich of vegetable at their backyards,most of all she is so beautifull",她是如此擅长烹饪，在他们的后院里有丰富的蔬菜，最重要的是她是如此美丽
