,cid,votes,time,含good,含good中文翻译
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
30492,UgyySwGmDvOFkuceh9F4AaABAg,474,3 years ago,who is this angel like person living in heaven? is it some drama or real..its too good to be true,这个天使是谁，就像住在天堂里的人？这是一些戏剧还是真实的..它太好了，无法实现
21583,UgySwho-EzdlrZj87G94AaABAg,434,3 years ago,dude she would be a good studio ghibli heroine..,杜德，她将成为一个很好的工作室吉卜力女英雄。
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,2 years ago (edited),"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
26232,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8znk8cbTKoX,395,3 years ago,good going...watch marie kondo videos and learn about the konmari method. it will further change your life and clear your mind of debris. โจ,好吧...观看Marie Kondo视频并了解Konmari方法。它将进一步改变您的生活并清除碎片的思想。 ✨
7720,UgxSgCYsMbdkY4I6If14AaABAg,293,2 years ago,i don't know why i watch this. but it feels good,我不知道为什么要看这个。但是感觉很好
42244,UgwtsLBEnygPVuHoWmF4AaABAg,254,4 years ago,felt so good watching this! thank you for recommending me this youtube,看着这个感觉真好！谢谢您向我推荐这个YouTube
10599,UgzjqCUUoBsbSh3rOOJ4AaABAg,198,2 years ago,"i like how she brought her pups and her lamb 
the lamb is so cute!
i was really satisfied with this vid, it had really good sounds to it","我喜欢她如何带来幼崽和羔羊
羔羊真可爱！
我真的很满意这个vid，它的声音真的很好"
40526,UgzKSj6Ebb_2_1z7bXl4AaABAg,169,4 years ago,damn she's good at cooking and making videos plus she's beautiful,该死的她擅长烹饪和制作视频，加上她很漂亮
47857,UgydpG-QppWLP4uwJwl4AaABAg,152,4 years ago,"i am feeling hungry but my wife's recipes are,,,,,,,,,,,,,,,,,,,,,,,, she is around me, good",我感到饿了，但是我妻子的食谱是
47782,UgxSOYwNbzpl1wzQazh4AaABAg,141,4 years ago (edited),"i wish you all the happy new year, congratulations to your fortune and good health! blessings from malaysia",祝各位同胞们，新年快乐 恭喜发财 身体健康 万事如意！来自马来西亚的祝福
26235,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpV1JqRyOB,121,3 years ago,good job! best wishes!,好工作！最好的祝愿！
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,3 years ago,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
20972,UgyZhNocqDpaa5BH3ih4AaABAg,111,3 years ago,"other people: wow she is so good at cooking


me: did she just write "" dead mango""","其他人：哇，她是如此擅长做饭


我：她只是写了“死芒果”"
15709,Ugxp2AETn10a-1LHj0t4AaABAg,110,3 years ago (edited),"oh gosh... i ate almost all of these when i was younger in china... this reminds me a lot my childhood ♥

(my english is not very good sorry)","哦，天哪...我在中国年轻的时候几乎吃了所有这些...这使我想起了很多我的童年♥

（我的英语不是很好，对不起）"
