,cid,votes,time,含village,含village中文翻译
13401,Ugy1r1ukYlGOCEX02C94AaABAg,1500,2 years ago,"li ziqi has a touching life story. she is an orphan raised by her grandma. after leaving her village at age 14, she tried many jobs, including waitress, dj and bar singer. she return to her village in 2014 to take care of her aging grandma and started to make vlogs to sell her farm products initially. her vlogs became an instant success in china.",李齐（Li Ziqi）有一个感人的生活故事。她是祖母抚养的孤儿。 14岁那年离开村庄后，她尝试了许多工作，包括女服务员，DJ和Bar Singer。她于2014年返回村庄，照顾她的老化奶奶，并开始制作视频博客以最初出售她的农产品。她的视频博客在中国立即取得了成功。
36906,Ugys5HUZ3Qn6uKkPGj14AaABAg,318,4 years ago,"seeing her makes me want to go to my village and live on my own...making small house ..gardening,farming๐’๐’๐’๐’",看到她让我想去我的村庄独自生活...制作小房子..守夜，耕种
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
32345,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w2sNaUHJTB,179,4 years ago,she'll build a whole village single handedly,她将单手建造一个整个村庄
40283,Ugw-aEsAm6XHGhkx0kZ4AaABAg,153,4 years ago (edited),"every time watch ms. li the video, i feel like i’m inside the villages",每次观看视频李女士时，我都会觉得自己在村庄里。非常爱
30314,UgxQob5Ubs3K2juHelR4AaABAg,53,3 years ago,"i'm from thailand and my home in small village on the mountain, when i saw this video make me home sick missing my mom ๐ฅ๐ฅ๐ฅ",我来自泰国和我在山上小村庄的家，当我看到这段视频让我病了，想念我的妈妈
35298,Ugwh_TmTye2v6sL3BIt4AaABAg,47,4 years ago,this video makes me want to live in that peaceful village instead of crowd city๐,这段视频使我想住在那个宁静的村庄，而不是人群城市
14119,UgwdK_RLg87nT1M_T2d4AaABAg,47,2 years ago,i don't know why i really like liziqi.. so natural.. cute.. wnderfull life in her village make my heart so happy.. love you liziqi.. from indonesia,我不知道为什么我真的很喜欢Liziqi ..如此自然..可爱.. Wnderfull的生活使我的心变得如此快乐..爱你Liziqi ..来自印度尼西亚
5789,UgzY4We3T-EHrrIwkeh4AaABAg,42,2 years ago,"i wish she could let me stay with her, i wouldn’t even ask for salary and would do all the chores.. i just want live the moments with these people in that village. its so peaceful so soothing. i feel like i could bury all my sins there and start a new life.",我希望她能让我和她在一起，我什至不会要求薪水，也会做所有的琐事。.我只想和那个村庄里的这些人一起生活。它是如此宁静，所以舒缓。我觉得我可以将所有的罪恶埋在那里，开始新的生活。
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,3 years ago,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
49220,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qn52XsAh3Z,36,4 years ago (edited),"most of her recipe r laborious and require a lot of patience , dedication and hard work that only villagers will do without complaint. not for lazy pple",她的大部分食谱都在费力，需要大量的耐心，奉献精神和辛勤工作，只有村民才能毫无抱怨。不是懒惰的pple
29506,UgwfErjz-wPj1YiSNwJ4AaABAg,35,3 years ago,"you are awesome and your village is world's best place to live, hope i was there forever...",您很棒，您的村庄是世界上最好的生活场所，希望我永远在那里...
21509,UgxYbWchgfMWL5ctM4N4AaABAg,30,3 years ago,"this looks like a village we visited last year in japan, the ancient village of magome. it was (as you can imagine) truly, truly magical ๐’•",这看起来像是我们去年在日本访问的一个村庄，即古代杂志。这是（您可以想象）真正的，真正的神奇
31531,Ugw2kZestzRbqsKnXMF4AaABAg,28,4 years ago,"i want to be one day in villages like this, calming, peaceful, and beautiful",我想在这样的村庄里度过一天，平静，和平与美丽
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
27206,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zgJmmE0gIK,21,3 years ago,"@jeieldavid6347 now in china, for even a village in which is far away from the city, the internet is something easy to get....and which is affordable....",@jeieldavid6347现在在中国，即使是一个距离城市很远的村庄，互联网也很容易获得。
503,UgwEOJpXiAP-eG7qasd4AaABAg,21,4 months ago (edited),"god, what a cozy channel you look straight and the soul is so warm as at home in the village",上帝，你看上去是一个舒适的频道，灵魂像在村里的家中一样温暖
14904,UgzJgdZ2vb2VGvf1dPZ4AaABAg,21,2 years ago,i live in a city and feel so lucky to experience these stuff because of my village.,我住在一个城市，由于我的村庄而感到很幸运能体验这些东西。
14154,Ugy_e2ZMWkjFsMe5ybd4AaABAg,20,2 years ago,"i cried because this video reminds me of the times when i was in a village . it's not my hometown but i love the simple way ppl live there. ah, i want to move from this small boring city",我哭了，因为这段视频让我想起了我在村庄的时代。这不是我的家乡，但我喜欢PPL在那里生活的简单方式。啊，我想从这个小无聊的城市搬出
21035,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94RdnOOD1m_,18,3 years ago,"oh! please, for god's sake don't say the word ""disney"" here. they'll raze that village to the ground, buy rights for her name and sell cheap plastic toys at walmart!",哦！请为了上帝的缘故，不要在这里说“迪斯尼”一词。他们会把那个村庄夷为平地，以她的名字购买权利，然后在沃尔玛出售廉价的塑料玩具！
3727,UgzrDXcBlYmPtt0lsHB4AaABAg,17,1 year ago,i remembered that my grandma used cook these sugar coated snacks in village and used to send us the snacks they were very delicious she does that every month,我记得我奶奶在村里用这些糖涂的小吃，用来给我们发送小吃，他们每个月都很美味
31264,UgwBHMGguXljvNp565V4AaABAg,16,3 years ago,this is what everyone had been dreams of. live in the village with all we need. super talented girl thumbs up ๐‘๐‘,这就是每个人都是梦想的。我们所需要的一切都住在村庄。超级才华的女孩大拇指
29443,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yDJGqlymGS,15,3 years ago,"it is really facing, taiwan has been open to youtube, and no one who has subscribed to 3 million subscribers has not won! li ziyi, ono, and the youtube channel of the little brother in western yunnan have created it for a long time? there is almost no way to play in taiwan. the first place is higher than the little brother in western yunnan. the key is that the little brother in western yunnan also surpass him!


i really admire li ziyi and ono, one of more than 5.4 million subscribed, one is more than 7 million! they are all villagers! can the youtuber in sichuan anymore be awesome? the yam is 1 million immediately, wang gang is 930,000, and there are three cats and ao factory director in the back!","真的很打脸，台湾一直开放YouTube，上300万订阅的还一个都没得！李子柒，小野，还有滇西小哥的YouTube频道才创了好久？台湾能打的几乎都没有了，就第一名比滇西小哥高，关键是滇西小哥也要超越他了！


李子柒和小野我是真的佩服，一个540多万订阅，一个更是700多万！还都是老乡！我大四川的YouTuber能不能再牛逼点？山药马上100万，王刚93万，后面还有三猫和敖厂长也有四五十万订阅！"
