,cid,votes,含wonderful,含wonderful中文翻译
4452,Ugzj2Yk28J8Y2fosqYR4AaABAg,445,"indonisian: in indonesia, we call this bamboo root as rebung. we process it into various dishes, the taste wonderful.
korean: it's our food. we dont''t want other people to cook it.","印度人：在印度尼西亚，我们将这种竹根称为rebung。我们将其加工成各种菜肴，味道很棒。
韩国人：这是我们的食物。我们不希望别人做饭。"
13089,UgymypA6HinBBANUzuZ4AaABAg,420,the camera person takes such wonderful pictures of each scene well done,相机的人拍摄了每个场景的精彩照片
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
5021,Ugy72vq6YsgZ-AkBRBN4AaABAg,116,"in indonesia, we call this bamboo root as rebung. we process it into various dishes, the taste wonderful",在印度尼西亚，我们将这种竹根称为rebung。我们将其加工成各种菜肴，味道很棒
12921,UgytWROnurt7fOcPZJp4AaABAg,104,"in every episode i watch, it looks like she's creating a cure for cancer in all her wonderful recipes.",在我观看的每一集中，看起来她都在所有美妙的食谱中都在为癌症创造一种治疗方法。
23434,UgzUJFsjexVHtAYIVQp4AaABAg,95,"whoever is married to this woman is one lucky dude!
she is a real artisan. 
this like what my grandma and mother used to do, everything from scratch. wonderful.","与这个女人结婚的人是一个幸运的家伙！
她是一个真正的工匠。
这就像我奶奶和母亲过去所做的一切一样，一切都从头开始。精彩的。"
30791,UgzmqjkWfDbMH9dZX1t4AaABAg,57,"everytime i watched her vids, i heard the nature singing.. nice one. all in all. a million thanks for this wonderful vids! im still amazed",每当我看着她的视频时，我都会听到大自然在唱歌。总而言之。一百万感谢这个美妙的视频！我仍然惊讶
25889,UgwUUFJMYwQnagKi2YJ4AaABAg,49,"game grumps brought me here 

and it’s wonderful","游戏脾气使我在这里

太好了"
7563,Ugydj375CIk4ZQlPlyV4AaABAg,43,"this is my first time watching her videos, and i must say, it's very inspiring and how lucky she is to have those wonderful ingredients within reach, or so.",这是我第一次观看她的视频，我必须说，这是非常鼓舞人心的，而且她能够拥有那些出色的成分，这是多么幸运。
8209,Ugwi18Z3V3i04kFFVG54AaABAg,33,"i love cooking n this video is wonderful, everything scene is traditional or very old skool .perfect film",我喜欢烹饪n这个视频很棒，所有场景都是传统的或非常古老的。完美的电影
