,cid,votes,time,含beautiful,含beautiful中文翻译
32585,UgzB8g7xi9aMF1JVfs94AaABAg,5900,4 years ago,"this video is so simple, yet so beautiful. so calming. 
also, dogs.","该视频是如此简单，但如此美丽。如此平静。
另外，狗。"
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,4 years ago,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,4 years ago (edited),"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
36655,UgylTM1tk7rRFvWtYkJ4AaABAg,2500,4 years ago,"1. she is so beautiful :3

2. she doing really cool things

3. she has so cute animals

4.she can do thinks alone too","1.她是如此美丽：3

2.她做的很酷的事情

3.她有这么可爱的动物

4.她也可以独自一人"
32469,UgyIxvPyiC8eDoOzRfB4AaABAg,2300,4 years ago,this woman knows everything. huge respect for keeping nature close at hand. you are a beautiful being ๐’•,这个女人知道一切。对保持大自然的巨大尊重。你是一个美丽的人
4212,UgybaqlaPDXgQ89PPld4AaABAg,2000,1 year ago,"i will never understand how she has time to film her life so beautifully and create videos, incredible hard work in addition to what we already see",我永远不会理解她如何有时间拍摄自己的生活，并制作视频，除了我们已经看到的东西之外，还令人难以置信的辛勤工作
23052,UgyEGffCSCapYWhPlt14AaABAg,813,3 years ago,"she is very beautiful
who thinks like here๐‘","她很美丽
谁在这里想到"
5794,UgyK-XA_36ouU70ty6l4AaABAg,743,2 years ago,she's beautiful and creative,她是美丽而富有创造力的
42621,UgxpAuke_Y_UjO6Tiot4AaABAg,722,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
35814,UgxA7fqSFSw88yd25Ql4AaABAg,721,4 years ago,"i feel ashamed as a girl. she's beautiful, independent, and skillful",我作为一个女孩感到羞耻。她美丽，独立和熟练
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,1 year ago,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
