,cid,votes,含strong,含strong中文翻译
1709,UgyPBtl1WQcovNWYrzV4AaABAg,762,"3 years ago, i accidently found your video. your videos helped me to overcome my insomnia. when i cannot sleep, i’m always come back to your channel. i wish you will comeback & upload everything that you want. i’ll wait for you ziqi. stay safe & comeback stronger. i miss you.",3年前，我不小心找到了您的视频。您的视频帮助我克服了失眠。当我无法入睡时，我总是回到您的频道。希望您会卷土重来并上传所需的一切。我会等你ziqi。保持安全和卷土重来。我想你。
22422,UgyqKauAAZRkyW6NhbJ4AaABAg,305,"i see how feminine and strong she is, living with the harmony. it's life that i want it, damnnnn love it so much",我看到她与和谐相处，她是多么的女性化和坚强。我想要的是生活，该死的人非常喜欢它
18320,Ugw80zM44ACWUv2fPGx4AaABAg,182,"she’s so strong. those baskets balanced on her shoulders are heavy. pomelos and ponkans are watery fruits, and they’re really heavy.",她很坚强。那些在她肩膀上平衡的篮子很重。 Pomelos和Ponkans是水的水果，它们真的很重。
12849,UgzFXiQFhktFmvvPzdx4AaABAg,167,so we not gonna talk about he she grabbed those hot trays with her hand? she strong,所以我们不会谈论他，她用手抓住了那些热托盘？她坚强
11412,Ugw4x88DGNwK73gpB6l4AaABAg,101,"she is so strong,she did so many thingsssssssss from collecting,cooking until serving,wonderwoman in real world๐๐๐",她是如此坚强，她从收藏，烹饪直到服务，在现实世界中的奇妙女性做了很多事情。
29350,UgyODrZo9cGrHXSsfk14AaABAg,53,"too strong, the bailuo garden of xanadu and the craftsmanship and aesthetics of the female lead, the original tools and the methods of gourmet shooting have been circulating in ancient times. we seem to be a parallel line that lives in the same space.",太强了，世外桃源的百果园加上女主内外的手艺与美感，原始的工具与古代流传至今美食拍摄的手法，犹如时间倒流回几千年历史的乡间民家。我们像是生活在同一空间的两条时间的平行线，
5418,UgzXFPB-s3SfFJ2RZc54AaABAg,46,"she is the strongest woman that i have ever seen with multi-skills from the engineer, landscaper, and chef. big love from farmer's son.❤",她是我在工程师，园丁和厨师的多技能中见过的最坚强的女人。农民儿子的大爱。
1379,UgwheFCk5eC3P6aHXml4AaABAg,27,the number and playback volume of this fan is too strong. i hope that the dispute will be resolved as soon as possible,这粉丝数和播放量太强了 希望早日解决纠纷继续更新
23441,UgydynHddGVxHywYncZ4AaABAg,25,she is a beautiful strong woman.,她是一个美丽的坚强女人。
37120,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uVRYcwo2Ar,16,@conjae8474 most girls ? oh please lmao she's stronger than most grown men lmaooo,@conjae8474大多数女孩？哦，请lmao她比大多数成年男子更强壮
23808,Ugy19kiDCUhF90-ZqKJ4AaABAg,15,"there is a fairy, the villagers have a strong smell, the memories of childhood, the aftertaste is endless, positive.",、有仙气，乡士气味浓厚，童年回忆、，回味无穷，正。
22171,Ugx-wcC0l6nx1caCGqh4AaABAg,14,"she can be every thing and she can do every thing. i realy like this girl and i like what she do. her work, her style of life. she is a model of a strong and beautiful chineese woman๐",她可以是每件事，她可以做每件事。我真的很喜欢这个女孩，我喜欢她的所作所为。她的工作，生活方式。她是一个坚强而美丽的Chineese Woman的典范
19518,UgxWYh3tKEOvDyMqR1J4AaABAg.95ghD49koAg96GUnNRLwrH,13,"yeah i don’t think she cares at all. she is no one’s princess. she’s her own king, and queen, and knight, and maiden, and farmer, and court wizard, and little fairy. and most importantly, a loving grand daughter. real chinese woman is like this: strong and independent, responsible and free-willed. no princess can bring the joy when she sees her grandmother’s smile on the face.",是的，我认为她根本不在乎。她不是人的公主。她是自己的国王，皇后，骑士，少女，农民，法院向导，以及小仙女。最重要的是，一个充满爱心的大女儿。真正的中国妇女就是这样：坚强，独立，负责任和自由意志。当公主看到祖母在脸上的微笑时，没有公主能带来欢乐。
23459,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W7XVTfPXL,12,"@pitsonsfather84, are you so good, is it strong? what happened to i come out to study? are you proud? what about lz is more rich than you? china is rare to make foreigners impressed by foreigners? niu jie niu",@pitsonsfather84 你好厉害熬，翻出来很强？我出来读书怎么了？你很骄傲？lz比你有钱怎么样了，中国难得一个youtuber让外国人好印象不好？牛逼牛逼
22871,UgxuDegcNir7I8T5mdd4AaABAg,12,"we chinese called her ""white fox"".which means smart strong indenpend. on myself",我们中国人称她为“白狐狸”。这意味着聪明的强壮。在我自己身上
19828,UgyTQdr4ht2C6TjRvft4AaABAg.95I2cr0D_Rv96E1ZXKbSCI,11,"@egoegoegosum https://raknife.com/li-zi-qi/ this article has all the information about her, this is not staged: she started out doing everything alone before she became more famous, earned a bit more money and could therefore hire an assistant and a cameraman. this is the life that she's been living since she was small, and many years of doing such hard labour as this on a daily basis tends to make one stronger. you get used to having to pick up a couple of kilos of fruit if you have to do it every time there's a harvest, and out in the countryside, you've got no choice but to do these kinds of things on your own. there's a ton of footage you have to take of many many different camera angles and when editing, almost half of these are discarded because you're supposed to pick the best angles to give you the feeling in the video that you want to. editing is a form of magic in its own way, just ask anyone who's working in editing",@egoegoegosum https://raknife.com/li-zi-qi/本文拥有有关她的所有信息，这不是上演的：她在她变得更加出名之前就开始独自做所有事情，赚了更多的钱，因此可以雇用助手和摄影师。这是她从小就一直过着的生活，而且每天都在做这类艰苦的工作很多年，往往会使一个人变得更强大。如果您必须每次收获时，就必须习惯于捡起几公斤水果，而在乡村，您别无选择，只能自己做这类事情。您必须了解许多许多不同的摄像头角度，并且在编辑时，几乎其中一半被丢弃，因为您应该选择最佳角度，以使您的视频中的感觉。编辑是一种魔术的形式，只需询问任何正在编辑的人
46676,UgyJc97XS64JPQzOZEh4AaABAg,10,"i am from indonesian, i very like this chanel because she is a strong women",我来自印度尼西亚人，我非常喜欢这个香奈儿，因为她是一个坚强的女人
