,cid,votes,time,含festival,含festival中文翻译
45779,Ugw5E_fX8RAn-9bIRsx4AaABAg,87,4 years ago,happy chinese spring festival to you and your grand mother (love u grand maa),中国春节快乐给您和您的祖母（Love U Grand Maa）
23258,UgzEyufNY8lG5ZuyQOZ4AaABAg,24,3 years ago,"when i was a kid, my grandma make these snacks as important festivals are coming, especiallty in chinese spring festival.",当我还是个孩子的时候，我的祖母将这些小吃随着重要的节日即将到来，特别是在中国春节中。
47577,UgyjrSwO6s5kpZ0GkMZ4AaABAg,19,4 years ago,"happy spring festival, grandmother and your team, dear li ziyi",祝你春节快乐，祖母和你的团队，亲爱的 李子柒
23017,UgxNLTALcCVi7nvNgZZ4AaABAg,18,3 years ago (edited),"this spring festival i'm going home, my parents would make snacks like that, and i miss them.",这个春节我要回家，我的父母会做零食，我想念他们。
50219,UgzC_AYMc9iKQDw54AR4AaABAg.8qlnUqpB5Ko8qmBNv7A7X1,14,4 years ago,it is chinese new year! this is a festival that is only produced by chinese culture and tradition from beginning to end.,It is CHINESE New Year! 这是一个从头到尾都是中国文化和传统才产生的节日。
25482,Ugxe4RkrzLKXChm5AUh4AaABAg,13,3 years ago,"this comment thread is like an international love festival.

she is amazing. it does seem like all that work would take several people several days, at a minimum, and they'd be pretty spent, but hey . . .

i've tried to make many things from scratch. maybe i lacked training and super-natural vitality, but it seemed a whole lot harder than that.","这个评论线程就像一个国际爱情节。

她很棒。似乎所有的工作都将花几天的时间至少需要几天的时间，而且它们的花费很漂亮，但是。 。 。

我试图从头开始做很多事情。也许我缺乏训练和超自然的活力，但似乎比这要困难得多。"
52274,Ugy08E4KW112bkF5S8x4AaABAg,12,4 years ago,"for anyone wondering, it’s customary to prepare some snacks over the lunar festival to entertain visiting relatives and friends. i guess they can also be used as gifts. usually people would buy them from shops but of course ziqi always takes it up a notch and makes everything from scratch! they look amazing as always!",对于任何想知道的人来说，习惯在月球节上准备一些小吃来招待来访的亲戚和朋友。我想它们也可以用作礼物。通常，人们会从商店购买它们，但Ziqi当然总是将其提高一个凹口，并从头开始所有东西！他们一如既往地看起来很棒！
46294,Ugy_AEpyu_DA8-qbDSt4AaABAg,6,4 years ago,"looking at and laughing, then crying, there are four spring festival, i haven't returned home ... suddenly miss the douhua rice noodles in my hometown ...",看着看着笑了，然后哭了，已经有四个春节没有回家过了吧......突然想念家乡的豆花米线了.......（留学党＝_＝）
30103,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd792kXqWI6zZK,6,3 years ago,"billy merlin change your bias idea about chinese people eat dogs! there is only a little part of people eating dog for some special festivals because of their local tradition, that shouldnโ€t represent the whole country! and those people have the fleish from dog factories like chicken factories or pig factories, not pet dog!!!",比利·梅林（Billy Merlin）改变了您对中国人吃狗的偏见的想法！由于他们的当地传统，只有一小部分人吃狗参加一些特殊的节日，这不应该代表整个国家！那些人从鸡肉工厂或猪工厂，而不是宠物狗中逃离了狗工厂。
34187,UgxNEG6aWmxKJxiSUGt4AaABAg,4,4 years ago,this is how i want to live! getting ready for the spring festival instead of crying over school,这就是我想要生活的方式！为春节做准备，而不是在学校哭泣
50908,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qtokmQHExe,3,4 years ago,@sparklelee4368 she prepared for traditional chinese new year. this is a festival that all chinese people will celebrate.chinese people usually prepare some traditional food and snacks at this festival.,@Sparklee4368她为传统的农历新年做准备。这是所有中国人都会庆祝的节日。中国人通常在这个节日上准备一些传统的食物和小吃。
24382,Ugzpl0UNkc7Sdjcaac94AaABAg.9198C8X3Wbs92ILBgijMLb,3,3 years ago,"people from different province in china make different snacks for sping festival, this video only show a little part of it but the atomosphere is the same. you really should make some chinese friends and im pretty sure that they will invite you to celebrate chinese new year if u ever mention ur love about it.",来自中国不同省份的人们为促销节做了不同的零食，该视频只显示了其中的一小部分，但原子圈是相同的。您真的应该结交一些中国朋友，我很确定，如果您提到您对此的爱，他们会邀请您庆祝农历新年。
22265,Ugy7T44RjrnVq9GIL1t4AaABAg,3,3 years ago,"zi yan's video was very good, and it was also the envious life of many people in china. after all, hundreds of millions of people in china have to leave their hometown for life. behind the chinese spring festival is the true portrayal of ordinary people.",子柒的视频拍的非常好，也是中国很多人羡慕的生活。毕竟在中国有上亿的人为了生活，不得不背井离乡。中国春运的背后才是老百姓的真实写照。
23203,UgyoekM_5c9vaY3q5Jp4AaABAg,3,3 years ago,"the city is getting more and more years old nowadays. after watching it, i really miss the spring festival when i was a kid. this is the life that everyone yearn for.",城市现在过年越来越没有年味儿了 看完真的很怀念小时候 每天都盼望着春节 这就是每一个人向往的生活
