,cid,votes,含china,含china中文翻译
31451,UgwUyESYva-00YZisfx4AaABAg,765,1 million views in only 7 hours. i feel so proud of her and i am so happy to see her account grow so much here outside of china.,仅7个小时内的100万次观看次数。我为她感到骄傲，我很高兴看到她的帐户在中国以外的地方如此之多。
29492,Ugw7pdGvQF_fd0s96zJ4AaABAg,272,this is my whole childhood. i am surprised to find out that the lifestyle here in nepal and china is soo similar although i live in terrains.,这是我整个童年。我很惊讶地发现，尽管我住在地形，但尼泊尔和中国的生活方式是如此相似。
19592,UgzYnvxewu4S3f8iRs54AaABAg,213,she is also one of the best content makers in china.,她还是中国最好的内容制造商之一。
16371,UgzwGITKQLsjqnmotyd4AaABAg,210,she make me recall my childhood life in southeastern china,她让我回想起我在中国东南部的童年生活
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
16590,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92vr3X8k5uX,166,"teo shui tong i am from china, her
fan. all the videos actually all made byherself at first, until 2017 she found a photograher to help her , she is really independent and jack of all trades","teo shui tong我来自中国，她
扇子。最初，所有视频实际上都制作了Byherself，直到2017年，她找到了一个可以帮助她的Photograher，她真的是独立的，而且所有行业的杰克"
19039,Ugxx0C0wczLWx2DIaoJ4AaABAg,159,"i just love asian food. last year i visited the philippines for 3 weeks. my next stop will definitely will be japan, china or korea. asian people are so friendly and kind.",我只是喜欢亚洲美食。去年，我访问了菲律宾3周。我的下一站肯定会是日本，中国或韩国。亚洲人是如此友好和友善。
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
28549,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z7IJRbHYhY,114,"@franzpeters3824 she lives in china, why do you think she needs to speak english? can you speak chinese?",@franzpeters3824她住在中国，为什么您认为她需要说英语？你能说中文吗？
