,cid,votes,time,含cute,含cute中文翻译
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,3 years ago,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
28128,UgxKcNVUKxyeG4Kayrp4AaABAg,18,3 years ago (edited),"i like your video, you are so cute. i am a brazilian",我喜欢你的视频，你真可爱. 我是巴西人
12546,UgyQnp9bCjcBprWAXg54AaABAg,16,3 years ago,0:56 i love those tiny sounds she makes when she picks up something heavy ..it's cute,0:56我喜欢她捡起沉重的东西时发出的那些微小的声音..很可爱
34524,UgyUieem38jTnsuUj_x4AaABAg,14,3 years ago,"perfect, everything perfect... her so cute and beautiful. i love her and nature here",完美，一切完美...她如此可爱和美丽。我在这里爱她和自然
3922,UgwzPRQltmgLZAS_A0V4AaABAg,13,2 years ago,why is no one talking about that dog at 7:38 its so cute!,为什么没有人在7:38谈论那只狗！
27609,UgzhrQjPKdpb0a_ROUB4AaABAg,12,3 years ago,another great video... i love ur grama shes so cute*,另一个很棒的视频...我爱你的grama她是如此可爱*
30233,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yxI4lykg2M,8,3 years ago,kastellan i love the swing grandma is on it’s too cute,卡斯特兰（Kastellan）我喜欢摇摆奶奶太可爱
25868,UgxS3ja9DCqxVeYqzat4AaABAg,7,3 years ago,super cute ♡ ❤️,超级可爱♡❤️
4349,UgyzNLitPWRTTdMT6rl4AaABAg,5,2 years ago,"my wife is from guangzhou china. so cute, lovely and super smart. i love china ~ ^0^",我的妻子来自中国广州。如此可爱，可爱和超级聪明。我爱中国〜 ^0 ^
30784,UgyspAokNMT-aPXisH14AaABAg,5,3 years ago,9:17 the way your dog just sprinted n jumped a step was so cute since he's used to it hahaha,9:17您的狗刚刚冲刺n跳了一步是如此可爱，因为他已经习惯了哈哈哈
