,cid,votes,time,含real,含real中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
2668,UgyyYChth_3diDSbnRh4AaABAg,598,1 year ago,"she's really an amazing woman, her grandma is lucky to have her by her side.",她真的是一个了不起的女人，她的奶奶很幸运能在她的身边。
23243,Ugx5VsnUwvV3aih37h14AaABAg,504,3 years ago,"this just made me realize how lazy i am, can't even cook a simple meal",这只是让我意识到自己有多懒，甚至不能煮一顿简单的饭
5448,UgyvC0zdox_RcDJUAUh4AaABAg,472,2 years ago,"btw seeing them live happily in nature make me realize that life is not just about fancy things such as expensive phone, car, make-up and aesthetic ig feeds or followers. life is all about how you live comfy and enjoy every breath without anyone distraction.",顺便说一句，看到它们在自然界中幸福地生活使我意识到生活不仅仅是昂贵的手机，汽车，化妆和美学IG饲料或追随者等美味的事物。生活就是关于您如何过着舒适的生活，享受每一次呼吸，而没有人分心。
24746,UgywjeuRIp_tgmm9JFZ4AaABAg,402,3 years ago (edited),"liziqi: makes really good home made food by getting it from plants and lakes she finds 

me: eats mcdonald’s while watching liziqi","Liziqi：从她发现的植物和湖泊中获得真正的自制食物

我：看麦当劳一边看利兹奇"
25059,Ugytvmc3UbnvGly8w114AaABAg,237,3 years ago,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
30890,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yWTZXn3Lhi,166,3 years ago,"and it’s addictive. when i first saw her videos i was determined to watch em all from the very beginning until right now where i’m painfully waiting for new ones. but everytime, it is worth it. it’s really relaxing to watch.",而且令人上瘾。当我第一次看到她的视频时，我决心从一开始一直到现在一直在等待新的视频。但是每次都值得。观看真的很放松。
16590,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92vr3X8k5uX,166,3 years ago,"teo shui tong i am from china, her
fan. all the videos actually all made byherself at first, until 2017 she found a photograher to help her , she is really independent and jack of all trades","teo shui tong我来自中国，她
扇子。最初，所有视频实际上都制作了Byherself，直到2017年，她找到了一个可以帮助她的Photograher，她真的是独立的，而且所有行业的杰克"
18895,UgxLNsP-0aqASJwOqrN4AaABAg,142,3 years ago,"seeing her video reminds me of my childhood life, it is really that. my hometown is in rural sichuan. what? because it is shooting videos, many scenes have beautified, in fact, the process will be very hard.",看到她的视频让我想起小时候的生活，真的就是这样，我的老家就在四川农村，然而我们却拼命努力去了城市，为了生活奔波，看了她的视频让我怀疑生活究竟是为了什么？因为是拍摄视频，把很多场景都美化了，其实过程会很辛苦。
