,cid,votes,time,含simple,含simple中文翻译
23243,Ugx5VsnUwvV3aih37h14AaABAg,504,3 years ago,"this just made me realize how lazy i am, can't even cook a simple meal",这只是让我意识到自己有多懒，甚至不能煮一顿简单的饭
34601,Ugyt6byGBsMbKGaiKiV4AaABAg,264,3 years ago,we northeast indians can relate to your content on another level. the simple yet sustainable lifestyle is the way to go. lots of love to you.,我们东北印第安人可以在另一个层面上与您的内容联系起来。简单而可持续的生活方式是必经之路。对你有很多爱。
10999,UgzfiTbmzA5yCUZNBEh4AaABAg,110,3 years ago,who could imagine... living a simple life could make you millions..,谁能想象...过简单的生活可以使您数百万人。
9680,UgxeDjXMOCo9vlzxzEZ4AaABAg,92,3 years ago (edited),"i canโ€t get enough of her. she lives the most beautiful, simple, productive life. itโ€s like watching a fairytale",我不能得到她的足够。她过着最美丽，最简单，富有成效的生活。就像看童话
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,3 years ago (edited),"li ziyi ~ always gives people a total fresh and refined, traditional chinese women's beauty. the image that can be great !!
please continue to cheer !! do more and more high -quality and simple chinese style videos to educate more people ~ thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
22921,UgwuIIDKTgk1TaxY4qt4AaABAg,67,3 years ago,"i envy the life you have. simple living no comlexities, just being with mother nature.
it used to be like this man was just uncontented and turned into a life full of difficulties.","我羡慕你的生活。简单的生活没有共同点，只是与大自然与大自然在一起。
曾经像这个男人一样毫无意义，变成了充满困难的生活。"
14789,UgxXgRvVv6x1uCGZ4sR4AaABAg,57,3 years ago,"""simple lifestyle"" 
less is more.","“简单的生活方式”
少即是多。"
22172,Ugzt5VGHr6znPhq6-k14AaABAg,49,3 years ago,"the first time i saw this film was moved by ""a simple life is a kind of happiness"", thank you.
whenever you watch the films you take, you have an inexplicable sense of happiness.","第1次看到这部影片很感动〝简简单单的生活就是一种幸福〞，谢谢妳。
每每看妳拍的影片就有一种莫名的幸福感。"
25080,Ugxx19Ia0ByhC1paplt4AaABAg,47,3 years ago,"this way of returning to nature,
reminded. essence
back to the truth, i am worried about chemicals, excessive processing, anticorrosive, and spice pigments. essence
the plate made of the tree trunk, the wooden spoon made me love to death. essence
with such an opportunity to live in such a simple place for a few days, relieve the city's pressure on his back, and it is so stuffy! ~","这种回归自然的生活方式，
真令人回味。。
返璞归真，甭担心化学物质，过度的加工，防腐，香料色素。。
那树干制成的盘子，木料勺子让我爱死了。。
能有这种机会到这样纯朴的地方住上几天，舒解城市人扛在背上，闷在心里的压力，多好！～"
14790,UgyX2fojD4McHy5R2l94AaABAg,46,3 years ago,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
15641,UgwEvrHNRKRMDYjhB-N4AaABAg,38,3 years ago,minimal make-up and simple hairstyle yet she's one of the most beautiful gal i've seen. and is a master chef too!,最少的妆容和简单的发型，但她是我见过的最美丽的女孩之一。而且也是大厨！
14327,UgweI4lENirYu5USYYJ4AaABAg,26,3 years ago,"she makes it look so simple, but this lifestyle is a gran skill. gardening itself is a skill that takes time to understand, she knows exactly what she’s doing and in awe. not to mention her filming skills are amazing too!",她使它看起来如此简单，但是这种生活方式是一项格兰技能。园艺本身是一种需要时间来理解的技能，她确切地知道自己在做什么和敬畏。更不用说她的拍摄技巧也很棒！
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,3 years ago,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
