,cid,votes,time,含amazing,含amazing中文翻译
21753,UgwHHw9NsEGyLXeYM3F4AaABAg,1100,3 years ago (edited),"my mom would cook authentic phillipino food every single day without stop, after she lost her battle with cancer about a year ago ive never had the same feeling of just coming home from school to smell the most amazing food ive ever tasted. your videos brings back these memories, the frying of the food sounds the same in your videos, her tossing the food in the wok, the scrapeing of the metal on the pan, i can even smell whats going on through the screen. your videos saved me from ever forgetting her, your videos helped me out through those dark times, though its not phillipino food, the way you cook is so so so similar to my mom’s. thank you for that. (ive also shown these videos to my dad and he also loves them, my entire family is full of cooks so this was a breath of fresh air)",我妈妈每天都会每天煮正宗的菲律宾食物，而大约一年前，她失去了与癌症的斗争后，我从来没有像从学校回家回家的感觉，闻到了有史以来最令人惊叹的食物。您的视频带回了这些记忆，食物的煎炸在您的视频中听起来一样，她在锅中扔食物，锅上的金属刮擦，我什至可以闻到屏幕上发生的事情。您的视频使我免于忘记她，您的视频在那些黑暗的时期帮助了我，尽管它不是菲律宾的食物，但您的烹饪方式与我妈妈的烹饪方式如此相似。谢谢你。 （我还向我的父亲展示了这些视频，他也爱他们，我的整个家庭都充满了厨师，所以这是新鲜空气的呼吸）
19925,Ugy64b8Tc-CR9fv_DdR4AaABAg,807,3 years ago,why are there 10k dislikes ..like people her videos are extremely aesthetic and calming and a lot of effort is required for these videos and she's feeding her grandma and giving us amazing content. why would you dislike this :(,为什么有10k的不喜欢。就像她的视频非常美观和平静，这些视频需要付出很多努力，她正在喂奶，并给我们提供了惊人的内容。你为什么不喜欢这个:(
2668,UgyyYChth_3diDSbnRh4AaABAg,598,1 year ago,"she's really an amazing woman, her grandma is lucky to have her by her side.",她真的是一个了不起的女人，她的奶奶很幸运能在她的身边。
31913,Ugz5SQzSVIB9U4-q1np4AaABAg,211,3 years ago (edited),"after observing for a period of time, i found that there are the following characteristics of the ziqi channel:
the first is that the fan base is wide and thick. as a oil pipe channel that is not managed by myself,
and there is no interaction with the fans on the oil pipe, and it is not easy to achieve the current scale.
after all, the channel originally started from the help of fans, and it felt a bit ""inadvertently inserted willow and willow"";
secondly, the video praise rate is high, which is nearly 10 times higher than the general channel. this is amazing.
explain that the quality of the video is high, unlike the channels that have a lot of subscriptions on the oil pipe are the same as scum.
after all, there are too many channels on the channels that scam money every day after they are named.
the last is that the channel is highly popular, and the number of comments itself explains everything.
and i dare to ensure that there are few big channels such as such a harmonious channel on the entire oil pipe.
ziyi here is one of them, like a world of integration in the world.","观察了一段时间，发现子柒频道有以下几个特点：
首先是粉丝群又广又厚，做为一个不是自己亲自管理的油管频道，
而且在油管上和粉丝毫无互动，能做到目前这样子的规模很不容易，
毕竟频道最初是从粉丝帮忙搬运起家，多少有点“无心插柳柳成荫”的感觉；
其次是视频点赞率高，比一般频道高出近10倍的点赞率，这点很了不起，
说明视频质量高，不像油管上好多千万订阅的频道都是渣一样的点赞率，
毕竟出了名之后每天发点烂片混日子骗钱的频道油管上太多太多了；
最后就是频道人气高，评论数量自身就说明了一切，
而且我敢保证整个油管上这么和谐的大频道根本就没几家，
子柒这里就是其中一家，俨然一副世界大融合的景象。"
31588,UgwXcDyacnoVwyUcMid4AaABAg,189,3 years ago,"dear miss lizqi , the bamboo forest looks wonderful , there is always true beauty captured in every amazing video that you make. i wish you mighty blessing to you and your loving grandmother. please continue to share your vast wisdom with us all around the world. the videos you make are truly priceless , the love , the beauty and the healthy life style that you promote is amazing indeed. you help many people to find peace , joy and true releif from the hardships of this life. thanks miss lizqi for you are a wonderful gift to us all. may god bless your videos always. your friend from canada!!!!!!!!!!!!!!!!!!!!!!!!!",亲爱的利兹小姐，竹林看起来很棒，在您制作的每一个令人惊叹的视频中，总会捕捉到真正的美丽。我希望您对您和您充满爱心的祖母祝福。请继续与世界各地的我们分享您的巨大智慧。您制作的视频确实是无价的，您推广的爱，美丽和健康的生活方式确实令人惊讶。您可以帮助许多人从今生的艰辛中找到和平，喜悦和真实的宗教。感谢Lizqi小姐为您提供给我们所有人的美好礼物。愿上帝永远保佑您的视频。您来自加拿大的朋友!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
24866,Ugz732P_cYX2F7Gyz7h4AaABAg,184,3 years ago,i don't know what brings me here but i love watching all the videos in this channel. amazing!,我不知道是什么把我带到这里，但我喜欢观看此频道中的所有视频。惊人的！
5017,UgzNqvBWu6LgE9rq6Rp4AaABAg,177,2 years ago,amazing โคโคโค,惊人的❤❤❤
16338,Ugz-PxPeXDViQ__23cl4AaABAg,176,3 years ago,how she does so many things in one day is beyond me. she's just amazing.,她在一天之内如何做这么多事情就超出了我。她真是太神奇了。
27344,Ugx1EZUxQB45OBd5gm14AaABAg,131,3 years ago,she’s one of the most amazing and talented girl i’ve ever seen on youtube.. she fed not only her granny but the soul of every viewers.. this is immortality i want to live in that place,她是我在YouTube上见过的最神奇，最有才华的女孩之一。她不仅喂饱了她的奶奶，而且喂饱了每个观众的灵魂。你和奶奶的力量..❤️
13180,UgzyEG-x5DvGQc6TjmB4AaABAg,87,3 years ago,"the cinematography and editing has such high quality to it, if she is the one editing it as well on top of all this work and life-style that's even more amazing.",摄影和编辑具有高质量的质量，如果她是在所有这些作品和生活方式上的编辑中，那就更令人惊奇了。
15931,UgwcK6zy11A5K3QHuZl4AaABAg,64,3 years ago,"the most amazing are her beautiful hands, impossible to believe that she performs so much labor. first of all it tells that she has a perfect control of her very skillful hands, correct grip of every tool, perfect coordination and rhythm, accuracy, experience. my farther was also that way: he was an amateur carpenter, a gardener, an artist, he could fix anything and yet i don't remember a single bristle, a cut of injury to his hands: they were handsome, strong always implacably clean hands of a man and a creator.",最神奇的是她美丽的手，不可能相信她的劳动如此之多。首先，它告诉她她对自己非常熟练的手，正确控制每个工具，完美的协调和节奏，准确性，经验。我的距离也是如此：他是一个业余木匠，一个园丁，一个艺术家，他可以修复任何东西，但我不记得一个毛刺，他的手割伤了：他们很帅，坚强总是很干净男人和创造者的手。
10804,Ugyl3d_LVvdGWhYXrP54AaABAg,61,3 years ago,"i can't not picture how tired she is at the end of the day, after doing all of that. cooking, collecting, maintaining, it's amazing! i hope she rests well.",在完成所有这些工作之后，我无法想象她在一天结束时有多累。烹饪，收集，维护，这太神奇了！我希望她安息好。
22561,UgwOmhNcXJUluURnR6B4AaABAg,55,3 years ago,"no man is worthy of her heart...
but i wish i could see in the future she teaching her daughter these amazing skills...","没有人值得她的心...
但是我希望我将来能看到她教女儿这些惊人的技能..."
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,2 years ago,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
