,cid,votes,time,含sichuan,含sichuan中文翻译
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,4 years ago,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
21649,Ugz8JcIkTaDadZUfaAt4AaABAg,133,3 years ago,"the rural girls in a mountain in mianyang, sichuan, my hometown, lost their parents in a few years, and brought them by grandparents. life was bumpy, but through hard work, she succeeded, and a great child.",我家乡四川绵阳一大山里的农村女孩，几岁就失去父母，由爷爷奶奶带大。一生坎坷，但她通过努力，成功了，很了不起的孩子。
52946,UgzVUw4UnqLW7N-jjil4AaABAg,60,4 years ago (edited),"i love this video! every time i see li ziyi's video, i have a feeling that i want to travel to sichuan. after reading this time, i have this idea more again",I love this video! 每次看到李子柒的影片，都有一种很想去四川旅游的感觉。这次看完以后又更加有这个想法了
25225,UgzgYm5066LdARdxrF54AaABAg,59,3 years ago,"her hometown, sichuan, china's countryside",她的家乡，四川，中国的乡村
37918,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8txyYiGCRjd,57,4 years ago,"she is from sichuan, that place has a nickname ""kingdom of heaven"", and is home to jiuzhai valley national park, google it, its quite beautiful.",她来自四川，那个地方有一个绰号“天国”，并且是柔泽谷国家公园的所在地，Google It，它非常漂亮。
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,4 years ago,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
48521,UgyklUqYt3lQKlQVPNZ4AaABAg.8qmpdK4kzrT8qmu8V8uyOW,52,4 years ago,"in sichuan, the kingdom of tianfu, but the courtyard is so fertile that ziyi was fermented with a barrel of barrels of fertilizers before it was fermented.
no pain no gain","在四川，天府之国嘛，不过那菜院子是子柒以前一桶一桶肥料发酵倒下去才那么肥沃的
no pain no gain"
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,4 years ago,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,3 years ago,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
