,语种,count,Language,地区
0,英语,40582,English,English
1,中文,7168,Chinese,Chinese
2,Emoji,4852,Emoji,Emoji
3,越南语,4983,Vietnamese,Languages of Other Asian Countries
4,韩语,3740,Korean,Languages of Other Asian Countries
5,阿拉伯语,2014,Arabic,Arabic
6,俄语,2092,Russian,Russian
7,西班牙语,1905,Spanish,Spanish
8,印尼语,2647,Indonesian,Languages of Other Asian Countries
9,葡萄牙语,1321,Portuguese,Portuguese
10,索马里语,1176,Somali ,Languages of Other African Countries
11,罗马尼亚语,949,Romanian ,Languages of Other European Countries
12,布尔语,993,Boer ,Languages of Other African Countries
13,日语,871,Japanese ,Languages of Other Asian Countries
14,意大利语,934,Italian ,Languages of Other European Countries
15,泰语,1061,Thai ,Languages of Other Asian Countries
16,菲律宾语,1093,Filipino ,Languages of Other Asian Countries
17,斯瓦希里语,882,Swahili ,Languages of Other African Countries
18,波兰语,746,Polish,Languages of Other European Countries
19,法语,777,French ,French 
20,德语,700,German ,Languages of Other European Countries
21,土耳其语,649,Turkish ,Languages of Other Asian Countries
22,威尔士语,590,Welsh ,Languages of Other European Countries
23,挪威语,646,Norwegian,Languages of Other European Countries
24,荷兰语,554,Dutch ,Languages of Other European Countries
25,爱沙尼亚语,555,Estonian ,Languages of Other European Countries
26,斯洛文尼亚语,394,Slovenian ,Languages of Other European Countries
27,芬兰语,399,Finnish ,Languages of Other European Countries
28,加泰罗尼亚语,340,Catalan ,Languages of Other European Countries
29,丹麦语,302,Danish ,Languages of Other European Countries
30,克罗地亚语,302,Croatian ,Languages of Other European Countries
31,阿尔巴尼亚语,288,Albanian ,Languages of Other European Countries
32,波斯语,213,Farsi ,Languages of Other Asian Countries
33,斯洛伐克语,259,Slovak ,Languages of Other European Countries
34,瑞典语,237,Swedish,Languages of Other European Countries
35,捷克语,236,Czech ,Languages of Other European Countries
36,马其顿语,177,Macedonian ,Languages of Other European Countries
37,保加利亚语,121,Bulgarian ,Languages of Other European Countries
38,马拉雅拉姆语,111,Malayalam,Languages of Other Asian Countries
39,立陶宛语,65,Lithuanian ,Languages of Other European Countries
40,匈牙利语,108,Hungarian ,Languages of Other European Countries
41,孟加拉语,100,Bengali ,Languages of Other Asian Countries
42,乌克兰语,84,Ukrainian ,Languages of Other European Countries
43,乌尔都语,59,Urdu ,Languages of Other Asian Countries
44,柬埔寨语,54,Cambodian ,Languages of Other Asian Countries
45,拉脱维亚语,106,Latvian ,Languages of Other European Countries
46,印地语,19,Hindi ,Languages of Other Asian Countries
47,泰米尔语,21,Tamil ,Languages of Other Asian Countries
48,老挝语,20,Lao ,Languages of Other Asian Countries
49,缅甸语,10,Burmese ,Languages of Other Asian Countries
50,泰卢固语,8,Telugu,Languages of Other Asian Countries
51,希腊语,10,Greek,Languages of Other European Countries
52,马拉地语,6,Marathi ,Languages of Other Asian Countries
53,僧伽罗语,6,Sinhala,Languages of Other Asian Countries
54,尼泊尔语,9,Nepali ,Languages of Other Asian Countries
55,卡纳达语,6,Kannada ,Languages of Other Asian Countries
56,旁遮普语,1,Punjabi,Languages of Other Asian Countries
57,库尔德语,1,Kurdish,Languages of Other Asian Countries
58,希伯来语,4,Hebrew ,Languages of Other Asian Countries
