,cid,votes,time,含cook,含cook中文翻译
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,4 years ago (edited),"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,4 years ago,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,1 year ago,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
34650,UgwapadIvugJ2RZYRlV4AaABAg,322,4 years ago (edited),"i admire her work ethic. i wouldnt be able to do anything without running my mouth or sweating. the grease wouldve popped me while cooking and i'm a weenie so i'd be bitching about that. my dog would be begging to be picked up, lambs hollering, just a country mess.",我钦佩她的职业道德。我无法在不伸出嘴或出汗的情况下做任何事情。油脂会在烹饪时弹出我，我是个weenie，所以我会为此bit之以鼻。我的狗会乞求被捡起，羊羔嘶嘶声，只是一个乡村混乱。
50563,UgyIf9B7LC3o_ShFBdJ4AaABAg,312,4 years ago,"chinese traditional snacks for the chinese new year 


chinese sugar-coated fruit 
spicy beef jerky 
dried mango 
peanut sesame brittle 
roasted chestnuts 
popcorn 
salty sunflower seeds 
fried peanuts 
crispy fried egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
snowflake crisp (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. the ratio of marshmallow, milk powder and butter is so important. the crisp will not be so hard or too soft, but chewy at the right ratio. )","春节中国传统小吃


中国糖衣的水果
辣牛肉干
干芒果
花生芝麻脆
烤栗子
爆米花
咸向日葵种子
炸花生
脆皮炸鸡蛋卷（鸡蛋液体50克，牛奶120克，普通面粉100克，蜂蜜，糖50克，玉米油/无盐黄油50克）
雪花酥脆（不粘锅：重要，棉花糖200克，奶粉130克，酸果蔓，栗子，饼干，干草莓，玉米油/无盐黄油40克。棉花糖，奶粉和黄油的比例很重要。酥脆不会如此坚硬或太软，但以正确的比例耐嚼。）"
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,4 years ago (edited),"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
40526,UgzKSj6Ebb_2_1z7bXl4AaABAg,169,4 years ago,damn she's good at cooking and making videos plus she's beautiful,该死的她擅长烹饪和制作视频，加上她很漂亮
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,4 years ago,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
16363,Ugza1oioWbMGLjNHtRV4AaABAg,145,3 years ago,litterly who are the 24k people who dislike her videos??? why do that she's not doing anything bad to you just peaceful cooking videos,"谁是不喜欢她的视频的24,000人？？？为什么她只是对你做任何不好的事情只是和平的烹饪视频"
