,cid,votes,time,含lol,含lol中文翻译
36749,UgwRFo-eaYSHbYMC5yR4AaABAg,5000,4 years ago,she's already on like year 99 of her harvest moon playthrough lol,她已经在收获月球发挥的99年大声笑了
16947,UgypOOuHQC0ytLcmXcJ4AaABAg,358,3 years ago,am i the only person who wants to see gordon ramsay’s reaction to her? lol,我是唯一想看到戈登·拉姆齐（Gordon Ramsay）对她的反应的人吗？哈哈
32343,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w15EJhWCZD,181,4 years ago,great...now she is stuck on a island with you. what did she do to you? lol,太好了...现在她和你一起被困在一个岛上。她对你做了什么？哈哈
4232,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9STfrGwo5_8,145,1 year ago,@diogomelo3705 lol she has a whole team behind her. i think she has her own brand in china tho.,@diogomelo3705大声笑她在她身后有整个团队。我认为她在中国有自己的品牌。
13831,UgzYMETrJFhhBjdRHM54AaABAg,90,2 years ago,those snacks look so professionally packaged. i thought she was gonna sell them. haha lol wow...shes amazing.,这些小吃看起来如此专业。我以为她会卖掉它们。哈哈大声笑...她很棒。
48934,Ugy_Uy_ejNzufvE5Irx4AaABAg,82,4 years ago (edited),wow. she is a hardworking young lady and beautiful. she was so cute when she went to cover her grandmas ears. then she was the one who jumped. lol.,哇。她是一位勤奋的小姐，很漂亮。当她去遮住祖母耳朵时，她真可爱。然后她是跳跃的人。哈哈。
7291,UgwJhCZEXvwvXgR5keB4AaABAg,36,2 years ago,everything she does looks so graceful and adorable while i look like a damn malfunctioning tank lol,当我看起来像个该死的故障坦克大声笑时，她所做的一切看起来都很优雅和可爱
48696,UgxHgsxUdoWbzmYMmvB4AaABAg,33,4 years ago,i could still remember the old ways people made popcorn.. lol so loud and scary...,我仍然记得人们制作爆米花的旧方式..大声笑这么大声而恐怖...
34592,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vHX-i6j1Bd,28,4 years ago,"@pnoplyr14 you probably never seen it before, it makes a huge sound when you open that thing. this video did something to limit the volume but it is actually pretty loud sounds like a bomb tho. lol",@pnoplyr14您可能以前从未见过它，当您打开那件事时，它会发出巨大的声音。该视频做了一些限制音量的事情，但实际上它的声音很大，就像炸弹。哈哈
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
13553,Ugw73Arzndi8SStLopd4AaABAg.9BhwngNN21u9Bwu8FM_4Ue,23,2 years ago (edited),"kuber star lol unfortunately her “big” team only have 3 people, include the camera man.",不幸的是，Kuber明星大声笑她的“大”团队只有3个人，包括相机人。
4211,UgyKc23AuiJNHvuCVi14AaABAg,22,1 year ago,"i am still baffled how citrus fruits can grow there when they actually have cold winters. if that's the case, why can't these fruits grow in tennessee, usa bc it's something i want to plant lol.",我仍然感到困惑的是，当柑橘类水果实际上有冷冬季时，它们如何在那里长大。如果是这样，为什么这些水果不能在美国田纳西州，不列颠哥伦比亚省田纳西州生长。
16178,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W99SDkClPufp,19,3 years ago,because this is what allows her to make money lol,因为这就是让她赚钱的原因
38041,UgwNz57LmVDeT1qu-RJ4AaABAg,19,4 years ago,"nice life
it looks like a story!
the food looks delicious, but the small items used are wonderful.
cat -shaped kamado, i laughed too cuteness lol","美好的生活
看起来像个故事！
食物看起来很美味，但是所使用的小物品很棒。
猫形的卡马多，我笑了太可爱大声笑"
37030,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uYJ_PvY3O5,18,4 years ago,"itz m i see you everywhere lol

yeah, if i could live life like this, i would be happy to give up internet and technology. i feel like it makes us unhappy in the end","我到处都看到你大声笑

是的，如果我能像这样生活，我很乐意放弃互联网和技术。我觉得这让我们最终不开心"
26965,Ugy8RAAnp_ZBpY9JrQ94AaABAg.8zYY1-WDGEr8zoKJmrzH9t,17,3 years ago,"r. f. staged? lol pets will follow you no matter what, even if it was staged. they donโ€t know. theyโ€re animals.",R. F.上演？大声笑宠物无论如何都会跟随您，即使它是上演的。他们不知道。他们是动物。
16968,UgypOOuHQC0ytLcmXcJ4AaABAg.98HJEXDK_vg98cr9bnHU1P,16,3 years ago,lol i imagine he would try to yell at her and then get spooked but the strange sensation of tranquility emanating from her. then turn around leaving confused on a bus with some tasty morsel she gave him.,大声笑我想他会试图对她大喊，然后被吓到，但是从她身上散发出的奇怪感觉。然后转过身让她在公共汽车上和她给他的一些美味的杂物感到困惑。
12564,UgyDYTKXiEQyhi9m2ll4AaABAg.9CyVJLQm4YV9D3GCy1r4vz,16,2 years ago,"martha marceline it is lol, she actually does this and videos it to sell her products, people have been doing stuff like this for thousands of years and some people still do it today",玛莎·马塞琳（Martha Marceline
4095,Ugx3UbEZOeUdEJllAtN4AaABAg,16,1 year ago,"japanese subtitles are increasing again! i'm happy! ✨
chinese mountain inspector and sugar sweets i saw on the way home from work today, i stopped getting lost, but i should have bought it ...! lingering
when i saw leeko's work, i wanted to eat it. lol ✨✨
i can't wait for a new video ... ✨","日本字幕再次增加！我很高兴！ ✨
我今天下班回家的路上看到了中国山区检查员和糖甜点，我不再迷路了，但我应该买...！挥之不去
当我看到Leeko的作品时，我想吃它。大声笑✨✨
我等不及一个新视频了... ✨"
