,cid,votes,含Chinese,含Chinese中文翻译
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,When I get depressed by reading comments full of hatred about China I come here. This is like the most friendly place towards Chinese people. Thank you Liziqi. It has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,"Her videos came to my attention by my 10-year-old daughter, she loved watching her videos on YouTube. Now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning Mandarin and this video will help us to know a little more about the traditional Chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,"I am Egyptian, I have 14 years. But I believe that the Chinese are the best people in the world. I am talking about Arabic, but I translate it into Chinese and let the Chinese understand. I love China and China, and I have been looking forward to all news from this great country in China. This is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,"This video shows the most traditional way of Chinese making popcorns, oh dear lord, all my childhood memories. Ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
50563,UgyIf9B7LC3o_ShFBdJ4AaABAg,312,"Chinese Traditional Snacks For The Chinese New Year 


Chinese sugar-coated fruit 
Spicy beef jerky 
Dried mango 
Peanut sesame brittle 
Roasted chestnuts 
Popcorn 
Salty sunflower seeds 
Fried peanuts 
Crispy fried egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
Snowflake crisp (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. The ratio of marshmallow, milk powder and butter is so important. The crisp will not be so hard or too soft, but chewy at the right ratio. )","春节中国传统小吃


中国糖衣的水果
辣牛肉干
干芒果
花生芝麻脆
烤栗子
爆米花
咸向日葵种子
炸花生
脆皮炸鸡蛋卷（鸡蛋液体50克，牛奶120克，普通面粉100克，蜂蜜，糖50克，玉米油/无盐黄油50克）
雪花酥脆（不粘锅：重要，棉花糖200克，奶粉130克，酸果蔓，栗子，饼干，干草莓，玉米油/无盐黄油40克。棉花糖，奶粉和黄油的比例很重要。酥脆不会如此坚硬或太软，但以正确的比例耐嚼。）"
50189,UgzC_AYMc9iKQDw54AR4AaABAg,235,"Happy Chinese new year.
Happy New Year!","Happy Chinese New Year.
新年快乐！"
33566,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28vPknnEU98G,226,J O jaaaโ€ฆ cuz itโ€s Chinese New Yearโ€ฆ she needs celebration and so do we โ€ฆ one thing is not enough,J o jaaa…因为春节新年……她需要庆祝活动，我们也需要……一件事还不够
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,"As a Chinese,I am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"I come from the same place with you, Li ZiQi. Everytime I watch your videos, it reminds me of my childhood and my grandmother. We also lived in the small and beautiful village in Sichuan Province. My grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. I'm so glad that you introduce our traditional rural lifestyle to the people all over the world. And let them know there are not only Beijing, Shanghai and Shenzhen in China, but also a land of abundance which last a unique lifestyle for more than thousand years, and named Sichuan, also the land of heaven in Chinese. But I can't back to Sichuan because of exams this year, and your video will accompany with me in the chinese new year. Support from a Chinese and Szechuanese in Italy. Happy Chinese New Year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"Im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on YouTube after i randomly searched Chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,"His name is Li Ziqi. She was orphaned since an early age, so she was raised by her grandparents.


He moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as DJ, but when his grandfather died, he returned to the field to take care of his grandmother. Especially she was the one who raised her.


Now load videos in Weibo, a Chinese platform, since people in China do not have access to YouTube or Facebook, etc. And his fans raise their videos on YouTube so that the other part of the world can enjoy this beauty.


Here is an edition to answer your questions:


1-This is an official YouTube account and she benefits from this account but is not sure of the other channels.


2 - It used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but I think she is not pretending the way she lives.


3-Vive in Sichuan (China).


I translated it from another message, so that people who do not understand English very well, or just prefer to read it in Spanish, or many more reasons. You are welcome! :^




PS: Thank you for reading it, I wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,"See how they treat their parents ,grand parents...They respect them most.....What a beautiful country.....What a beautiful life........I love china 
I wish I would be a Chinese guy .....Love you guys ,.Love your country, truly from the bottom of my heart....Thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,"Happy Chinese New Year Beautiful Lady and to Popo 

I'm so inlove with all your videos... Well Done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
47849,UgwWCOWPTTkmpP0vtDJ4AaABAg,167,HAppy Chinese new year am from Ethiopia,埃塞俄比亚的农历新年快乐
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,so happy to see that so many people in the world love Chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
51686,UgxYasu9FDqzWgUHqsl4AaABAg,134,"Happy Chinese new year 

","春节快乐

"
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"Li ziqi, and your family, and other chinese people, Happy Chinese New year! This video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
47987,UgwLW4o1hqOj1Kt0IX14AaABAg,130,Happy Chinese New Year,春节快乐
35014,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v5NldAD9mJ,127,โ€ @therewasnochill8997 I l just want taugh at your stupidity. It can be said that your education is not necessarily as high as her. She just chose to escape the big city after experiencing all kinds of life.Chinese women usually have no access to higher education๏ผhahahaha This is the biggest joke I have heard this year.,@thenwasnochill8997我我只想taugh以你的愚蠢。可以说，您的教育不一定像她那样高。她只是在体验各种生活后选择逃避这座大城市。中国妇女通常无法接受高等教育。
46170,UgwmcXaCHC83nLj3DVJ4AaABAg,126,Happy Chinese New Year❣ Thank you very much for the beauty❣❣❣ With Love from Russia❣❣❣,春节快乐❣非常感谢您的美女❣❣❣俄罗斯的爱
48260,UgwBblU4QoNakBytV7p4AaABAg,124,"Dear Ziyi, you bring hold to people on economic! No wars, face, point, Disease and SORROW If Everyone Learns to be loving and self-sufficient like you. You're an e ncyclopedia for us to standy forever:) Happy Chinese New Year from Eagle Mountain, Utah, USA.
Dear Ziyi, you bring hope to world peace.
If everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. You are our eternal encyclopedia:)
Happy New Year-greetings from Yingshan, Utah, USA.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
27179,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zL_6J0T1Q_,122,"i am Chinese and i am working in VN, come on, do what you want to do",我是中国人，我正在VN工作，来吧，做你想做的事
27721,UgzccLbaP8YfTilsZcF4AaABAg,117,"This is my favourite video by Ziqi so far, it has such a comforting effect, reminds me of spending Chinese new year at home with my family.",到目前为止，这是我最喜欢的Ziqi视频，它具有如此舒适的效果，使我想起了与家人一起度过农历新年。
52326,UgyXY00bdu8Z3KpM2ZN4AaABAg,114,"Leave a name, I wish all the Chinese pigs a happy year, their own blessings, healthy and peaceful!",留个名，祝所有华人猪年快乐，各有其福，健康平安！
44961,UgxF6fHp5nG5Nh5CLnp4AaABAg,97,"Who said french cuisine is the best ? Chineses is far better, healthier and richer. Am french.",谁说法国美食是最好的？ Chineses更好，更健康，更丰富。是法国人。
51691,UgzJF68EYULJZmn7f5l4AaABAg,97,Happy Chinese New year my motivated girl ❤❤❤ wish you luck in your life.,春节快乐，我的积极进取的女孩❤❤❤祝你一生好运。
47388,UgyPAmvkUntYoit6SJJ4AaABAg,90,Happy Chinese Newyear. Say hi to your lovely grandma.,快乐中纽约。对你可爱的祖母打招呼。
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,Fantastic Fantastic Fantastic really I liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy Chinese New year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
45779,Ugw5E_fX8RAn-9bIRsx4AaABAg,87,Happy Chinese spring festival to you and your grand mother (love u grand maa),中国春节快乐给您和您的祖母（Love U Grand Maa）
49215,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmkfWvd8Yr,84,She is doing many things in a traditional way. For instance the black machine that she use to make the popcorn is a traditional Chinese machine which is hardly seen in big cities in China. And the sugar hawthorn which is is also fabulous is a food in the memory of childhood.,她以传统方式做很多事情。例如，她用来制作爆米花的黑色机器是一种传统的中国机器，在中国的大城市几乎看不到。而且，也很棒的糖山楂是纪念童年的一种食物。
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,"It was all the traditional memories and things that I could not see in today's impetuous society. It was shocked that so many foreigners liked and commented. Seeing Li Zizhen's announcement video learned that many foreigners did not know that this was China. I do nโ€t know that Li Ziyi is the Chinese. Let them also see that China is not just a world factory, not only haze and industry ... We also have inheritance and good life. Let them see Chinese characters comment! Welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,Happy Chinese new year!! This video is awesome. God bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
48806,UgyHuwpbOpHWwevzdEh4AaABAg,76,Happy Chinese New Year,春节快乐
32600,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vt7B78NnH8,72,"The video reminds me of my childhood, many Chinese people used to live a life like that!",该视频使我想起了我的童年，许多中国人曾经过上这样的生活！
41123,UgzonIYreStf3b2FWBp4AaABAg,70,"Young people in contemporary China should return to their own culture. Modern Chinese young people have more than westernized, and they have reached the point of flooding. Those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. The customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
48671,UgwfR-8XXg2vnDU4RTd4AaABAg,63,Happy Chinese new year,农历新年快乐
35615,Ugxq5AogYh16tQtSC-x4AaABAg,63,"Foreign friends seem to have fallen, and they can't read Chinese at all.",外国友人们好像沦陷了，根本翻不到中文评论了哈哈哈
51500,Ugw11-qq_fElFiXqNZZ4AaABAg,63,Happy Chinese new year! don't forget to invite me,农历新年快乐！别忘了邀请我
21436,Ugx0WRbXZM6j3OugXxZ4AaABAg,62,"So proud of being a Chinese, and being immersed in such culture.",如此自豪地成为中国人，并沉浸在这种文化中。
23622,UgyjieguoxUFGm8Jkfp4AaABAg,58,"Ziyi, come on! It's too difficult to find a sentence in Chinese!",子柒加油呀！找句中文评论可太难啦！
48076,UgzQ0ZHjeB3O_R4NCvV4AaABAg,58,Happy Chinese New Year . From Viet Nam,农历新年快乐。来自越南
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,"Translated into Russian:

Translation: In this video, is it preparing snacks for the Chinese New Year. Year of Pig. Here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. Tsukati from hawthorn on a stick (Bing Tan Hulu). She covered the berries with Chinese stone sugar. Sesame and peanut sweets. Dried mangoes. Zephyr squares. Spicy and numb, sluggish beef. Frying seeds. Arachis fried. Egg roll note: Ms. Lee lives in the province of Sichuan, China. Sichuan from ancient times is called the earth of abundance. You can literally throw the seed to the ground, and the plant will grow like crazy. They have everything there. Some of those whom she uses can be inaccessible to people in other countries. A couple of her happy followers on Weibo will receive these snacks from her. She loves to give out free things to her followers. She said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
6082,Ugy7-7XUg_03pMGLvSx4AaABAg,56,This video finally broke through 90 million viewing volume! 100 million people are just around the corner. No one can surpass her in the influence of Chinese all over the world. It is not an exaggeration to call the Chinese first woman. She is the general representative of the top 100 billion Chinese in the world and is well deserved.,本视频终于突破了九千万观看量！一亿人次指日可待。全世界华人影响力没有人能超过她，称之为华人第一女性绝不为过，她是全世界十几亿华人的总代表，当之无愧。
14512,UgyJkhMiaXH04REetKp4AaABAg,55,"Girl Zi, you are great! Your video is exquisite and real, which inspires my memories as the Chinese. For thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and Chunhua Qiu Shi ... I hope that the Chinese can return to the original origin of life. One day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
48782,UgzY9XjMdZTksNhI74J4AaABAg,54,"The best Chinese culture ambassador, thousands love from Nigeria",中国最好的文化大使，来自尼日利亚的成千上万的爱
51946,UgyRqoq4BU372cgEWup4AaABAg,53,"A few days will be the New Year of the lunar calendar, I wish you all a happy New Year! The Chinese nation is great because of everyone!",过几天就农历新年了，祝各位同胞新年快乐！中华民族因各位而伟大！
48335,UgzNachsIUghyMWqZHt4AaABAg,53,The smell of fresh made egg rolls and nut crunch! It's Chinese New Year for sure. Happy Chinese New Year to everyone and may everyone have good fortune and prosperity in the year ahead,新鲜制成的鸡蛋卷和坚果紧缩的气味！肯定是农历新年。每个人都祝大家新年快乐，愿每个人在即将到来的一年都有好运和繁荣！
50376,UgwH_tgqjcUGWbgHUjl4AaABAg,52,I wish all Chinese and non -Chinese Chinese happy and happy,我祝愿所有中国人和非中国人的中国人幸福快乐
46784,UgxAZIpHVhLv5gWAjoF4AaABAg,51,"I’m so happy to see someone who can show the the different life of Chinese people, neither just the miserable one in some Chinese movies and western news, nor modern good life in some big cities from Chinese media. From the comments, I found most of us, no matter where are you from, share the similar value and aesthetics. We are not so different.",我很高兴见到一个可以展示中国人民生活的不同生活的人，既不只是中国电影和西方新闻中的痛苦，也不是中国媒体上一些大城市的现代美好生活。从评论中，我发现了我们大多数人，无论您来自哪里，都分享相似的价值和美学。我们没有那么不同。
16361,UgzBycKSOu7vNkvnqgJ4AaABAg,48,"Imma speak Chinese for ya
Hi, I am talking about Chinese, yes, I am using Google to translate and laugh loudly, and your video is also fascinating. I hope you don’t exit YouTube. Please make videos for us every day.","Imma speak Chinese for ya
嗨，我是说中文，是的，我正在使用Google翻译大声笑，您的视频也很引人入胜，我希望您不要退出YouTube，请每天为我们制作视频"
50413,UgwmMZ5xdhF2Ac0JS9l4AaABAg,48,I love your videos. God bless!!! Happy Chinese New Year,我爱你的视频。上帝保佑！！！农历新年快乐
