,cid,votes,time,含skill,含skill中文翻译
25390,UgxHnoGqfxk5wN16lwF4AaABAg,752,3 years ago,"the cinematography, the content, the editing skills. this is the most perfect video in youtube.",摄影，内容，编辑技能。这是YouTube中最完美的视频。
35814,UgxA7fqSFSw88yd25Ql4AaABAg,721,4 years ago,"i feel ashamed as a girl. she's beautiful, independent, and skillful",我作为一个女孩感到羞耻。她美丽，独立和熟练
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,2 years ago (edited),"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
43532,Ugzptg3CQ8sQyFpau5J4AaABAg,283,4 years ago,"cute , hard -working , skillful - these words are for her",可爱，努力，熟练 - 这些单词适合她
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
22170,Ugyehpm6WYaRRaPthnp4AaABAg,218,3 years ago,"other people: wow she has so much talent. look at all of her skills

me: wait. is that a round mango?","其他人：哇，她有很多才华。看她的所有技能

我：等等。那是圆形芒果吗？"
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,4 years ago,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
21311,Ugw56japdzLAqaFKzLd4AaABAg,95,3 years ago,"when she was doing the chores in childhood time, she probably didn't expect the seemingly mumdane skills would bring her a fortune.",当她在童年时期做家务时，她可能没想到看似穆丹的技能会带给她一大笔钱。
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
27811,Ugw9caR8LBdIHDxANAJ4AaABAg,64,3 years ago,"i have insurmountable respect and admiration for this woman. not just from what i see in the videos, but the fact she's bringing back to new life an archaic way of doing things. because of her i've learned a lot about culture, process and reaction. also because of her, i've gained several new skills.",我对这个女人有无法克服的尊重和钦佩。不仅是从我在视频中看到的内容，而且她将新生活带回了新生活，这是一种古老的做事方式。由于她，我学到了很多关于文化，过程和反应的知识。另外，由于她，我获得了几种新技能。
842,UgyaWS8UuyEJl7SHLEZ4AaABAg,49,6 months ago,your cooking skills are great! ❤️,您的烹饪技巧很棒！ ❤️
5418,UgzXFPB-s3SfFJ2RZc54AaABAg,46,1 year ago (edited),"she is the strongest woman that i have ever seen with multi-skills from the engineer, landscaper, and chef. big love from farmer's son.❤",她是我在工程师，园丁和厨师的多技能中见过的最坚强的女人。农民儿子的大爱。
8024,Ugz6IxDNzVy1W6qpOQp4AaABAg,42,2 years ago,who ever shot this video has great skills he shot this video like a movie,曾经拍摄过这段视频的人，他像电影一样拍摄了这段视频
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,3 years ago,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
11142,Ugz93V2m1bRLGjYqgi54AaABAg,34,2 years ago,"so many ability and so many skills, l like that kind of woman and very kind.",如此众多的能力和如此多的技能，我喜欢那种女人和非常友善。
7525,UgzNrsIZv0w0zdk12vd4AaABAg,33,2 years ago,"when i watched this, i was really impressed to see her very diligent and skillful daily activities...",当我看这件事时，看到她非常勤奋和熟练的日常活动给我留下了深刻的印象。
