,cid,votes,time,含kind,含kind中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
12355,UgyMVioOggs_pNfQW5R4AaABAg,230,3 years ago,"me: wants this kind of life

also me: lazy as hell","我：想要这种生活

也是我：懒惰"
17533,Ugz7qOySXHjdxny0QiZ4AaABAg,190,3 years ago,"i think this is what we call ""inner peace"" - all of us, literally, are desperately pursuing some kind of life like this. it is escapism but not 100 percent, as it is more positive. really really nice, heart-warming video. thank you.",我认为这就是我们所说的“内在和平” - 从字面上看，我们所有人都在拼命追求像这样的生活。它是逃避现实的，但不是100％，因为它更积极。真的很好，令人心动的视频。谢谢。
18791,Ugws-cr34RVZokUlHr14AaABAg,182,3 years ago,what kind of losers would dislike such video? cant figure out.,什么样的失败者会不喜欢这种视频？无法弄清楚。
19039,Ugxx0C0wczLWx2DIaoJ4AaABAg,159,3 years ago,"i just love asian food. last year i visited the philippines for 3 weeks. my next stop will definitely will be japan, china or korea. asian people are so friendly and kind.",我只是喜欢亚洲美食。去年，我访问了菲律宾3周。我的下一站肯定会是日本，中国或韩国。亚洲人是如此友好和友善。
15849,UgzXqMmiTZGBoG3lg7x4AaABAg,135,3 years ago,"as a european, i have never had the tangent with the specific food to the area you are from, what you cook, i call healthy food, all kinds of nutrients and vitamins etc, exactly what the body needs. i really like your lifestyle, even if you do not show it all, but seeing from the big perspective you lead a healthy life, we should take an example from you. greetings from romania :)",作为欧洲人，我从来没有与您来自该地区的特定食物，您烹饪的东西，我称之为健康食品，各种营养素和维生素等，这是身体所需的。我真的很喜欢您的生活方式，即使您不展示所有的生活方式，但是从大的角度来看，您过着健康的生活，我们应该以您的榜样为例。罗马尼亚的问候:)
31539,Ugzonvb4zsPJxUzVih54AaABAg,91,3 years ago,"hello 
i am from manipur,a north eastern state of india 
i would like to say that we have similar kind of lifestyle and food habits 
we also eat this kind of food
love from manipur,india","你好
我来自印度东北部的曼尼普尔
我想说我们有类似的生活方式和饮食习惯
我们也吃这种食物
来自印度曼尼普尔的爱"
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
13283,Ugw7mTzes4Bww0b6NbF4AaABAg,54,3 years ago,"she is so special ,this is the kind of dignity in labour that the early philosophers pontified about",她是如此的特殊
22172,Ugzt5VGHr6znPhq6-k14AaABAg,49,3 years ago,"the first time i saw this film was moved by ""a simple life is a kind of happiness"", thank you.
whenever you watch the films you take, you have an inexplicable sense of happiness.","第1次看到这部影片很感动〝简简单单的生活就是一种幸福〞，谢谢妳。
每每看妳拍的影片就有一种莫名的幸福感。"
