,cid,votes,time,含calm,含calm中文翻译
32585,UgzB8g7xi9aMF1JVfs94AaABAg,5900,4 years ago,"this video is so simple, yet so beautiful. so calming. 
also, dogs.","该视频是如此简单，但如此美丽。如此平静。
另外，狗。"
32048,UgwlrcsnlxBK_XQhCXd4AaABAg,920,4 years ago,"i honestly love, how she treats her grandma with so much respect and how she does everything for her grandma. plus this video is so calming",我老实说，她如何以如此尊重的方式对待祖母，以及她如何为祖母做一切。加上这个视频是如此平静
4154,UgwLpqWdlXqbbaIslTd4AaABAg,351,1 year ago,watching your videos can calm me down and forget the fatigue of my body,看你的视频可以让我心静下来，忘记身体的劳累
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,4 years ago,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
9906,UgxTT8TjCL4qHp9O4nR4AaABAg,179,2 years ago,"never bored , never tired , never afraid , always beautyful , fresh and calm , is she an e t ??? !",从来没有无聊，从不累，从不害怕，总是美丽，新鲜和平静，她是一个e t ？？？呢
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,4 years ago,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
20419,Ugw-yXWHCd-PwfvFmhZ4AaABAg,143,3 years ago,"i used to have sleeping problems and most of the time i just couldn't sleep, not even a wink but since i started watching her videos, my mind was more at ease. her videos are so soothing. she calms me down, i'm speechless",我曾经遇到睡眠问题，大多数时候我无法入睡，甚至不是眨眼，但是自从我开始观看她的视频以来，我的头脑更加轻松。她的视频是如此舒缓。她让我平静下来，我无语
29629,UgxbaLX7OxBso4mut8V4AaABAg,84,3 years ago,never seen such a calm face even with that much hard work!,即使有那么多辛苦的工作，也从未见过如此平静的面孔！
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,4 years ago,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,3 years ago,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
