,cid,votes,含video,含video中文翻译
27160,UgwoBK95SLTCe-m60uJ4AaABAg,11000,thanks to her for inspiring me to film my mom's video ! love from vietnamese.,感谢她激励我拍摄妈妈的视频！来自越南人的爱。
34997,UgyoQ22FTE7CBFzC4qx4AaABAg,9600,honestly what even is my life compared to this. wtf. i've done nothing and learned nothing. and she's over here doing hundreds of different things in all these videos,老实说，与此相比，我的生活是什么。 WTF。我什么也没做，什么也没学。在所有这些视频中，她在这里做了数百件事
36901,UgwFYQu0ZjqOQGWD12d4AaABAg,8500,i feel at peace with myself while watching these videos.,我在观看这些视频时与自己保持和平。
32585,UgzB8g7xi9aMF1JVfs94AaABAg,5900,"this video is so simple, yet so beautiful. so calming. 
also, dogs.","该视频是如此简单，但如此美丽。如此平静。
另外，狗。"
4212,UgybaqlaPDXgQ89PPld4AaABAg,2000,"i will never understand how she has time to film her life so beautifully and create videos, incredible hard work in addition to what we already see",我永远不会理解她如何有时间拍摄自己的生活，并制作视频，除了我们已经看到的东西之外，还令人难以置信的辛勤工作
32048,UgwlrcsnlxBK_XQhCXd4AaABAg,920,"i honestly love, how she treats her grandma with so much respect and how she does everything for her grandma. plus this video is so calming",我老实说，她如何以如此尊重的方式对待祖母，以及她如何为祖母做一切。加上这个视频是如此平静
9597,UgwiUKs9CznPh4uh4AJ4AaABAg,791,so cute how the animals follows her at the beginning of this video.,如此可爱的动物在这段视频开始时如何跟随她。
1709,UgyPBtl1WQcovNWYrzV4AaABAg,762,"3 years ago, i accidently found your video. your videos helped me to overcome my insomnia. when i cannot sleep, i’m always come back to your channel. i wish you will comeback & upload everything that you want. i’ll wait for you ziqi. stay safe & comeback stronger. i miss you.",3年前，我不小心找到了您的视频。您的视频帮助我克服了失眠。当我无法入睡时，我总是回到您的频道。希望您会卷土重来并上传所需的一切。我会等你ziqi。保持安全和卷土重来。我想你。
25390,UgxHnoGqfxk5wN16lwF4AaABAg,752,"the cinematography, the content, the editing skills. this is the most perfect video in youtube.",摄影，内容，编辑技能。这是YouTube中最完美的视频。
26104,UgwQdehRp_7a7Gz3Xz94AaABAg,745,in fact this video has like 14k dislike made me completely lost faith in humanity.,实际上，这个视频像14K不喜欢，使我对人类完全失去了信心。
18017,Ugy3LMgRRuVFh81SUkR4AaABAg,703,"the last time i wanted this, this video only have around 14 or 15 millions of views. and now, it have 52 million views! i am glad that more people are discovering her and appreciating her efforts.",上次我想要这个时，该视频只有大约14到1500万观看次数。现在，它有5200万次观看次数！我很高兴有更多的人发现她并欣赏她的努力。
27839,UgxTCG7E7cKPoaXj-Zl4AaABAg,602,"therapy: expensive 

watching ziqiโ€s videos: free","治疗：昂贵

观看Ziqi的视频：免费"
36716,UgwlBcbmXfA4FTQmFKR4AaABAg,573,"i just found your channel today and absolutely love it!! i love the editing, music, quiet/gentleness to your videos. your environment is amazing! you live a very blessed life. i wish i could live with you, be your sister and learn everything i could from you!",我今天刚刚找到了您的频道，绝对喜欢它！我喜欢您的视频的编辑，音乐，安静/温柔。您的环境很棒！你过着非常幸福的生活。我希望我能和你一起生活，成为你的妹妹，并从你那里学习一切！
30993,UgzF-bTIu0PQa86x5gB4AaABAg,565,why this much of dislikes... these are the most relaxing videos i have ever seen in youtube.. love from india... kerala,为什么这么讨厌...这些是我在YouTube中见过的最轻松的视频..来自印度的爱...喀拉拉邦
7648,UgyVKKt9TRIJ6j1NP6J4AaABAg,532,"when i’m stressed or worried, i watch her videos and feel instantly better. they are so relaxing and peaceful",当我感到压力或担心时，我会观看她的视频，并立即感觉更好。他们是如此放松和和平
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,"her videos came to my attention by my 10-year-old daughter, she loved watching her videos on youtube. now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning mandarin and this video will help us to know a little more about the traditional chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
16164,Ugz2Gjpul13TiuoJj9F4AaABAg,483,the fact that she makes so much money off of these videos but still decides to live this life style. respect.,她从这些视频中赚了很多钱，但仍然决定过这种生活方式。尊重。
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
29166,UgytiuO8JMZGnEFJAPh4AaABAg,459,"how can ppl dislike her videos
i mean
why 
hoooow","PPL如何不喜欢她的视频
我是说
为什么
哦"
48873,UgxUxrzh2_nXib9I-4h4AaABAg,459,the puppies are the best part of this video oh and the cute sheep too,幼犬是该视频中最好的部分哦，可爱的绵羊也是
26232,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8znk8cbTKoX,395,good going...watch marie kondo videos and learn about the konmari method. it will further change your life and clear your mind of debris. โจ,好吧...观看Marie Kondo视频并了解Konmari方法。它将进一步改变您的生活并清除碎片的思想。 ✨
19753,UgzmQ-ENkjs0c6wmtyh4AaABAg,393,i would love to visit and just be immersed into their everyday culture. these videos bring my soul so much peace and happiness.,我很想参观，只是沉浸在他们的日常文化中。这些视频给我的灵魂带来了如此多的和平与幸福。
