,cid,votes,含creative,含creative中文翻译
5794,UgyK-XA_36ouU70ty6l4AaABAg,743,she's beautiful and creative,她是美丽而富有创造力的
44632,Ugy0__yIcYQW0eVFT6J4AaABAg,27,"oh god, is it creative",哦，天哪，它是有创造力的
4249,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9U7cK2LgIEs,26,"let me tell you, i've read her interviews. initially (probably in 2016-2017) she was the only one who did the creative work, and then it wasn't until 2019 that she got help with the shoot, and her team was 4 people in total. but you have to understand that this video is like the creation of a film, she is the general director and she has to think through everything.",让我告诉你，我读过她的采访。最初（大概在2016年至2017年），她是唯一做创意工作的人，直到2019年，她才获得了拍摄的帮助，她的团队总共有4人。但是您必须了解，这段视频就像电影的创作一样，她是总监，她必须考虑所有事情。
3293,UgxsWCSQENIQVksug5t4AaABAg,10,she is so talented...... and her creativety of,她是如此才华横溢……以及她的视频的创造力，真的很放松
43276,Ugwjp6mD_8QH3_IJ_mp4AaABAg,10,"of course, i love this creature .. i feel a creative person. kalashi knows",当然，我喜欢这个生物..我感到一个富有创造力的人。卡拉什知道
15433,UgzD12Q99xkqhJjvWWV4AaABAg,9,"this lady is amazing her life is one i would want in future it's to die for; simple yet has like no expenses; she's so creative in what she does from sewing,making food staff,makeup,farming wow✨
her future husband is lucky 't get but oh well...

i started watching her videos today and you just can't stop they are so entertaining 's&i have watched her videos like all day
her skin too is beautiful","这位女士真是太神奇了，她的生活是我将来想要死的一生。简单但没有支出；她在缝制，制作食品员，化妆，耕种wow wow的方面都很有创造力。
她未来的丈夫是幸运的。

我今天开始观看她的视频，而你只是不能停止他们很有趣
她的皮肤也很漂亮"
10952,UgzhVlevfM4nBEn74tR4AaABAg,8,"the number of views of this video exceeded 70 million. last year, i followed only more than 50 million people. it rose more than 20 million a year, which was amazing. in addition, there are four videos that are watching more than 50 million. among them, the fourth snail powder has chased the persimmon and bamboo sofa from 30 million, and it is incredible! i don't understand, why do international netizens prefer this video so? as a chinese, i am more fascinated by her early fairy videos, such as lotus wine, cherry tea, and magical wonderland, but there is only one million levels of viewing. on october 22, sina weibo announced the interview with ziyi on the top of the mountain on the top of the mountain. in 16 minutes, zi yan first disclosed his creative concept, which is amazing. to her heart. she fascinated me. this video was uploaded to youtube for a few minutes, and international netizens missed it. chinese netizens can watch the whole process on weibo.",本视频观看数超过了七千万，去年我关注子柒时才五千多万人，一年涨了两千多万，太惊人了。另外，超过五千万观看的视频有四个，其中排第四的螺蛳粉从三千万追过了吊柿饼和竹沙发跃居第二，不可思议！我有点不明白，国际网友为什么如此偏好本视频？作为中国人，我更着迷于她早期的仙女型视频，如荷花酒，樱花茶，太魔幻仙境了，但却只有百万级观看量。10月22日，新浪微博公布了超级红人节V在山顶拍摄地对子柒的采访，16分钟，子柒第一次公开了自己的创作理念，令人叹服，也让人更深入了解到她的内心。她让我着迷。此视频上传YouTube几分钟便下架了，国际网友无缘观看了，中国网友可上微博看全程。
11539,Ugy1OdgA5g7bDH70mx94AaABAg,7,she really . makes me want to be creative with my cooking n had inspired me to eat healthy n yes to do something meaningful. her cooking equipment is just out of this world. you can literally eat restaurant style food even if you didn't have electricity. thanks liziqi. much love from kenya ๐ฐ๐ช๐,她真的。让我想在烹饪中发挥创造力，启发了我吃健康的n是，做一些有意义的事情。她的烹饪设备刚刚出来。即使您没有电力，也可以从字面上吃餐厅时尚的食物。谢谢Liziqi。来自肯尼亚的很多爱
34182,UgxD5rQ1YxsgDVchYf14AaABAg,4,"i love these videos that i am from iraq, continue creative โค",我喜欢我来自伊拉克的这些视频，继续创意❤
32539,Ugzyq0Ab3XJ4b-wSXYZ4AaABAg,4,amazing this girl very creative lots of hard work done by herself,这个女孩很有创造力，她自己做了很多艰苦的工作
