,cid,votes,含amazing,含amazing中文翻译
26229,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zlOA3tgif3,2000,that's amazing... i'm proud of you!,太神奇了...我为你感到骄傲！
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
36716,UgwlBcbmXfA4FTQmFKR4AaABAg,573,"i just found your channel today and absolutely love it!! i love the editing, music, quiet/gentleness to your videos. your environment is amazing! you live a very blessed life. i wish i could live with you, be your sister and learn everything i could from you!",我今天刚刚找到了您的频道，绝对喜欢它！我喜欢您的视频的编辑，音乐，安静/温柔。您的环境很棒！你过着非常幸福的生活。我希望我能和你一起生活，成为你的妹妹，并从你那里学习一切！
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
34368,Ugy9Gua_ThhMeAwifHN4AaABAg,461,"to the almost 8 thousand people who disliked this, screw you; this woman is amazing",对于近8000人不喜欢这个的人，拧你。这个女人很棒
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
5715,UgwzBQg7-QBAITj3EZl4AaABAg,243,"91m views?
damn... this channel is amazing","91m的视图？
该死...这个频道很棒"
36582,Ugxard-O2iki9tmSGul4AaABAg,212,the way they make popcorn it's just amazing,他们制作爆米花的方式真是太神奇了
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
40550,UgyUVF-ukZhG5S_N7a54AaABAg,164,"her youtube channel is only 1 year old and she already has 3m subscribers and more that 1m views on every single video, some of them have more that 5m views.this girl is amazing!",她的YouTube频道只有1岁，她已经拥有300万订阅者，并且在每个视频中有100万次观看次数，其中一些视频具有5m的视图。这个女孩真是太神奇了！
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"li ziqi, and your family, and other chinese people, happy chinese new year! this video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
26236,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpZdIVSaBg,121,amazing! glad you found a source of inspiration! :d,惊人的！很高兴您找到了灵感来源！ ：d
30201,Ugxi75m3jfJ6iANBcfR4AaABAg,117,amazing thatโ€s how we used to buy pop corn or pop rice. i would bring corn or rice to a street vendor and he would make it using that machine. the moment when he opened the machine is so thrilling to a kid,令人惊讶的是我们用来购买流行玉米或流行米饭的方式。我会把玉米或米饭带到街头供应商，他会用那台机器来做。他打开机器的那一刻让孩子如此激动
50342,UgzTiiUZ2CBs4UkvebF4AaABAg,114,"199 dislike? 199 jealous people, she’s amazing ❤️",199不喜欢？ 199嫉妒的人，她很棒❤️
40196,UgyPjH9TA52o85Jn9RZ4AaABAg,110,this beautiful young woman makes everything look so easy and very attractive!!! she is a unique and extremely talented lady. her work is always amazing and so very fun to watch. beautiful in all aspects!!,这个美丽的年轻女子使一切看起来如此轻松，非常吸引人！！！她是一位独特而极其才华的女士。她的作品总是很棒，而且非常有趣。各个方面都很美丽！
13831,UgzYMETrJFhhBjdRHM54AaABAg,90,those snacks look so professionally packaged. i thought she was gonna sell them. haha lol wow...shes amazing.,这些小吃看起来如此专业。我以为她会卖掉它们。哈哈大声笑...她很棒。
