,cid,votes,含princess,含princess中文翻译
30068,UgwuZpYWUJmsZqmhdLh4AaABAg,4000,she has puppies and lambs and other farm animals following her. she is one with nature. she's a disney princess.,她随后有小狗，羔羊和其他农场动物。她是大自然的人。她是迪士尼公主。
17906,UgzDvK01DKLdUHKPc-54AaABAg,3900,seriously we need a disney princess inspired by liziqi.,认真地说，我们需要一个受利兹奇启发的迪士尼公主。
28364,UgwAmh9mwbsNn2MrK6F4AaABAg,2200,she's like a disney princess.. but better because she can do anything,她就像迪士尼公主..但是更好，因为她可以做任何事情
21010,Ugz5P4xPsdR6Z9czEyd4AaABAg,1700,"this is the disney ""princess"" we've been missing.",这是我们缺少的迪士尼“公主”。
21499,Ugy_rDs8BM0sdE53Xk54AaABAg,1600,the way how those animals just followed her. she looked like a princess on disney or something.,那些动物跟随她的方式。她看上去像迪士尼公主之类的。
19491,UgxWYh3tKEOvDyMqR1J4AaABAg,1300,she's like a disney princess,她就像迪斯尼公主
12843,UgxFWm-44G4PmDY3zNx4AaABAg,952,"the puppies and the sheep following her around and sitting next to her while she worked.... that was so cute.
she's a disney princess y'all.","幼犬和绵羊跟随她，在她工作时坐在她旁边……太可爱了。
她是迪士尼公主。"
16554,Ugz1Wc9vM9ZHfkxa85N4AaABAg,817,the way the little animals follow her around... shes already a princess,小动物跟随她的方式...她已经是公主
22051,UgxNG3n_xxdO6362iad4AaABAg,699,sheโ€s like a disney princess with all the animals! i love her little lamb!,她就像所有动物的迪士尼公主！我爱她的小羔羊！
13801,Ugx3bP1pSZ7-tezrdiZ4AaABAg,517,so we have found the princess disney always featured,因此，我们发现迪士尼公主总是有特色
43470,Ugzo1FOEREGiFyITaGd4AaABAg,283,"she should become the brand ambassador of the united nations framework convention on climate change (unfccc). she is inspiring millions of people around the globe to opt for more sustainable and organic living. i wish and pray that her efforts reach larger and larger audience with each passing day and she becomes an agent of great changes in future! 

she is the daughter of nature! 
long live the princess !

love :-)","她应该成为《气候变化》（UNFCCC）的联合国框架大使的品牌大使。她激发了全球数百万的人，以选择更可持续和有机的生活。我希望并祈祷她的努力每天都在吸引越来越多的观众，她成为未来发生巨大变化的代理人！

她是大自然的女儿！
公主万岁！

爱 ：-）"
29964,UgwQP_4zpUALo_ikOQV4AaABAg,241,she is the real life disney princess...her life so full of life ...i love the part where she ran towards her grandma to close her ears,她是现实生活中的迪士尼公主...她的生活如此充满生活...我爱她朝奶奶闭上耳朵的那部分
46923,UgzcAtTTwDmVKhbSxP54AaABAg,227,are you a disney princess?,你是迪士尼公主吗？
