,cid,votes,含feel,含feel中文翻译
36901,UgwFYQu0ZjqOQGWD12d4AaABAg,8500,i feel at peace with myself while watching these videos.,我在观看这些视频时与自己保持和平。
32151,Ugw98zMUT5-2W4KP6xF4AaABAg,7600,i suddenly feel the urge to turn my life 180ยบ and become the best version of myself,我突然感到自己的生活180º并成为我自己最好的版本
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
15197,UgyHTBxfbnOo063npyt4AaABAg,752,i feel like i'm watching a real life ghibli studio anime.. damn,我觉得我正在看现实生活中的吉卜力工作室动漫。
35814,UgxA7fqSFSw88yd25Ql4AaABAg,721,"i feel ashamed as a girl. she's beautiful, independent, and skillful",我作为一个女孩感到羞耻。她美丽，独立和熟练
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
34454,UgwC72wbL_HvXEoXb414AaABAg,608,i feel lazy after watching everyone work so hard.,看着每个人都这么努力后，我感到懒惰。
7648,UgyVKKt9TRIJ6j1NP6J4AaABAg,532,"when i’m stressed or worried, i watch her videos and feel instantly better. they are so relaxing and peaceful",当我感到压力或担心时，我会观看她的视频，并立即感觉更好。他们是如此放松和和平
15625,UgyXRaztSJ9IRryX5hp4AaABAg,499,"she is so hardworking, doing millions of things every day. i feel like i am too lazy...",她是如此努力，每天做数百万件事。我觉得我太懒了...
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
36216,Ugw3qr-9--BZV3PyiBJ4AaABAg,426,even a millionier will feel jealousy with your lifestyle dear...very hard-working girl.!! โฎ๏ธ,即使是百万富翁也会对您的生活方式感到嫉妒...非常勤奋的女孩。 ☮️
7720,UgxSgCYsMbdkY4I6If14AaABAg,293,i don't know why i watch this. but it feels good,我不知道为什么要看这个。但是感觉很好
43012,Ugw9GZs9TOFagMN7TCV4AaABAg,265,after watching this ! i hate my life and i feel like i'm not healthy at all,看完这个！我讨厌自己的生活，我觉得我一点都不健康
