,cid,votes,time,含chinese,含chinese中文翻译
28521,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yc0W-svFgh,666,3 years ago (edited),@franzpeters3824 aren't you a little ray of sunshine! who peed in your cheerios this morning? can you speak chinese? thought not...,@franzpeters3824你不是阳光吗！今天早上谁在您的Cheerios中撒尿？你能说中文吗？以为没有...
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,1 year ago (edited),"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
30210,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yXhSJ6jIK1,458,3 years ago,"grandma is her biological grandma, but her adoptive mother somehow. ziqi lost her mother at very young age and step mother did not treat her well. then ziqi lost her father and her grandparents raised her up. ziqi said in a chinese variety show, she could have died without her grandparents. therefore, she has very strong bond with her grandparents.",奶奶是她的生物奶奶，但她的收养母亲以某种方式。 Ziqi很小的时候就失去了母亲，而继母的母亲并没有很好地对待她。然后Ziqi失去了父亲，她的祖父母抚养了她。 Ziqi在中国综艺节目中说，她本可以在没有祖父母的情况下死亡。因此，她与祖父母有着非常牢固的联系。
18583,Ugw-4ZcCGQMb7Of6XvF4AaABAg,251,3 years ago,"chinese traditional culture, 5 thousand years of civilization",中国传统文化，5000年的文明
9124,UgxfZGWrlWvdO6E-l814AaABAg,232,2 years ago,it just looks like she lives in a historical chinese drama hahaha,看起来她生活在一部历史悠久的中国戏剧《哈哈哈》中
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
27526,UgzAZjJKw_o8AI7YzX94AaABAg,198,3 years ago,"yes, i am a chinese. those dishes are edible after pickling! it tastes good! sour, crisp",是的，我是中国人。这些菜是可食用的！味道很好！酸，酥脆
9620,UgwsFV9cxgvP5uRBXmZ4AaABAg,184,3 years ago,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,3 years ago,this is the best channel to introduce chinese culture. i love to learn chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
28549,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8z7IJRbHYhY,114,3 years ago,"@franzpeters3824 she lives in china, why do you think she needs to speak english? can you speak chinese?",@franzpeters3824她住在中国，为什么您认为她需要说英语？你能说中文吗？
