,cid,votes,time,含paradise,含paradise中文翻译
42621,UgxpAuke_Y_UjO6Tiot4AaABAg,722,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
27685,UgyBT_uobGddYNwbPmB4AaABAg,229,3 years ago,"the place u live is a paradise, i wish once i may visit it as well meet u too",你住的地方是天堂，我希望我也能拜访你
32246,UgwIVJ8VTRpVAYBYhCh4AaABAg,201,4 years ago,i just found a virtual paradise! ๐ญ๐’• this is so beautiful. ๐’•,我刚刚找到了一个虚拟的天堂！
6922,UgyrQ9K7L0e09rYxm1t4AaABAg,32,2 years ago,it's very interesting i found myself productive throughout the day lately after i started watching this channel. she is not only a beautiful lady .. but everything she does is beautiful. every dish she makes looks soooooo delicious. even da land where she lives must be how the paradise is. priceless.,我开始观看此频道后，最近一天整天都发现自己很有成果。她不仅是一位美丽的女士..而且她所做的一切都是美丽的。她让她看起来很美味的每道菜。即使是她所居住的da土地也必须是天堂的样子。无价。
27828,Ugxn7d9TPCHaajv0a3J4AaABAg,17,3 years ago,such a sensity as if i got into paradise where people and nature live in harmony ...,那种感觉就像我进入了人和大自然和谐相处的天堂...
51688,UgypjSg4Q8BQXR-thnN4AaABAg,16,4 years ago,god's where this paradise on earth is,上帝的天堂在地球上是
28932,UgwMqsCihChClZzuD7p4AaABAg,15,3 years ago,"glory be to god, the greatest creation.
this beauty is on earth?!
so how about the paradise in which mulla ain rat, no permission, have heard, and there is no danger to my heart.
oh god, we see you the highest paradise of paradise","荣耀归于上帝，是最伟大的创造。
这种美丽在地球上吗？
因此，穆拉·艾因·鼠（Mulla Ain Rat）的天堂，没有许可，听到，对我的内心没有危险。
哦，天哪，我们看到你是天堂的最高天堂"
19250,UgyTS2sgaAYOUGhDfCF4AaABAg,8,3 years ago,"just like in paradise, everything is neat, clean, and everything grows! i looked at this fairy tale!",就像天堂一样，一切都整洁，干净，一切都在生长！我看了这个童话！
37392,UgzLuWWIjxJoUxUl-3Z4AaABAg,7,4 years ago,"i used to think that there is really such a paradise? i have a longing to learn a lot and support you, and your team allows us to see those foreigners in foreign countries. thank you, please come on. come on",以前觉得真的有这样的世外桃源吗 很向往 到现在学了很多东西 很支持妳吧 还有妳的团队 让我们在国外也可以看到 给那些外国人了解文化 很谢谢 加油
52984,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlOC0G-ANW,6,4 years ago (edited),"traveling and living is two different things. rural life is not a paradise. the author just edits the best side to everyone. behind it is invisible hardships. for example, with a series of oranges and a basket of grapefruit, this is not that we can bear it all day long in the air -conditioned room.",旅游和居住是两回事，农村生活并不是世外桃源，作者只是把最好的一面剪辑给大家而已，背后是看不到的辛苦。就拿有一段挑着一筐橘子一筐柚子来说，这就不是整天呆在空调房的我们能受得了的。
42864,UgybMj2UBeOhQ4YXvoZ4AaABAg,6,4 years ago,she lives in a paradise!!,她住在天堂里！
11128,UgyHOKdCw_xm4qIr-eN4AaABAg,4,2 years ago,ziyi's film is presented by the paradise that everyone is yearning for.,"子柒的影片, 呈现的就是每个人心中向往的世外桃源."
45993,UgxvJr9JM214IqV5SRB4AaABAg,4,4 years ago,she is a beautiful angel in the paradise.,她是天堂中美丽的天使。
