,cid,votes,含liziqi,含liziqi中文翻译
8439,UgziVro46SrJlBxVm494AaABAg,528,who is addicted to liziqi's videos like me,谁沉迷于像我这样的liziqi的视频
24746,UgywjeuRIp_tgmm9JFZ4AaABAg,402,"liziqi: makes really good home made food by getting it from plants and lakes she finds 

me: eats mcdonald’s while watching liziqi","Liziqi：从她发现的植物和湖泊中获得真正的自制食物

我：看麦当劳一边看利兹奇"
27455,UgyZ3AfyOCl5IgGc-cp4AaABAg,387,"if there ever is a zombie apocalypse, i want to be with liziqi.",如果有僵尸启示录，我想和liziqi在一起。
26860,UgzQ4OBGGGIyUq7xGMV4AaABAg,308,"while we spend hundreds of dollar try to buy what so called ""organic food"" liziqi just pick her ingredients in the backyard. it's awesome.",当我们花费数百美元尝试购买所谓的“有机食品”的东西时，Liziqi只是在后院选择她的食材。这很棒。
26194,UgwzdQr9XSbrxvGNSQF4AaABAg,249,"today is august 21, 2019 exactly two years since this channel was established. congratulations liziqi, our dear princess. happy 2nd year anniversary, we wish you more years of success and happines",今天是自该频道建立以来的2019年8月21日。恭喜我们亲爱的公主利兹奇。二周年快乐，祝您成功多年，快乐
34010,UgzhqLlw1RPT7apnOpB4AaABAg,227,"people: nature paradise don't exis-

liziqi: hold my rice bowl","人：大自然天堂不要偏离 - 

liziqi：握住我的米碗"
34243,Ugztc4zDHo36WMYUpj14AaABAg,216,"세상에.. 3 videos in a week ?? 
we dont deserve you, liziqi. thank you so much.","一周内的3个视频？
利兹奇，我们不应该得到你。太感谢了。"
25479,Ugxkaczi3rRY4eft6Y54AaABAg,198,who else would like to have liziqi’s life ?,还有谁愿意拥有利兹奇的生活？
26878,Ugw1irKHRAxrO4SOxdZ4AaABAg,189,"me: liziqi, do you know how to-
liziqi: y e s","我：利兹奇，你知道如何吗？
liziqi：y e s"
9620,UgwsFV9cxgvP5uRBXmZ4AaABAg,184,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
