,cid,votes,time,含want,含want中文翻译
37494,UgygxPB5Nnh5LDT2LDx4AaABAg,1300,4 years ago,"this is the kind of life that i want, thumbs up if want too ๐",这是我想要的生活，如果也想要的话，请大拇指
16668,UgwL7olMGPJTHMAkYId4AaABAg,1000,3 years ago,this is like the life i want to live but then i remember i don’t know shit and i’m probably gonna die of starvation,这就像我想过的生活，但后来我记得我不知道狗屎，我可能会死于饥饿
24832,UgyiDDa6tlz69ZPD3u94AaABAg,879,3 years ago,sis makes me want to live on the mountains and build a farm,SIS让我想住在山上并建造一个农场
1709,UgyPBtl1WQcovNWYrzV4AaABAg,762,1 year ago,"3 years ago, i accidently found your video. your videos helped me to overcome my insomnia. when i cannot sleep, i’m always come back to your channel. i wish you will comeback & upload everything that you want. i’ll wait for you ziqi. stay safe & comeback stronger. i miss you.",3年前，我不小心找到了您的视频。您的视频帮助我克服了失眠。当我无法入睡时，我总是回到您的频道。希望您会卷土重来并上传所需的一切。我会等你ziqi。保持安全和卷土重来。我想你。
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,1 year ago,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
18017,Ugy3LMgRRuVFh81SUkR4AaABAg,703,3 years ago,"the last time i wanted this, this video only have around 14 or 15 millions of views. and now, it have 52 million views! i am glad that more people are discovering her and appreciating her efforts.",上次我想要这个时，该视频只有大约14到1500万观看次数。现在，它有5200万次观看次数！我很高兴有更多的人发现她并欣赏她的努力。
24185,Ugyfp-OANSszCqro3EB4AaABAg,699,3 years ago,"if i die and go to heaven, this is what i want my heaven to look like.",如果我死了，去天堂，这就是我想要天堂的样子。
2237,UgwojBqA1rIKuxWouGZ4AaABAg,535,1 year ago,"it makes me want to make snacks. it’s not so hard as imagined. thank you, li ziqi. hope you get back what you deserve for your contents, kick these greedy businessmen’ ass and come back soon.",这让我想做零食。它并不像想象中的那么难。谢谢，李齐。希望您能拿回来的内容，踢这些贪婪的商人的屁股，然后很快回来。
16947,UgypOOuHQC0ytLcmXcJ4AaABAg,358,3 years ago,am i the only person who wants to see gordon ramsay’s reaction to her? lol,我是唯一想看到戈登·拉姆齐（Gordon Ramsay）对她的反应的人吗？哈哈
36906,Ugys5HUZ3Qn6uKkPGj14AaABAg,318,4 years ago,"seeing her makes me want to go to my village and live on my own...making small house ..gardening,farming๐’๐’๐’๐’",看到她让我想去我的村庄独自生活...制作小房子..守夜，耕种
22422,UgyqKauAAZRkyW6NhbJ4AaABAg,305,3 years ago,"i see how feminine and strong she is, living with the harmony. it's life that i want it, damnnnn love it so much",我看到她与和谐相处，她是多么的女性化和坚强。我想要的是生活，该死的人非常喜欢它
15610,UgxTaUm27lABHJq4Pul4AaABAg,204,3 years ago,"this is the life that everyone wants to live, but they can't.......",这是每个人都想过的生活，但他们不能.............
11562,UgzV9_5Gzc-peiVcKK94AaABAg,195,2 years ago (edited),"thatโ€s the most hardworking girl iโ€ve ever seen. i want to have her talent and sweet, patient temperament.",那是我见过的最勤奋的女孩。我想拥有她的才华和甜美，耐心的气质。
52519,UgwbP6W2HBDiHTTV3UV4AaABAg,171,4 years ago,i want to wish you happy chinese year,我想祝你中国快乐
23629,UgwpCFZj1EV4wAug2dt4AaABAg,166,3 years ago,sounds stupid but i have to say that i really want to cry after seeing this video. the heaven should be like this!,听起来很愚蠢，但我不得不说我真的想在看这部视频后哭泣。天堂应该这样！
24364,Ugzpl0UNkc7Sdjcaac94AaABAg,136,3 years ago (edited),these foods are seriously made me feel want to celebrate chinese new year,这些食物很认真地让我觉得想庆祝农历新年
35014,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v5NldAD9mJ,127,4 years ago,โ€ @therewasnochill8997 i l just want taugh at your stupidity. it can be said that your education is not necessarily as high as her. she just chose to escape the big city after experiencing all kinds of life.chinese women usually have no access to higher education๏ผhahahaha this is the biggest joke i have heard this year.,@thenwasnochill8997我我只想taugh以你的愚蠢。可以说，您的教育不一定像她那样高。她只是在体验各种生活后选择逃避这座大城市。中国妇女通常无法接受高等教育。
27179,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zL_6J0T1Q_,122,3 years ago,"i am chinese and i am working in vn, come on, do what you want to do",我是中国人，我正在VN工作，来吧，做你想做的事
41743,Ugx4_J6g5aPAJWKg_Z54AaABAg,117,4 years ago,.. if she is a dream then i dont want to wake up..,..如果她是一个梦，那我就不想醒来..
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,3 years ago,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
47093,UgzfVM2xoQeYFYLSx8x4AaABAg,75,4 years ago,"hahaha has a shot and put back many times by me: when the popcorn is going to explode, zi zi zhe ran away quickly and covered her mother -in -law's ears and was afraid that she was scared. as a result, i was scared to jump. a weak girl also wanted to protect her mother -in -law, cute mother -in -law, beautiful and kind zi yan, hoping her mother -in -law to be healthy!",哈哈哈 有一个镜头被我回放好多遍： 爆米花要爆炸时子柒笨笨的飞快跑去捂着婆婆耳朵怕她被吓着，结果自己被吓得跳起来，好可爱呀。 一个弱小的女孩还想着去保护婆婆，可爱的婆婆，美丽善良的子柒
2963,UgxNvbg3jVHWU7L27AB4AaABAg,75,1 year ago,"i admire you, beautiful girl! you are an extraordinary sorceress! give the lord to your health, your grandmother. you are a huge female happiness! i constantly watch all your issues, naturally signed. how i want to visit such a place, get acquainted with you, to adopt something interesting for yourself. live happily and happily, beauty",我很欣赏你，美丽的女孩！你是一个非凡的女巫！给予主，使您的健康，祖母。你是一个巨大的女性幸福！我不断地观察您的所有问题，自然而然地签名。我想如何去这样的地方，结识您，为自己采用有趣的东西。幸福快乐地生活，美丽
12604,UgwkeqJWwAdu2Rb2pr94AaABAg,70,2 years ago (edited),this video should be watched by people who wants do world war 3,想要做第三次世界大战的人应该观看此视频
10006,Ugzv1BoF0naJsVmCujl4AaABAg,69,2 years ago,watching hardworking people achieving their goals... suddenly me and my lazy ass thinking i want that life...,看着勤奋的人实现自己的目标...突然我和我懒惰的屁股以为我想要那个生活...
16564,Ugy8NX153xGIGHcd5PF4AaABAg,69,3 years ago,"when i retire, i want to have a peaceful life like hers.",当我退休时，我想拥有像她一样和平的生活。
42750,UgyFDTHkxmNs3fuKMyF4AaABAg,67,4 years ago,"breathtaking videos ,wonderfull way of living ,i want to live there",令人叹为观止的视频，美妙的生活方式，我想住在那里
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,3 years ago,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
44022,UgycNSkJt1wQbPlIH414AaABAg,62,4 years ago,i wanted to eat .. any brazilian?,我想吃..巴西人吗？
52946,UgzVUw4UnqLW7N-jjil4AaABAg,60,4 years ago (edited),"i love this video! every time i see li ziyi's video, i have a feeling that i want to travel to sichuan. after reading this time, i have this idea more again",I love this video! 每次看到李子柒的影片，都有一种很想去四川旅游的感觉。这次看完以后又更加有这个想法了
45269,Ugy7Zl3Xx4CNZLu90Jx4AaABAg,60,4 years ago,i really want to try/make the snow crisp...,我真的很想尝试/使雪酥脆...
38436,Ugw6VX6WzlIr6pAa93Z4AaABAg,57,4 years ago,oh my god am i only want this beautiful place ??,哦，天哪，我只想要这个美丽的地方？
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,4 years ago,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
3150,UgzfSVArT_U8VK95FNZ4AaABAg,55,1 year ago,the scenery made me forget fatigue and sadness. i just want her to keep healthy.,风景让我忘记疲劳和悲伤。 我只希望她保持健康。
30078,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xUwF-BAyW9,52,3 years ago,@annieschmitz1691 maybe she didn't want to eat him maybe she want to have lamb for pet like my grandparents they have 3 lambs and they will never eat them they love them so much and u can see in her videos she never ate meat !!! ๐๐ค“๐,@annieschmitz1691也许她不想吃他，也许她想像我的祖父母一样拥有宠物羊肉，他们有3只羔羊，他们永远不会吃它们，他们非常爱他们，您可以在她的视频中看到她从未吃过的肉！呢
33765,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vlpwEtdTbo,49,4 years ago,"she eats everything fresh like literally fresh right from trees ๐ญ
i want to live like this","她吃了新鲜的东西，就像从树上从树木上真正新鲜吃
我想这样生活"
9150,UgyC_WUzCm8zQ9s0ZHJ4AaABAg,48,2 years ago,"as much as i want to say that this is cool and i want to live like this think about it. 
would your lazy ass be willing to do what she does everyday? doubt it. some people, maybe. but i think this is a lot more than what meets the eye. we are just seeing the aesthetics. not the pain, fatigue, exhaustion or the time. this is admirable, however i think people need to understand more what she is doing. 
and be a lot more careful of what they say.","就像我想说的那样，这很酷，我想像这样的生活。
您的懒惰屁股愿意做她每天做的事情吗？对此感到怀疑。有些人，也许。但是我认为这远远超过了眼睛。我们只是看到美学。不是疼痛，疲劳，疲惫或时间。这是令人钦佩的，但是我认为人们需要更多地了解她在做什么。
并且要对他们说的话更加谨慎。"
12629,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0H_TeqncF,47,2 years ago (edited),"the hate is not directed towards the citizens, it's the government. and if you fail to see that, then you are part of the problem. chinese government has taken important resources from canada during the start of this pandemic. chinese government has taken over parts of philippines sea. chinese government has taken over the rights of people living in hong kong. chinese government has censored many who wants to spread the truth. chinese government has taken over the country of tibet, and it's resources. i have no hate towards its people. but their government needs to be exposed and taken responsible.",仇恨不是针对公民，而是政府。如果您看不到这一点，那么您就是问题的一部分。在这次大流行期间，中国政府从加拿大占据了重要的资源。中国政府接管了菲律宾海的部分地区。中国政府接管了居住在香港的人们的权利。中国政府对许多想传播真相的人进行了审查。中国政府接管了西藏国家，这是资源。我对它的人没有仇恨。但是他们的政府需要暴露并承担责任。
35298,Ugwh_TmTye2v6sL3BIt4AaABAg,47,4 years ago,this video makes me want to live in that peaceful village instead of crowd city๐,这段视频使我想住在那个宁静的村庄，而不是人群城市
27781,UgxmRUOpewkegS7V9t14AaABAg,46,3 years ago,"wowww. soo many things she makes. suddenly i want peanuts, popcorn, and the candy she made. yummmy",哇。她做了很多事情。突然，我想要花生，爆米花和她制作的糖果。点菜
5789,UgzY4We3T-EHrrIwkeh4AaABAg,42,2 years ago,"i wish she could let me stay with her, i wouldn’t even ask for salary and would do all the chores.. i just want live the moments with these people in that village. its so peaceful so soothing. i feel like i could bury all my sins there and start a new life.",我希望她能让我和她在一起，我什至不会要求薪水，也会做所有的琐事。.我只想和那个村庄里的这些人一起生活。它是如此宁静，所以舒缓。我觉得我可以将所有的罪恶埋在那里，开始新的生活。
17677,UgwcU9PCMVmc_ZXBZHF4AaABAg,41,3 years ago,"is her sugar gourd more concerned about selling? the hawthorn is round and red, and it looks delicate. this video makes people want to go home for the new year.",比较关心她的糖葫芦有没有拿去卖
29438,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8xv9Ca_aPud,39,3 years ago,"to be honest, this is the most authentic portrayal
ordinary people just want to live a stable life.
any good song to read more than the head of state world","说老实话 这就是最真实的写照
普通老百姓 只想安稳的生活 谁没事一天扯政治 搞事情
随便一个好听的歌 点阅 比 全世界元首演讲 加起来要多"
