,cid,votes,time,含oh,含oh中文翻译
22659,UgyBT7lL44bJijTqXmd4AaABAg,916,3 years ago,"normal person: oh hey, a chestnut

liziqi: i can make like 20 dishes from this.","普通人：哦，嗯，栗子

Liziqi：我可以从中做20道菜。"
48873,UgxUxrzh2_nXib9I-4h4AaABAg,459,4 years ago,the puppies are the best part of this video oh and the cute sheep too,幼犬是该视频中最好的部分哦，可爱的绵羊也是
43695,UgxNzJ6PZiQymaiNV3R4AaABAg,456,4 years ago,"oh my! where do you live? can i be your neighbor, please?",天啊！你住在哪里？我可以成为你的邻居吗？
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,1 year ago,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,3 years ago,"this video shows the most traditional way of chinese making popcorns, oh dear lord, all my childhood memories. ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
15709,Ugxp2AETn10a-1LHj0t4AaABAg,110,3 years ago (edited),"oh gosh... i ate almost all of these when i was younger in china... this reminds me a lot my childhood ♥

(my english is not very good sorry)","哦，天哪...我在中国年轻的时候几乎吃了所有这些...这使我想起了很多我的童年♥

（我的英语不是很好，对不起）"
26237,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zpaKgdDgF0,95,3 years ago,oh i know how you feel. i'm really proud of you!,哦，我知道你的感觉。我真的为你感到骄傲！
15558,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99dXFjJWa4h,71,3 years ago (edited),@lindseyrubenstein6028 oh really you don't get scared by loud noices what a braveheart. i'm still get scared by loud noices. and i think it's normal for humans to get scared by loud noices. you must be an extraordinary person,@lindseyrubenstein6028哦，真的，你不会因为大声的勇气而害怕。我仍然被大声的声音吓到了。而且我认为人类被大声的声音吓到是正常的。你必须是一个非凡的人
12583,UgwCmVfJPpdoJOFSu1J4AaABAg,60,2 years ago,"me, throughout this video: oh that looks good, oh i don't like nuts but that looks so good, oh what is that it looks so good",我，在整个视频中：哦，看起来不错，哦，我不喜欢坚果，但看起来很不错，哦，它看起来很好
38436,Ugw6VX6WzlIr6pAa93Z4AaABAg,57,4 years ago,oh my god am i only want this beautiful place ??,哦，天哪，我只想要这个美丽的地方？
