,cid,votes,含best,含best中文翻译
11532,UgwOKaIWeB3nIXK7cUJ4AaABAg,1800,"i would like to say one thing, you have a best cameraman. one like to cameraman ❤",我想说一件事，你有一个最好的摄影师。一个喜欢摄影师❤
14876,UgxEWna8ZL1zTxibmY54AaABAg,800,"the best part about all of these videos is that every single piece of food and every single ingredient is 100% fresh, healthy, and pesticide/steroid free. i envy that the most of all, to be honest.",所有这些视频最好的部分是，每片食物和每种成分都是100％新鲜，健康和农药/类固醇的。老实说，我最羡慕最重要的是。
31717,UgzXGcQUxZHhzvFjDeR4AaABAg,400,"i accidently pressed this video 
and.....



it was my best mistake everrr 


edit:jezzz 300+ likes?!
by the way i'm new here","我不小心按下了这个视频
和.....



这是我最好的错误


编辑：jezzz 300+喜欢？
顺便说一句，我在这里新来"
11099,UgwOJB9Gsj9koPkpkSF4AaABAg,218,the best part is when she’s feeding her grandma with all that cooking!,最好的部分是当她用所有烹饪喂养祖母时！
19592,UgzYnvxewu4S3f8iRs54AaABAg,213,she is also one of the best content makers in china.,她还是中国最好的内容制造商之一。
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,this is the best channel to introduce chinese culture. i love to learn chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
31663,UgxHNMm2NE0yst3B9Ex4AaABAg,150,"i notice you always do more then one meal for every video, and always keep me enjoying them. no doubt you are absolutely the best.",我注意到您总是为每次视频做更多的一顿饭，并始终让我享受它们。毫无疑问，您绝对是最好的。
10430,UgxHKXzlUOij09tyUjZ4AaABAg,135,"her sense of humor is the best lmao 

“careful replicating this at home. you don’t want fermented fingertips and nails.”","她的幽默感是最好的lmao

“小心在家里复制这个。您不需要发酵的指尖和指甲。”"
30826,UgzqEgJcid6Z_Gjozqh4AaABAg,92,bamboo shoots and escargot the best combination,竹芽和锁骨最佳组合。我在印度东北部我们最喜欢的我们最喜欢的纳迦菜之一
16408,UgzXBeip5ph5HSUetoZ4AaABAg,83,who wouldn't want this girl to be his wife...best girl on planet earth,谁不想让这个女孩成为他的妻子...地球上最好的女孩
29571,UgzEUZUMf9O4GqDcxOZ4AaABAg,25,"the best channel in youtube unlike some channel she didn't even have to promote her channel to her subscribers once you are here its contagious...btw love every single episode of your video, i'm from a from a small town of meghalaya, india i'm tribal we have some cuisine similarity.",YouTube上最好的频道与某些频道不同，她甚至不必将自己的频道推广到订户，一旦您来到这里，它的传染性...顺便，印度我是部落，我们有一些美食的相似之处。
3221,UgzEPLIdJbVtDgTRKHZ4AaABAg,22,"this cinematography is best, thus makes the video look more interesting",这种摄影是最好的，因此使视频看起来更有趣
2783,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9TGliqAjNSs,20,"you would want to live this kinda life for maybe 2months at best then you start missing all the convenience we have today. nobody really wants to do backbreaking work on fields all day with insects and other stuff. raising lifestock is also smelly as heck. don't forget all the mosquitoes and flies.

its also not all that uncommon to get parasites in you.

country life is hard and there are no rainbows.","您希望充其量可以过2个月的生活，然后您开始错过我们今天拥有的所有便利。没有人真正愿意整天用昆虫和其他东西在田野上做艰难的工作。升起的生命力也像Heck一样臭。不要忘记所有的蚊子和苍蝇。

在您里面得到寄生虫并不是那么罕见。

乡村生活很艰难，没有彩虹。"
32622,Ugye2ai1nuuRTzO_MeJ4AaABAg,15,one of the best channel on earth. i really like ur place. i hope someday i will visit ur place.,地球上最好的渠道之一。我真的很喜欢你的地方。我希望有一天我会去你的地方。
3043,Ugz_hjghNsX4bW7zDrZ4AaABAg,14,i really bought it back ~ it is the best version i have ever eaten because i have sour because i love the sour person ~ thank you little fairy,我还真的买回来吃了~是我吃过最好吃的版本因为偏酸~个人好爱偏酸的口味~谢谢小仙女
20533,UgyBk2UPHkpNKrmlayJ4AaABAg,13,this is the best video that i have seen lately.,这是我最近看过的最好的视频。
