,cid,votes,含relaxed,含relaxed中文翻译
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
4136,Ugx2Bn8O1FroGaCiTYp4AaABAg,151,"in a time where everything is fast and noisy, it's good to get these relaxed vibes and natural sounds, like drops of water, birds :)",在一切快速而嘈杂的时候，最好获得这些放松的氛围和自然的声音，例如水，鸟类，鸟:)
30174,UgyFEcgWfMqUoU4AvAd4AaABAg,7,"so i want to feel life in the house, so natural without the burden of metropolis, without a mall, without traffic without anger that is only relaxed and so happy ... ☺️",因此，我想感受到房子里的生活，自然而然地没有大都市的负担，没有购物中心，没有交通，没有愤怒，只有放松而快乐...☺️
29974,Ugz8MB3qs8Obi7esJ2h4AaABAg,5,love watching your videos. keeps me calm & relaxed!!,喜欢观看视频。让我保持镇定和放松！
3287,UgxaASPeaYaP-PqZ4Hh4AaABAg,5,"you had lost me and battle to find you, i love your videos i appreciate them and enjoy a lot relaxed to me.",您失去了我，为找到您而战，我爱您的视频，我感谢他们，并为我感到非常放松。
6370,UgyC1hGuDLeLskoc7h54AaABAg,3,"i love watching these videos!! i feel so relaxed, and i learn something!!",我喜欢看这些视频！我感到很放松，我学到了一些东西！
2765,UgxsigB57nPou-E6l3x4AaABAg,1,when i watching your video i feel relaxed,当我观看您的视频时，我感到放松
15283,Ugyb2fyu9_yjdJXAXT54AaABAg,1,"after watching the videos you made in the annoying social environment, i feel very relaxed, thank you",在烦厌的社会环境下看完你拍的影片，令我心情很放松，谢谢你
11090,Ugzqg9lpBM2IHyyYA7Z4AaABAg,1,don't know why i'm so relaxed by watching someone doing her things. it's weird feeling but amazing.,不知道为什么我看着有人在做她的事情而感到放松。这很奇怪，但很棒。
26477,Ugw8gelqMPrD9ttpoSV4AaABAg,1,"i am vietnamese, i feel very relaxed when watching your video, it's really peaceful, really peaceful, i love this channel ...",我是越南人，观看您的视频时，我感到非常放松，它真的很宁静，非常和平，我喜欢这个频道...
7963,Ugw0rp265yhGl2_wUkZ4AaABAg,1,iam from algeria arabic ๐ฉ๐ฟifollow you ilove your relaxed๐๐๐๐ life style and i admire you,来自阿尔及利亚阿拉伯语的iam tollovely you you you your your hixed the the toeld
33158,UgzhDUCtJTtYElDRRoh4AaABAg,1,"these videos relaxed me too much, i would love to live in such a place ... everything is very beautiful.",这些视频让我感到非常放松，我很想住在这样的地方……一切都很漂亮。
3368,Ugytp4AExNyRix8dGbJ4AaABAg,1,thanks your video it's make me feel relaxed,谢谢你的视频，这让我感到放松
33170,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV28U6tgWg,1,"hello from vietnam! this vid is really relaxed and peaceful to enjoy the weekend, right? :)",来自越南！这个vid真的很放松，享受周末，对吗？ :)
3246,UgzEp0FVwYGUxD5OU-J4AaABAg.9PMwMuFsvmp9Vz0y3bFW7Z,1,"hello, i also feel a bit lonely, but i watched these videos, and they relaxed a lot: d",你好，我也觉得有点孤独，但我看了这些视频，它们让我放松了很多：D
24525,UgzRGff8Y2oCTGmTkXN4AaABAg,0,i wish to live a life like this in my next life. where it seems relaxed and everything.,我希望在下一生中过上这样的生活。它看起来很放松，一切。
31279,UgxSOF7jwBQIxtu8LeF4AaABAg,0,"we chinese are really studying arts, probably because they are too long. cooking is really dedicated and relaxed. li ziyi is a high -level practice.",我们中国人对食物真是当艺术在钻研，大概是历史太长的缘故。做菜真能让人专注又放松，李子柒这是种高级的修行。
30626,UgxUyrQVDEOUSneiEXR4AaABAg,0,"every night before bed, i often watch your video !! i feel very relaxed in my soul.",每天晚上睡前，我经常看你的视频！我的灵魂感到非常放松。
27787,UgwHJVNsUYsI7QCcsol4AaABAg,0,"every time you watch your video, your body and mind will be relaxed, thank you","每次看你的视频,身心都会得到放松,谢谢"
26551,Ugy6JJ1SntrlhwChdhR4AaABAg,0,"traditional lifestyle, relaxed",传统生活方式，怡然自得
32660,Ugzgmlx91aJ2M7dKaJN4AaABAg,0,"i saw your all videos i like your☺️ videos and you are so beautiful't know, whenever i see your video i feel very relaxed.",我看到了您的所有视频，我喜欢您的☺️视频，您是如此美丽
16956,UgypcTMSERhsesivfvt4AaABAg,0,"when i watch her videos, it makes me feel so relaxed. they take me to another place where my problems aren't of importance. i love her videos",当我观看她的视频时，这让我感到非常放松。他们带我去了我的问题并不重要的另一个地方。我爱她的视频
23534,Ugz6khivMmtg8xJ8Nrd4AaABAg,0,"such an atmosphere, as if they live in their small planet, where there are no more people besides them. all videos are very relaxed",这样的气氛，好像他们住在自己的小星球上，除了他们以外没有更多的人。所有视频都很放松
