,cid,votes,time,含hope,含hope中文翻译
30207,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yXOZXC2G_r,185,3 years ago,"i hope that next time i can make a mustard fried tea egg, let the taiwanese open up",希望下次能做一个榨菜炒茶叶蛋让台湾人开开眼界
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,2 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
10804,Ugyl3d_LVvdGWhYXrP54AaABAg,61,3 years ago,"i can't not picture how tired she is at the end of the day, after doing all of that. cooking, collecting, maintaining, it's amazing! i hope she rests well.",在完成所有这些工作之后，我无法想象她在一天结束时有多累。烹饪，收集，维护，这太神奇了！我希望她安息好。
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,3 years ago,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
34079,UgzFgc3qAoLq8bC9utV4AaABAg,38,3 years ago,"the first chinese comment is me. ziyi, you are the tranquil corner in my heart. i hope you can go well, peace and joy.",第一条中文评论是我。子柒，你是我心中的那份恬静的角落。 希望你能事事顺心，平安喜乐。
21765,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t9-fu9Ui4JkN,36,3 years ago,"this comment warmed my heart, bless you❤️❤️ i hope all is well❤️",这个评论让我心动，祝福你❤️❤️我希望一切都很好❤️
23211,UgymyTmKxbNXC_ZShLR4AaABAg,33,3 years ago,"friends, i hope my mother -in -law is happy, healthy, and happy in the mid -autumn festival!",友，愿婆婆与妳中秋季快乐，健康，幸福！
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,3 years ago,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
8224,UgySfKS1n5shBSsKYgx4AaABAg,29,2 years ago,"high quality of living, i hope i can have live like this lady",高质量的生活，我希望我能像这个女士一样生活
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,2 years ago,"wow. chinese have a great traditional food clothes house and life style.one day i hope i will able to visit this country as a tourist. 
from bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
27040,UgzfOdQXR-kL9LG-pdt4AaABAg,23,3 years ago,"thank you for the video, li ziqi. in fact, many foreigners have a lot of misunderstandings about our china, i hope they will change after reading it",谢谢您的视频，李齐。实际上，许多外国人对我们的中国有很多误解，我希望他们在阅读后会改变
15159,Ugy3U-gGiL1C0TtnRm14AaABAg,23,3 years ago,"she has found her ""ikigai"" where i am still on my way!
whom so ever reads this i hope you also find it soon or already found.","她找到了我仍在路上的“ ikigai”！
谁曾经读过此书，希望您也很快找到它或已经找到。"
26967,UgwITGMJzwNv1VoBUpV4AaABAg,17,3 years ago,i am chinese，i really love your videos.i hope that one day i can go home where my motherland.,我是中国人，我真的很喜欢你的视频。我希望有一天我能回家祖国。
23572,UgxX1MKDT7B0IWzMaf14AaABAg.8zfpS_f3W7x8zrs-LPVWMR,16,3 years ago,"to clear up your confusion, i will tell you that it’s sent directly from the edge of heaven. i hope that explains everything.",为了消除您的困惑，我会告诉您，它直接从天堂的边缘发送。我希望这可以解释一切。
32622,Ugye2ai1nuuRTzO_MeJ4AaABAg,15,3 years ago,one of the best channel on earth. i really like ur place. i hope someday i will visit ur place.,地球上最好的渠道之一。我真的很喜欢你的地方。我希望有一天我会去你的地方。
32162,Ugzuqw9yqd-Ad_LEP5N4AaABAg,13,3 years ago,such a fine woman. i hope i can meet her in person. ❤,如此的好女人。我希望我能亲自见到她。 ❤
15255,UgywEsMS8N-cs2bqxTN4AaABAg.93MWuXFnRNr942u3Tv_uHE,10,3 years ago,hope she wont get married. man will ruin her life,希望她不会结婚。男人会毁了她的生活
25527,UgwgcicItqLWYlNcWI14AaABAg,10,3 years ago,i hope the whole world will become as peaceful as this.,我希望整个世界都会像这样变得和平。
31844,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yV8JTmM9bT,9,3 years ago,"hi! i don't know what are you going through! i just want to show you my support! i everything will be ok, i hope you nothing but happy!",你好！我不知道你正在经历什么！我只想向您展示我的支持！我一切都会好起来的，希望你除了快乐！
18915,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92LkK8kNJDc,9,3 years ago,"i really hope that many domestic ups can tell chinese stories and spread chinese culture in youtube. alas, how foreigners understand the essence of chinese, they are just curious.",真希望国内众多up主能在youtube讲好中国故事，传播中国文化，唉，中华之精髓外国人怎么懂，都只是好奇。
402,UgzfMZZ8U4sKQ5F5P0p4AaABAg,8,5 months ago,"i always liked your videos a lot, i hope you keep doing them",我一直很喜欢你的视频，希望你继续做
1110,UgxTwznbq3X1y6Ix0IF4AaABAg,8,1 year ago,"i came here to support li ziyi. the video was really beautiful. moreover, li ziyi truly reflects the state of the older generation of chinese people. in fact, at that time, the supplies were relatively scarce, but they lived well. i hope our country is getting stronger and stronger.",我是专门来支持李子柒的，视频真的拍摄的太美了。而且，李子柒真实反映了老一辈中国人自己自足的那种状态，其实那个时候物资相对匮乏，但是，生活过得有滋有味。希望我们的国家越来越富强。
15389,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss96K1PP86oSV,8,3 years ago,"strait arrow hope you will think differently if you search her bibliography online. it is maybe easy for you to make such a comment, like the others just simply follow the western media and do not do their own research to their own conclusions.",海峡箭头希望，如果您在线搜索她的书目，您会有所不同。您很容易发表这样的评论，就像其他评论一样，只是遵循西方媒体，而不会对自己的结论进行自己的研究。
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,3 years ago,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
27253,UgxSafRcwqP8Y38qfml4AaABAg,6,3 years ago,hello! i am a taiwanese who just followed the video. seeing every step of your cooking is easy to heal. i like cooking. i hope it can be as good as you.,妳好！我是刚追踪视频的台湾人，看妳做料理的每一个步骤都好疗愈，我喜欢烹饪，希望可以和妳一样厉害
10659,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799VysMlaIoT,6,3 years ago,j i hope she can make a lot of money so that she can keep posting these beautiful videos.,我希望她能赚很多钱，以便她可以继续发布这些美丽的视频。
31850,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVES_m_TS4,6,3 years ago,your comment made me cry. i hope you get better and can travel around the world woth your mom. sending you many blessings :),你的评论让我哭了。希望您能变得更好，可以环游世界。向您发送许多祝福:)
457,Ugz0R59LQQNHAl0jpkh4AaABAg,6,5 months ago,"i miss you, ziqi! 
i hope you and your grandma are doing okay! ❤","我想念你，Ziqi！ 
希望您和您的祖母一切都好！ ❤"
126,UgzZOnu68sFynRTPH6t4AaABAg,5,1 month ago,李子柒 has been a real inspiration for us. she did a wonderful job of sharing her countryside living channel before some scummy people took her hard work and monetized themselves while ruining her. i hope she'll well.,李子柒对我们来说是一个真正的灵感。在一些笨拙的人们努力工作并在破坏她的同时，她努力工作，在分享自己的乡村生活频道方面做得非常出色。我希望她会很好。
3077,UgxnoEYcEyxkykti06Z4AaABAg,5,1 year ago,"i like n fall in love with chinese cuisine,,not including pork,
n the costume in ancient times is really beautiful,, with all the herbs is really nice,, i hope in indonesia there are many more like that,, cos i really love n i miss it","我喜欢n爱上中国美食，不包括猪肉，
n古代的服装真的很漂亮，所有草药都非常好，我希望在印度尼西亚还有更多类似的草药"
21769,UgwHHw9NsEGyLXeYM3F4AaABAg.9-WlF9BrJ_t90H5qQmYAoG,5,3 years ago,your words touched my heart. i hope that you have a happy life with great memories.,你的话触动了我的心。我希望您过着美好的回忆。
31474,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVpriwYOuj,4,3 years ago,greetings from slovakia my friends. her videos are amazing. i hope they'll stay this way for a long long time. she deserves this much subscribers and even more.,斯洛伐克的问候是我的朋友们。她的视频很棒。我希望他们能以这种方式呆很长时间。她应该得到这么多的订阅者，甚至更多。
31849,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVDVoxraGV,4,3 years ago,"come on, hope you are healthy and happy and then come to sichuan",加油 希望你健康快乐 然后来四川
918,UgxgwgiMogfX_IdiwDx4AaABAg,4,11 months ago,her house are full of foods. wow. i hope i can transform my garden like this when go home.,她的房子里到处都是食物。哇。我希望回家时能像这样改变我的花园。
9369,UgzH9zSLw3du2rBNtAx4AaABAg.9ADZcsPCRSB9B7ITRmsn5F,4,2 years ago,"i saw a video on her and she said she would build things with her grandfather as a child. also, she worked and lived in ""the city"" for awhile but came back for various reasons and i know she will look up how to do things on yt!!
zi qi is simply amazing and inspiring! 

hope you are doing well!! ๐โ","我在她身上看到了一个视频，她说她小时候会和祖父一起建造东西。另外，她在“城市”工作并生活了一段时间，但出于各种原因回来，我知道她会在YT上查找如何做事！
Zi Qi简直令人赞叹和鼓舞人心！

希望你一切顺利！！"
5904,UgxTppqJZwwpwH5jSYJ4AaABAg,4,2 years ago,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
19968,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92MTu-hV5wT,3,3 years ago,"@ashoretoo many foreign countries like america always say something bad or false about china, but in fact china is very good. if you come to china, you will like china. in recent 20 years, china develops very fast, foreign countries now think china is a threathen for them and do some ugly things to china. i hope, foreign people should deal with china objectively and do not believe what the media says or some governments say, especially america.",@ashoretoo等许多外国像美国这样的外国总是对中国说坏话，但实际上中国非常好。如果您来中国，您会喜欢中国。在最近的20年中，中国发展非常快，外国现在认为中国对他们来说是一种折磨，对中国做了一些丑陋的事情。我希望，外国人民应该客观地与中国打交道，不要相信媒体所说的话或一些政府所说的话，尤其是美国。
100,UgzIX6v6qNFz5C4zBx94AaABAg.9qE0PYZQ1zp9qHvyoC-3vA,3,2 weeks ago,"she has terminated her contract with her company due to some issues. they took too much of the royalties out of her videos when she did all the job. they couldn't convinced her anymore so she just stop making any videos. i heard she's now doing some tour around other countries to demonstrate china's culture. she pretty much doing fine. i miss her videos as well, but she had chose her right. i always come back to her old videos whenever i feel pretty stress out. probably hope one day she'll come back again .",由于某些问题，她已终止与公司的合同。当她完成所有工作时，他们从她的视频中取出了太多的特许权使用费。他们再也无法说服她了，所以她停止制作任何视频。我听说她现在正在其他国家进行一些巡回演出，以展示中国的文化。她几乎很好。我也想念她的视频，但她选择了她的正确性。每当我感到非常压力时，我总是回到她的旧视频。可能希望有一天她会再次回来。
342,UgxMd5e-3j_zbM4DgdJ4AaABAg,3,3 months ago,hope you come back soon quotes !,希望你很快回来报价！
32078,UgzGMhBQF-PRCwACaGx4AaABAg,3,3 years ago,"i sincerely hope that any vietnamese who do not know chinese will be less as a sub.

li, love your video sm. from vietnam.","我衷心希望，任何不知道中国人的越南人都会像副本一样。

李，喜欢你的视频。来自越南。"
23891,Ugz5VVNjAvtGED9UzlN4AaABAg,3,3 years ago,wow nice vedio i'love the nature hope someday i came that pls pls sponsor me,哇，尼斯·韦迪奥，我爱大自然，有一天我来了，请赞助我
16790,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI932R8mIcHOb,3,3 years ago (edited),"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God.

我是台湾男生

李小姐真是脸甜心善人美

混浊尘世的一道清香

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂

谢谢！"
