,cid,votes,time,含nice,含nice中文翻译
38611,UgzLsfWhfAh-os8v8Jt4AaABAg,227,4 years ago,"now...that's a productive busy lifestyle. very nice and nostalgic, makes you forget of the urban unhealthy hysteria.
by the way, those people who put thumbs downs are very ungratefull ignorants.","现在...这是一种繁荣的生活方式。非常友善和怀旧，让您忘记了城市不健康的歇斯底里。
顺便说一句，那些放下大拇指的人是非常不知所措的人。"
33214,UgyZlshMYDW0_Bc6rcJ4AaABAg,75,4 years ago,"i really enjoy this video. itโ€s so nice and homely... but the digimon music turned me nostalgic and more comfy. 
hugs from mexico","我真的很喜欢这个视频。真是太好了...但是，数码兽音乐使我怀旧，更舒适。
从墨西哥拥抱"
51674,Ugyx6yeEdaRcvabmfnF4AaABAg,71,4 years ago,"your a good cook, good baker, nice architect, wonderful craft worker.... awesome",您是一个好厨师，好面包师，漂亮的建筑师，出色的手工艺工人....很棒
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,1 year ago,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
51106,Ugwz9VJ9cLA6bf7noER4AaABAg,60,4 years ago,"apple 
there is also there too
looks delicious
chestnuts also look delicious

in such a nice place
making sweets, cooking,
i really yearn for it ✨

is the camera improved?
the image quality is very beautiful ✨","苹果
也有
看起来很美味
栗子也看起来很美味

在这么好的地方
做糖果，烹饪，
我真的很渴望

相机改善了吗？
图像质量非常漂亮✨"
10079,Ugz9teFE6G-_fbzLTEV4AaABAg,57,2 years ago,how are all her videos so clear and just shot in the perfect angles?!? it looks like an actual show!!! so nicely done!!!,她的所有视频如何如此清晰，只是以完美的角度拍摄？！？看起来像是一个实际的表演！！！做得很好！！！
818,UgzSyvl6YLaORFbQzTh4AaABAg,46,6 months ago,nice. thanks for sharing all parties to all,好的。感谢您分享所有聚会的所有聚会
52876,Ugz3O86yFnkYi55EF-54AaABAg,35,4 years ago,"i am badly waiting for your video....
very nice and relaxable...","我很难等待您的视频。
非常友善和轻松..."
36000,UgyhyXflybsr2hUCb_B4AaABAg.8uYsqKM0ju78ujHKECo9NE,33,4 years ago,"โ€ @bellabana โ€ bellabana no, it's more a culture thing. in some countries, they don't feed pets pet food, they feed them with whatever they're eating, i.e, human food. so pets get used to the smell & whenever they smell human cooking, they think it's meal time. they might beg for food but that doesn't mean they're hungry. my family used to have pet cats, they're just like that. we could be just feeding them two full plates, they'd still come & meow at our dinner table. 

our cats eat everything, rice, broccoli, tomato, lettuce... besides meat. you wonder why, huh? because that's what they grew up eating, and that's what they know as food. as long as it's food to them, they'd follow, even if they're fed. if you own pets, you would know about this. 

my neighborhood doesn't raise our pets like in the west, where owners usually lock them indoor all the time. we let them roam around freely. they all go around begging for food when neighbors are cooking. as a result, we all know about others' pets, and we are fine with them. people don't always feed them, so they know they have to come home for a proper meal, but they'd get a piece here & there, so it's like snacks for them. 

every once a while a neighborhood auntie would come up to my mom, beaming, and said, hey your cat just frequented me yesterday! ... oh do you hear him? he's frequenting someone else now...! my mom be like, yeah... guess my cooking is his least favored... the auntie be like, that's not true! pets are like that, they go around for food but they know they can always have it back home.... and then they both laugh it off.... 

this is just a different culture of doing things, it's not necessarily bad or cruel just because it's different from your way of doing it. calling ppl out without knowing their background is judgmental, and kinda condescending, you know, not nice. so yeah....","@bellabana bellabana不，这更多是一种文化。在某些国家，他们不喂宠物宠物食品，而是用他们吃的任何东西，即人类食品喂食。因此，宠物习惯了气味，每当闻到人类烹饪的气味时，他们都会认为这是用餐时间。他们可能乞求食物，但这并不意味着他们饿了。我的家人曾经有宠物猫，他们就是这样。我们可能只是在给他们喂两个完整的盘子，他们仍然会在我们的餐桌旁来和喵。

我们的猫吃了所有东西，米饭，西兰花，番茄，生菜...除了肉。你想知道为什么，是吗？因为那是他们长大的饮食，这就是他们所知道的食物。只要对他们来说食物，即使他们被喂食，他们也会遵循。如果您拥有宠物，您会知道这一点。

我的邻居不会像西方那样养宠物，那里的业主通常一直在室内锁定它们。我们让他们自由地漫游。当邻居在做饭时，他们都四处乞求食物。结果，我们都知道别人的宠物，我们对它们很好。人们并不总是喂他们，所以他们知道他们必须回家做适当的饭菜，但是他们在这里和那里都会得到一块，所以这就像小吃一样。

每隔一段时间，一个附近的阿姨会来找我妈妈，笑着说，嘿，你的猫昨天只是经常光顾我！ ...哦，你听到他的声音吗？他现在正经常去别人...！我妈妈就像，是的...猜猜我的烹饪是他最不喜欢的……阿姨就像，那不是真的！宠物就是这样，他们四处寻找食物，但他们知道他们总是可以把它放回家。...然后他们俩都笑了...。

这只是做事的一种不同的文化，不一定是坏事或残酷的，因为它与您的方式不同。在不知道自己的背景的情况下召集PPL是有判断力的，有点屈服，您知道，不好。嗯是的...."
26245,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zssY87wDTg,31,3 years ago,i bet that felt nice.,我敢打赌，这感觉很好。
