,cid,votes,含beautiful,含beautiful中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
31115,Ugw2WElkzBoP_jXGvpJ4AaABAg,373,"i always love your videos! soothing to the spirit. i wish you had the recipes in english. i want to make them so bad! maybe you can create a cookbook and publish it in various languages. living near seattle, washington in the united states, i know i could find all the ingredients in our international district. thank you so much for sharing one aspect of your beautiful life with us.",我总是喜欢你的视频！抚慰圣灵。希望您有英语食谱。我想让它们如此糟糕！也许您可以创建一本食谱并以各种语言发布。居住在美国华盛顿的西雅图附近，我知道我可以在国际区找到所有成分。非常感谢您与我们分享美丽生活的一个方面。
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9160,Ugztg3AWD6dCH_KutUp4AaABAg,96,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
9680,UgxeDjXMOCo9vlzxzEZ4AaABAg,92,"i canโ€t get enough of her. she lives the most beautiful, simple, productive life. itโ€s like watching a fairytale",我不能得到她的足够。她过着最美丽，最简单，富有成效的生活。就像看童话
15548,UgyndjDkVe1nRUSIFul4AaABAg,87,it is just me or is it this beautiful chinese woman inspiring me to live a rural life?,只是我，还是这个美丽的中国女人激励我过上乡村生活？
19350,UgxWWLZSky29EJsezpp4AaABAg,83,"this is basically studio ghibli in real life... so peaceful, so beautiful, so natural and so holistic, what a life.",这基本上是现实生活中的吉卜力工作室……如此宁静，如此美丽，如此自然，如此整体，多么美好。
27717,Ugw-L63J_o6FbA4lILJ4AaABAg,79,"greetings from taiwan are so beautiful, the craftsmanship is superb, and there are very retro style.",来自台湾的问候 妳 好美 手艺超群 又很有 复古风 真的 越看越美 妳的每一集都有看 希望你能常常出片 祝妳顺心 愉快
18380,UgzLtsCSFJyOmq977454AaABAg,79,"such a beautiful scenery, such a beautiful girl! it's all beautiful scenery",如此田园美景，如此美丽少女！都是美丽的风景
32287,Ugw2HubadSjHVIMlgvd4AaABAg,73,just make a video of how u maintain ur beautiful garden pls,只需制作一个视频，说明您如何维护您的美丽花园
30998,UgygF_D1QJJyAEjWMVJ4AaABAg,72,"you are so beautiful 
i'm from vietnam","你真漂亮
我来自越南"
19354,Ugwft_uJNxwGwSQ-GQR4AaABAg,70,"too powerful, i started to make snail powder from raw materials ~ the saliva, jingmei, food beauty, beauty, and more beautiful! intersection intersection",太厉害了，竟然从原材料开始做螺蛳粉~ 看的口水直流，景美，食美，手艺美，人更美！！！
27148,UgyRv5uEXzE0WSsa04x4AaABAg,66,"as far as the video is concerned: we live in the earth, princess lives in fairy tales, and you live in poetry. of course, reality is not so beautiful, but you let us experience it in the video, which is enough for our audience! thank you, come on.",就视频而言：我们活在尘世，公主活在童话，而你 生活在诗里。当然，现实没那么美好，但你让我们在视频中 体验了一下，对我们观众而言 足够了！谢谢，加油。
26500,Ugxc1AA-oZMd4ChgkiR4AaABAg,66,"i like the way that you live. you and your natural surroundings are so much beautiful
the way you cook is superb.","我喜欢你的生活方式。您和您的自然环境非常美丽
您做饭的方式很棒。"
15931,UgwcK6zy11A5K3QHuZl4AaABAg,64,"the most amazing are her beautiful hands, impossible to believe that she performs so much labor. first of all it tells that she has a perfect control of her very skillful hands, correct grip of every tool, perfect coordination and rhythm, accuracy, experience. my farther was also that way: he was an amateur carpenter, a gardener, an artist, he could fix anything and yet i don't remember a single bristle, a cut of injury to his hands: they were handsome, strong always implacably clean hands of a man and a creator.",最神奇的是她美丽的手，不可能相信她的劳动如此之多。首先，它告诉她她对自己非常熟练的手，正确控制每个工具，完美的协调和节奏，准确性，经验。我的距离也是如此：他是一个业余木匠，一个园丁，一个艺术家，他可以修复任何东西，但我不记得一个毛刺，他的手割伤了：他们很帅，坚强总是很干净男人和创造者的手。
3909,UgxgK05InVePyfFVu_14AaABAg,62,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
18377,UgwdzQh2Ul3-G5iLe_F4AaABAg,60,"it's really a beautiful life! not to mention foreigners, i am envious of my chinese people seeing ~ come on, zi yan",真真是意想中的美好生活!别说外国人了，我一个中国人都看的心生羡慕~ 加油，子柒
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,"golden melon grandma was taking care of her when she was young. what she is doing is the gratitude for the love and care received from childhood. this is a part of chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
10884,Ugwuo9ZvdA39ONQ2enl4AaABAg,58,i love your lifestyle and hope to live in this village. sorry. i am an arabs of iraq. i am honored to follow your beautiful channel and hope that you are healthy.,我热爱您的生活方式，希望能住在这个村庄，对不起，我是伊拉克的阿拉伯人，很荣幸能跟随您的美丽频道，希望您身体健康。
1651,Ugx4g3-WEQ5O85RbgLd4AaABAg,58,"i've tried some dishes of oriental cuisine, especially china and japan and say: there is a natural sensitivity in the way of doing and proving! i really like!!
congratulations to this beautiful girl!","我尝试了一些东方美食，尤其是中国和日本的菜肴，并说：做和证明的自然敏感性！我很喜欢！！
祝贺这个美丽的女孩！"
21597,UgxmqdZOcxxK0Zco7ld4AaABAg,57,i think about how much fake food i eat and how weak i always feel... this almost makes me cry. someday i'm going to live like this too. its beautiful.,我想到我吃了多少假的食物，以及我总是感到多么虚弱……这几乎使我哭泣。总有一天，我也会像这样生活。很美丽。
21103,UgxIIoQ4kisIDaD28pF4AaABAg,52,idk who has the nerve to dislike such beautiful content,idk谁不喜欢如此美丽的内容
3224,UgyFaFw5E3YMrt_659F4AaABAg,47,what a beautiful place❤️,多么美丽的地方❤️
10447,UgxWYcGws_9CH4OozQh4AaABAg,45,"oh my goodness, i couldn’t believe my eyes when i watched this - all this still happening in the 21st century. she is a super women and beautiful",哦，天哪，当我看着这一点时，我简直不敢相信我的眼睛 - 这一切仍在21世纪发生。她是一个超级女人，美丽
25907,Ugwwm1OnvPfUP_o1FNR4AaABAg,44,"grump in the house!

oh wow this is amazing and so beautifully shot. that woman is very pretty too.","在屋子里脾气暴躁！

哦，哇，这真是太神奇了，很漂亮。那个女人也很漂亮。"
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
16512,Ugzelb93PAte28byGzt4AaABAg,43,"from iraq, the sweetest like from iraq, the most beautiful like",来自伊拉克，像伊拉克一样甜美，最美丽
