,cid,votes,含life,含life中文翻译
33735,UgxQ4obKp7Mzrv-Mbi54AaABAg,31000,"deep down, i know this is how life is actually supposed to be.",内心深处，我知道这是生活的实际应该是什么。
34997,UgyoQ22FTE7CBFzC4qx4AaABAg,9600,honestly what even is my life compared to this. wtf. i've done nothing and learned nothing. and she's over here doing hundreds of different things in all these videos,老实说，与此相比，我的生活是什么。 WTF。我什么也没做，什么也没学。在所有这些视频中，她在这里做了数百件事
32151,Ugw98zMUT5-2W4KP6xF4AaABAg,7600,i suddenly feel the urge to turn my life 180ยบ and become the best version of myself,我突然感到自己的生活180º并成为我自己最好的版本
37260,UgzsOJw5oLPhjWGBUuR4AaABAg,4600,"this is heart warming, beautiful, genuinely good wholesome life - thanks for reminding us how wonderfully simple like is - and some good hard work puts everything into perspective. love the edibles. thanks for sharing",这是令人心动的，美丽，真正的健康生活 - 感谢您提醒我们，像是如此简单 - 而且一些良好的辛勤工作使一切都融为一体。爱食用。感谢分享
33747,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vFGectdxIJ,3000,"absolutely. we live in a system created by mankind that is designed for us to become ""successful"". i ask you. being stressed, overworked, depressed is better than this simple, satisfying, honest, hardworking lifestyle?",绝对地。我们生活在人类创建的系统中，该系统旨在使我们变得“成功”。我问你。压力，劳累过度，沮丧比这种简单，令人满意，诚实，勤奋的生活方式更好？
22430,Ugzk2hZzSJPMNCq5HPR4AaABAg,2100,"no matter how i need and love technology. this is the life i always dream. free from debt, free from worries, free from expectations, free from the eyes and standards of society. just living peacefully",无论我如何需要和热爱技术。这是我一直梦想的生活。没有债务，不用担心，没有期望，没有社会的眼睛和标准。只是和平地生活
18766,UgwEt0p2DCaFujl2x1N4AaABAg,2000,her life is so productive while me laying at bed all day because of quarantine and watch her vids.,当我整天躺在床上，因为隔离并观看她的视频而躺在床上时，她的生活很富有成效。
4212,UgybaqlaPDXgQ89PPld4AaABAg,2000,"i will never understand how she has time to film her life so beautifully and create videos, incredible hard work in addition to what we already see",我永远不会理解她如何有时间拍摄自己的生活，并制作视频，除了我们已经看到的东西之外，还令人难以置信的辛勤工作
34768,UgyQpM0HVnaBQhUMEap4AaABAg,1900,"bro she really living life like that, and i'm out hear stressing away for uni exams woooooow",兄弟，她真的像那样过着那样的生活，我听到我为Uni考试感到压力
13401,Ugy1r1ukYlGOCEX02C94AaABAg,1500,"li ziqi has a touching life story. she is an orphan raised by her grandma. after leaving her village at age 14, she tried many jobs, including waitress, dj and bar singer. she return to her village in 2014 to take care of her aging grandma and started to make vlogs to sell her farm products initially. her vlogs became an instant success in china.",李齐（Li Ziqi）有一个感人的生活故事。她是祖母抚养的孤儿。 14岁那年离开村庄后，她尝试了许多工作，包括女服务员，DJ和Bar Singer。她于2014年返回村庄，照顾她的老化奶奶，并开始制作视频博客以最初出售她的农产品。她的视频博客在中国立即取得了成功。
