,cid,votes,含hardworking,含hardworking中文翻译
33747,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vFGectdxIJ,3000,"absolutely. we live in a system created by mankind that is designed for us to become ""successful"". i ask you. being stressed, overworked, depressed is better than this simple, satisfying, honest, hardworking lifestyle?",绝对地。我们生活在人类创建的系统中，该系统旨在使我们变得“成功”。我问你。压力，劳累过度，沮丧比这种简单，令人满意，诚实，勤奋的生活方式更好？
48637,UgxO5xURd6JZzLOpPBN4AaABAg,948,"she's so elegant and hardworking, and there i am, hungry but too lazy to get off the couch to get some snacks",她是如此优雅而勤奋，我在那里，饿了，但是懒得下沙发去吃一些小吃
15625,UgyXRaztSJ9IRryX5hp4AaABAg,499,"she is so hardworking, doing millions of things every day. i feel like i am too lazy...",她是如此努力，每天做数百万件事。我觉得我太懒了...
11562,UgzV9_5Gzc-peiVcKK94AaABAg,195,"thatโ€s the most hardworking girl iโ€ve ever seen. i want to have her talent and sweet, patient temperament.",那是我见过的最勤奋的女孩。我想拥有她的才华和甜美，耐心的气质。
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
13223,UgwnJv93RAGgwj5NRf94AaABAg,99,she is a brilliant girl because she knows everything. she is hardworking girl.,她是一个聪明的女孩，因为她知道一切。她是勤奋的女孩。
48934,Ugy_Uy_ejNzufvE5Irx4AaABAg,82,wow. she is a hardworking young lady and beautiful. she was so cute when she went to cover her grandmas ears. then she was the one who jumped. lol.,哇。她是一位勤奋的小姐，很漂亮。当她去遮住祖母耳朵时，她真可爱。然后她是跳跃的人。哈哈。
12556,UgyDYTKXiEQyhi9m2ll4AaABAg,73,this is why i love china. they are very hardworking and very talented. they made for themselves. and so peaceful place it is,这就是为什么我爱中国。他们非常勤奋，很有才华。他们为自己做了。如此和平的地方是
10006,Ugzv1BoF0naJsVmCujl4AaABAg,69,watching hardworking people achieving their goals... suddenly me and my lazy ass thinking i want that life...,看着勤奋的人实现自己的目标...突然我和我懒惰的屁股以为我想要那个生活...
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
