,cid,votes,time,含relaxed,含relaxed中文翻译
39698,Ugz7Gs9iJQG8ZOEBYUV4AaABAg,251,4 years ago,i got so relaxed i almost dropped my phone in my face,我很放松，我几乎把手机放在脸上
23446,UgyQ3juM3-h-qV99kvx4AaABAg,46,3 years ago,"i am surprised that a gourmet video has almost no narration and human voice, only a quiet and peaceful background music. very relaxed. very yearning for this quiet rural life ~",我很惊奇，一个美食 video 竟然几乎没有旁白和人的声音，只有安静祥和的背景音乐。很放松。很向往这种安静的田园生活～
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,3 years ago (edited),"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
30253,UgwMyhLDO4_UDksJ9gF4AaABAg,9,3 years ago,"every time i see her video's, i feel relaxed ๐ thank you so much for making this type of video's ๐
love from india โค๏ธ","每当我看到她的视频时，我都会感到放松
来自印度的爱❤️"
30835,UgxWBeeRnHLq9qR0LHN4AaABAg,7,3 years ago,"while i am watching this i feel very calm and relaxed and also hungry.. this lady is very industrious, she is like an ant who works all day.. i also love their place, it's very simple yet very wonderful and serene place where you can relax.. i want to go there.. =)",当我看着这个时，我感到非常镇定和放松和饥饿。可以放松..我想去那里.. =）
34422,UgzJazh84cAwSDU800x4AaABAg,6,4 years ago,seriously...you cooking for whole village??;) love it. so relaxed to watch videos,说真的...你为整个村庄做饭吗？;）喜欢它。如此轻松观看视频
37559,UgyTyD0Ql68e44HNeRZ4AaABAg,5,4 years ago (edited),"living in a city with difficulties, stress.after watching this video i felt peaceful, relaxed,...and miss my countryside, my parent. i really wanna come back my home.",生活在一个遇到困难的城市里。观看这段视频后，我感到安宁，放松，……想念我的乡村，我的父母。我真的想回到我的家。
15609,Ugxu0FlJEUL_QDq8G814AaABAg,4,3 years ago,my mind feels sooo relaxed while watching this,看着这个时，我的思想感觉很放松
46686,Ugx2RrdPy-6RTIujGnJ4AaABAg,3,4 years ago,"what’s funny is that all of our lives can be this relaxed and simple, no matter where we live. yet, we keep looking to other cultures, history, groups, movements, to find the answers. but it’s truly right in front of us. love to you all. oh, and i make music on my channel if you care to look. much love",有趣的是，无论我们住在哪里，我们的一生都可以轻松而简单。但是，我们一直在寻找其他文化，历史，群体，运动来找到答案。但这确实就在我们面前。爱大家。哦，如果您想看，我在频道上做音乐。非常喜欢
9312,UgyykAvZZZQx16VBMDp4AaABAg,2,2 years ago,i always open your clip and listen the sound when i need to sleep. it’s very relaxed,我总是打开您的剪辑，并在需要睡觉时听声音。非常放松
