,cid,votes,time,含china,含china中文翻译
13401,Ugy1r1ukYlGOCEX02C94AaABAg,1500,2 years ago,"li ziqi has a touching life story. she is an orphan raised by her grandma. after leaving her village at age 14, she tried many jobs, including waitress, dj and bar singer. she return to her village in 2014 to take care of her aging grandma and started to make vlogs to sell her farm products initially. her vlogs became an instant success in china.",李齐（Li Ziqi）有一个感人的生活故事。她是祖母抚养的孤儿。 14岁那年离开村庄后，她尝试了许多工作，包括女服务员，DJ和Bar Singer。她于2014年返回村庄，照顾她的老化奶奶，并开始制作视频博客以最初出售她的农产品。她的视频博客在中国立即取得了成功。
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,2 years ago,when i get depressed by reading comments full of hatred about china i come here. this is like the most friendly place towards chinese people. thank you liziqi. it has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,3 years ago,"i am egyptian, i have 14 years. but i believe that the chinese are the best people in the world. i am talking about arabic, but i translate it into chinese and let the chinese understand. i love china and china, and i have been looking forward to all news from this great country in china. this is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,4 years ago,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,3 years ago,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
25638,UgzsuyYqpWh-NROlzkF4AaABAg,149,3 years ago,"l am ready for china now, wish me luck",我现在准备在中国，祝我好运
4232,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9STfrGwo5_8,145,1 year ago,@diogomelo3705 lol she has a whole team behind her. i think she has her own brand in china tho.,@diogomelo3705大声笑她在她身后有整个团队。我认为她在中国有自己的品牌。
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
15709,Ugxp2AETn10a-1LHj0t4AaABAg,110,3 years ago (edited),"oh gosh... i ate almost all of these when i was younger in china... this reminds me a lot my childhood ♥

(my english is not very good sorry)","哦，天哪...我在中国年轻的时候几乎吃了所有这些...这使我想起了很多我的童年♥

（我的英语不是很好，对不起）"
