,cid,votes,time,含cute,含cute中文翻译
20192,UgzV4DNCTtBWjzkqTCB4AaABAg,3000,3 years ago,can we just appreciate the puppyโ€s and lamb following her. so cute.,我们可以欣赏小狗的羔羊跟随她吗？太可爱了。
36655,UgylTM1tk7rRFvWtYkJ4AaABAg,2500,4 years ago,"1. she is so beautiful :3

2. she doing really cool things

3. she has so cute animals

4.she can do thinks alone too","1.她是如此美丽：3

2.她做的很酷的事情

3.她有这么可爱的动物

4.她也可以独自一人"
18770,UgxdfhIBHtcMprsHF294AaABAg,2300,3 years ago,the animals following her in the beginning is too cute.,一开始跟随她的动物太可爱了。
22346,UgxeFpyrL7XWhqRU1PN4AaABAg,1500,3 years ago,all the cute little animals following her everywhere!!,所有可爱的小动物都随处可见！
16917,UgzqwpL-O--alsDGEvJ4AaABAg,1100,3 years ago,she was more scared than granny by the popcorn machine release but still covered her granny's ear instead of her own xd cute,爆米花机器的释放比奶奶更害怕，但仍然遮住了她的奶奶的耳朵，而不是自己的XD可爱
26048,UgwbcBgUdIfXWeQE-SZ4AaABAg,1000,3 years ago,it's cute how that lamb is following her with the dogs.,那只羔羊和狗跟着她跟着她很可爱。
12843,UgxFWm-44G4PmDY3zNx4AaABAg,952,2 years ago,"the puppies and the sheep following her around and sitting next to her while she worked.... that was so cute.
she's a disney princess y'all.","幼犬和绵羊跟随她，在她工作时坐在她旁边……太可爱了。
她是迪士尼公主。"
15144,UgysLWlxB873dMuoWMB4AaABAg,858,3 years ago,"her grandmother is absolutely adorable, everytime i see her in wintery episodes shes always bundled up in the cutest jackets and hats",她的祖母绝对可爱，每次我在冬季情节中看到她时，她总是捆绑在最可爱的夹克和帽子里
28783,UgyJ_a7KgIDbGgiluaR4AaABAg,843,3 years ago,the puppies and the lil lamb are following her everywhere:-d so cute,小狗和小羊羔到处都在跟随她：-d如此可爱
9597,UgwiUKs9CznPh4uh4AJ4AaABAg,791,2 years ago,so cute how the animals follows her at the beginning of this video.,如此可爱的动物在这段视频开始时如何跟随她。
25334,UgwJVpehKaKELcdYy8p4AaABAg,692,3 years ago,"when uncle opened the corn popper ziqi runs to cover grandma's ears, then jumps and screams herself.
this was so cute, how can i not smile and be happy๐๐’•","当叔叔打开玉米流浪汉时，Ziqi跑来遮盖奶奶的耳朵，然后跳跃并尖叫。
这太可爱了，我怎么不能微笑和快乐"
13079,UgwegVKzPRFMUhssRs14AaABAg,683,2 years ago,her covering her grandma's ears instead of hers but being more scared than her grandma is so cute,她覆盖奶奶的耳朵而不是她的耳朵，但比奶奶更害怕
34524,Ugw5s9z3MVHWUuAa_XR4AaABAg,593,4 years ago,i'm 17 seconds in and the puppies and the lamb following her like wtf how can this be so cute,我17秒钟，幼犬和羔羊像wtf一样跟随她，怎么会这么可爱
17350,UgwwyD_r_6zu0aiCzul4AaABAg,574,3 years ago,0:24 those little dogs and sheep walking behind her is so cute tho,0:24那些小狗和绵羊走在她身后是如此可爱
11561,UgwIUB1dMhomwlM5dKt4AaABAg,509,2 years ago,"the sheep is still following her, so cuteeeeeeee",绵羊仍在关注她，所以cuteeeeeeee
18347,Ugw6A0D59PHQXICC4WR4AaABAg,477,3 years ago,6:00 so cute when she’s obviously a afraid of explosion but still covers her grandmother’s ears,6:00她显然害怕爆炸，但仍然掩盖了祖母的耳朵
48873,UgxUxrzh2_nXib9I-4h4AaABAg,459,4 years ago,the puppies are the best part of this video oh and the cute sheep too,幼犬是该视频中最好的部分哦，可爱的绵羊也是
31922,Ugytz33sw9utXZ0XKlJ4AaABAg,367,4 years ago,it's so cute watching the lil ones follow her wherever she goes ;-;,无论她走到哪里，看着她跟着她跟随她真可爱; - ;
24768,Ugz10tCVo0z0oYy05g94AaABAg,332,3 years ago,the little dogs are so cute ๐ญ,小狗是如此可爱
10580,UgyuGZzyLWMyHAxojBJ4AaABAg,324,2 years ago (edited),"05:55, she ran back to cover her hears and jumped as well, that was cute but funny xd",05:55，她跑回去掩盖了她的声音并跳了起来，那是可爱但有趣的XD
42295,Ugy4AF8g5qLBzVqiRpN4AaABAg,323,4 years ago,"*covers her grandma’s ears

pop corn explodes

got scared and end up covering her own’s*

so cute.","*遮住奶奶的耳朵

流行玉米爆炸

害怕，最终掩盖了自己的*

太可爱了。"
45869,UgyPx-xO4XoFhZSCAgF4AaABAg,308,4 years ago,"look at her when is suprise she so cute 
5:58","看着她什么时候令人惊讶，她是如此可爱
5:58"
46719,UgyOUssndE0VZgxNk6B4AaABAg,302,4 years ago,those puppies are soooo cute!!!,那些小狗太可爱了！！！
40970,UgwKFSZfVDK1OK6ol4Z4AaABAg,300,4 years ago,sheep's following along with the dogs are too cute,绵羊和狗一起跟着狗太可爱了
