,cid,votes,time,含liziqi,含liziqi中文翻译
32333,UgzJjoNh95w-gpe6dch4AaABAg,4200,4 years ago (edited),"your stranded on an island and u can bring one person 




grabs liziqi","你滞留在一个岛上，你可以带一个人




抓住利兹奇"
17906,UgzDvK01DKLdUHKPc-54AaABAg,3900,3 years ago,seriously we need a disney princess inspired by liziqi.,认真地说，我们需要一个受利兹奇启发的迪士尼公主。
22659,UgyBT7lL44bJijTqXmd4AaABAg,916,3 years ago,"normal person: oh hey, a chestnut

liziqi: i can make like 20 dishes from this.","普通人：哦，嗯，栗子

Liziqi：我可以从中做20道菜。"
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,2 years ago,when i get depressed by reading comments full of hatred about china i come here. this is like the most friendly place towards chinese people. thank you liziqi. it has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
21192,UgzfHYJAfbEkHq6onMZ4AaABAg,448,3 years ago,disneyland productions are nothing compared to liziqi.,迪士尼乐园的作品与利兹基相比无关。
4619,UgypwRZi7D8Xx3AObhV4AaABAg,367,1 year ago,"oh my gosh, she's so amazing! the cooked food is above all excellent. lots of goji berries and cakes she makes! if i were a man, i would do my best to win liziqi's heart >3
i always use liziqi as my inspiration for my videos!
i love liziqi <3","哦，天哪，她真是太神奇了！煮熟的食物首先是很棒的。她制作了很多戈吉浆果和蛋糕！如果我是一个男人，我会尽力赢得利兹奇的心> 3
我总是以liziqi作为视频的灵感！
我爱liziqi <3"
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,1 year ago,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
32899,UgxD0wxxjIclMKUOl6d4AaABAg,226,4 years ago,"5:55 this is the most precious moment ever
she runs up to cover her grandma's ear but after the blast
grandma : ""hehe .. i'm cool""
liziqi : 5:59","5:55这是有史以来最宝贵的时刻
她跑起来遮住祖母的耳朵，但是爆炸后
奶奶：“呵呵..我很酷”
Liziqi：5：59"
9337,Ugw8QmeHtK9J29UimxB4AaABAg,196,2 years ago,"dear liziqi, everything you do is done with beauty, with grace ,with compassion , humility and love. i am grateful that you share your life for all to see.",亲爱的liziqi，您所做的一切都是用美丽，恩典，同情，谦卑和爱来完成的。我很高兴您分享您的生活，让所有人看到。
14012,Ugy8fofIQ1o0VG-8cu54AaABAg,141,2 years ago,"5:58

i like how liziqi is like jumping around and her grandma is so unbothered and smiling like u little silly kid","5:58

我喜欢利兹奇（Liziqi）如何跳来跳去，她的祖母是如此的不受欢迎和微笑"
2258,UgwojBqA1rIKuxWouGZ4AaABAg.9ZO-yY69gDD9aVWnPdqKZi,92,1 year ago,"for those who wonder why ziqi hasn’t uploaded any new video, she is going through some tough time fight for the fair share of her name brand. her mcn makes huge money in china selling liziqi brand merchandises, but liziqi did not get much because of her lack of experience when she signed those contracts. that’s why she stopped creating new content to protest. hopefully this whole thing can be settled in her favour and she can get her name brand back.",对于那些想知道Ziqi为什么没有上传任何新视频的人来说，她正在经历艰难的时光争取自己的名字品牌的份额。她的MCN在中国赚了大笔钱，出售Liziqi品牌商品，但是Liziqi签订了这些合同时缺乏经验，没有得到太多。这就是为什么她停止创建新内容进行抗议的原因。希望整个事情能够得到她的青睐，她可以将自己的名字品牌恢复。
9559,UgzNn8VaZkxE7dJka7R4AaABAg,91,2 years ago,i'd like to see gordon ramsay and liziqi cooking together. that would be awesome,我希望看到戈登·拉姆齐（Gordon Ramsay）和利兹奇（Liziqi）一起烹饪。那将是真棒
28709,UgyevX7R9zJhXPeDBit4AaABAg,71,3 years ago (edited),"liziqi: rips out plants with force, uses big knifes, gets most of her ingredients by herself.
also liziqi: 5:55","Liziqi：用武力撕开植物，使用大刀，独自获得她的大部分食材。
还有liziqi：5：55"
27200,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zcim-ym-k6,59,3 years ago (edited),"@newsionl6092 ah is that so, i'd be curious too considering the garbage wifi and networking we have here in my country. anyways, this guy got his news from the official liziqi shop liziqishop.com, so he is telling the truth, as confirmed in this site's ""liziqi's story section"" i feel bad but at the same time proud of her. <3 keep on moving forward ziqi!",@newsionl6092啊，那是这样，考虑到我们在我的国家 /地区拥有的垃圾WiFi和网络，我也很好奇。无论如何，这个家伙从官方的liziqi Shop liziqishop.com那里得到了他的消息，所以他说的是真相，正如本网站的“ liziqi的故事部分”所证实的那样，我感到难过，但同时为她感到骄傲。 <3继续前进Ziqi！
12295,Ugyd_w--nc63O_L2U5R4AaABAg,54,2 years ago,"8:25 
grandma: quit eating everything. 
liziqi: i’m not it’s quality control","8:25
奶奶：戒烟。
liziqi：我不是它的质量控制"
36512,Ugwif1pfLtIEW9vXyBR4AaABAg,48,4 years ago,"guys: need some help??
liziqi: lift 2 big baskets full of fruits


guys:
(questiong their mascumantality)","伙计们：需要一些帮助吗？
Liziqi：升降机2个大篮子装满水果的大篮子


伙计们：
（问他们的男性）"
14119,UgwdK_RLg87nT1M_T2d4AaABAg,47,2 years ago,i don't know why i really like liziqi.. so natural.. cute.. wnderfull life in her village make my heart so happy.. love you liziqi.. from indonesia,我不知道为什么我真的很喜欢Liziqi ..如此自然..可爱.. Wnderfull的生活使我的心变得如此快乐..爱你Liziqi ..来自印度尼西亚
5353,Ugw9qSllZNA1GjZvx614AaABAg,41,1 year ago,liziqi is a super women.she can do everything very easily.,Liziqi是一个超级女性，她可以轻松地做所有事情。
24887,UgwHxEQZJ1TMbrrekPZ4AaABAg,40,3 years ago,"โ€add some diced melon to the mixture...โ€
us: goes to grocery store to pick up a melon
liziqi: walks outside her house and grabs a melon from a plant","“在混合物中加一些切丁的瓜……”
我们：去杂货店拿起瓜
Liziqi：走到她家外面，从植物上抓住瓜子"
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,3 years ago,"i'm from china, and i'm proud of liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also i miss my grandmother so much. chinese always love peace and hardworking from time immemorial . welcome every friends to visit china.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
5215,UgzUGk-XfLrzDJZqeFp4AaABAg,35,1 year ago (edited),"teacher - what's your ambition?
others-be a doctor ,a pilot ,an engineer .......
me -live like liziqi","老师 - 您的野心是什么？
其他人 - 是医生，飞行员，工程师.......
我 - 像liziqi"
4985,Ugxug93oZ6xYah9Kh-94AaABAg,35,1 year ago,"next to my mother, liziqi is my role model. the girl who help me a lot to fight my depression and laziness. i'm very thankful that i found your channel, you're an angel..",在我母亲旁边，利兹奇是我的榜样。那个帮助我与我的沮丧和懒惰作斗争的女孩。我非常感谢我找到了您的频道，您是天使。
18045,Ugw0LueWwIgYtGgudsZ4AaABAg,28,3 years ago,"wishing your grandmother a long long life so you could enjoy more time together. 
liziqi you are a fairy in true life!!!","祝您的祖母漫长的寿命，以便您可以一起享受更多的时光。
liziqi你是真实生活中的童话！！！"
30731,Ugx-tLyex4BeWg73XJl4AaABAg,28,3 years ago,"normies:microwave popcorn, maybe use a stove
liziqi: 5:59","规范：微波爆米花，也许使用炉子
Liziqi：5：59"
