,cid,votes,含watch,含watch中文翻译
28516,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8yaXBjP5kIe,1400,@franzpeters3824 you have a problem with people not speaking english? what's your problem? don't watch it if you dislike her....,@franzpeters3824您对不说英语的人有问题吗？你怎么了？如果您不喜欢她，请不要看。
22377,Ugxf0U_unXMMBm4_65F4AaABAg,1400,it’s quite ironic how it is so relaxing to watch someone being busy working hard... and how we are enjoying watching natural life style with our phones...,看着某人忙于努力工作，这是非常讽刺的是，这是如此放松...以及我们如何用手机看自然生活方式...
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
14446,UgwC1BG8OG690PtX4iB4AaABAg,482,its like watching those studio ghibli movies. its very nostalgic.,就像看那些吉卜力录音室电影一样。它非常怀旧。
30794,UgwDVTXYsWe6xG0NRJp4AaABAg,424,watching your videos calm my soul. you always show me that nature provides and it's up to us on how we can use it efficiently.,看着你的视频平静我的灵魂。您总是向我展示自然提供的，这取决于我们如何有效使用它。
24746,UgywjeuRIp_tgmm9JFZ4AaABAg,402,"liziqi: makes really good home made food by getting it from plants and lakes she finds 

me: eats mcdonald’s while watching liziqi","Liziqi：从她发现的植物和湖泊中获得真正的自制食物

我：看麦当劳一边看利兹奇"
10322,UgzSRnA7_urjUQ_vzzp4AaABAg,347,just watched 5 minutes of uninterrupted ads for her 'cause she deserves it.,只是看了5分钟的不间断广告，因为她应该得到。
11486,Ugy1KGHSxEj1ZboL-A54AaABAg,326,she is the reason why i’m still watching youtube,她是我仍在看YouTube的原因
22960,UgzH7KKKJzSidK9EZ9d4AaABAg,303,watching her videos have become my stress reliever from the crowded and busy city. it’s so peaceful and makes me love nature even more! ♥️,观看她的视频已成为我拥挤而繁忙的城市的压力减轻。它是如此的和平，使我更加爱大自然！ ♥谢
25059,Ugytvmc3UbnvGly8w114AaABAg,237,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
35351,Ugz1sIYY5K8sxHEOe7d4AaABAg,212,"can't believe early to watch her video 
.
.
omg this is my 1st time comment since i've been watching all of her videos, tq for 'ur thumbs up guys! i know this is cuz of ziqi's lovers!","不敢相信她的视频
。
。
天哪，这是我第一次评论，因为我一直在观看她的所有视频，即“您的大拇指”的TQ！我知道这是Ziqi恋人的Cuz！"
12674,UgwLIbEhSyqs7-CqzEN4AaABAg,194,"i miss her videos so much,i'm binge watching all her older videos.

take care everyone! stay at home, drink water and take vitamin c!","我非常想念她的视频，我狂暴地看着她所有的旧视频。

照顾大家！待在家里，喝水，服用维生素C！"
32039,UgxdEhj-cZs-wEm9c4x4AaABAg,193,"this is the only channel that i eagerly look forward to watching. so much hard work done by her and her crew, thanks.",这是我热切期待观看的唯一频道。谢谢她和她的船员做很多艰苦的工作，谢谢。
24866,Ugz732P_cYX2F7Gyz7h4AaABAg,184,i don't know what brings me here but i love watching all the videos in this channel. amazing!,我不知道是什么把我带到这里，但我喜欢观看此频道中的所有视频。惊人的！
24815,UgwwB40SUYLdqXWt2pp4AaABAg,175,"who's watching this video, please raise your hand. i am from vietnam",谁在观看此视频，请举手。我来自越南
23472,Ugyemwddq3XxO4I_VYp4AaABAg,168,"hello, greetings from peru south america, i watch your videos and every time i love your lifestyle, they are so relaxing the life you lead, i wish you many successes ...",您好，来自秘鲁南美洲的问候，我看着您的视频，每次我爱您的生活方式时，他们都会如此放松您的生活，希望您能取得许多成功...
30890,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yWTZXn3Lhi,166,"and it’s addictive. when i first saw her videos i was determined to watch em all from the very beginning until right now where i’m painfully waiting for new ones. but everytime, it is worth it. it’s really relaxing to watch.",而且令人上瘾。当我第一次看到她的视频时，我决心从一开始一直到现在一直在等待新的视频。但是每次都值得。观看真的很放松。
24291,Ugw37F4_N0tODenZMgJ4AaABAg,161,"i microwaved a damn hot pocket while watching this, jesus.",耶稣看着这个，我在看一个该死的热口袋。
2932,Ugy7h3cSkkY8ae7r6eJ4AaABAg,154,"thank you liziqi. 
whenever i've had a tiresome workday... i lied down getting to watch ur videos which soothes me and my mind n gives me a pleasing rest well.","谢谢Liziqi。
每当我度过一个令人讨厌的工作日时...我都撒谎看着您的视频，这使我和我的思想舒适地让我感到愉悦。"
30009,UgzLwzHtzrVkM2FQjEB4AaABAg,140,"warning: make sure you're full enough before watching this video. 


or you'll probably get more hungry.","警告：在观看此视频之前，请确保您足够饱。


否则您可能会更加饥饿。"
24279,Ugw6-Fyh1Ixq0BuXkIZ4AaABAg,125,"everytime i watch your video, feels like i'm on the fairytale. the water sound, the animal sound, even the tree when the wind blow it feels so real in my beside",每次我观看您的视频时，都会感觉就像我在童话中。水的声音，动物的声音，甚至在风吹时，在我旁边感觉如此真实
23354,UgyCBlPGeBrVIIXxSlR4AaABAg,112,"every time ziyi watched your videos specially healed, especially in foreign countries that make people have a strong nostalgia. thank you! ""snail powder is particularly delicious""",子柒每次看你的视频特别的治愈，特别是在国外让人产生浓浓的思乡情。谢谢你！“螺蛳粉特别的好吃”
