,cid,votes,含enjoyable,含enjoyable中文翻译
22422,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9SksQSqgLvC,2,"it is very enjoyable. please give a thumbs up to the best clips every year and including 2021/2011, such as taewi.",这是非常愉快的。请每年对最好的剪辑和包括2021/2011的最佳剪辑，例如Taewi。
570,UgxymJ1niqcXub1O8P94AaABAg,1,"it's really enjoyable to watch your video, look forward to seeing you again",看你的视频真的很享受，期待再见到你们喔
29894,UgwHjKdfv9-LNtfQEcV4AaABAg.8yW-Ke0Gahu8yW8jjgoJih,1,"i take a stab at the tittle. description is beyond me, because i am no cook myself. 
a satisfying meal, an enjoyable slurp of noodle, exilarating experience of spice while consuming a bowl of 柳州螺蛳粉","我刺伤了titter。描述超出了我，因为我自己不是做饭。
一顿令人满意的饭菜，愉快的面条，令人愉悦的香料体验，同时消费一碗柳州柳州"
29840,Ugy5p3PJHaQYB0QceUt4AaABAg.8yW696r0_N08yW9wJYGodR,1,"i try my best to take a stab at the title. : )
a satisfying meal, enjoyable slurp of noodle, exilarating spicy taste while having a bowl of whatever she is making here.","我尽力刺穿标题。 ：））
一顿令人满意的饭菜，令人愉悦的面条，令人愉悦的辣味，同时拥有一碗她在这里做的一碗。"
22079,UgyRE7ZXV0bdvDzs-tN4AaABAg,1,it is a cooking that looks very enjoyable.,这是一种看起来非常有趣的烹饪。
20898,UgxmhSrEIf0OnCA7hYt4AaABAg,0,nice video. enjoyable.,不错的视频。愉快。
28166,UgyEj2oQTEUTy7F74_l4AaABAg,0,looks very enjoyable. cooking is delicious. i like it.,看起来很有趣。烹饪很美味。我喜欢。
22757,Ugxr2tdUjnADnTrIeaR4AaABAg,0,"""satisfied, enjoyable, spicy and comfortable, just a bowl of liuzhou snail powder"" clived and didn't regret","""吃得满足，嗦得过瘾，辣得舒坦，就一碗柳州螺蛳粉"" clicked and didn't regret"
22493,UgzaPADuaBaHAWCtiDl4AaABAg,0,i think her life is more enjoyable than many billionaires millionaires ..hit like if u think same,我认为她的生活比许多亿万富翁百万富翁更愉快。
16964,UgwOsQay-_KWLPi3Ort4AaABAg,0,enjoyable,看得过瘾
1875,Ugx0Ze3XKPkyr1_-gi14AaABAg,0,watching video and soundtracks are very enjoyable :),观看视频和配乐非常愉快:)
16691,UgyEjSCkS3EKeFIBT794AaABAg,0,"the tranquil life and wild life are really good, delicious and enjoyable, and the troubles of the city can forget.",恬静的乡野生活真好，细味而乐享，恍惚城市的烦恼都能忘记，
16578,UgwfSEk8KWJ1Rg2KNBV4AaABAg,0,i cant stand the smell of luosifen but this video still enjoyable for me,我无法忍受luosifen的气味，但是这个视频仍然很有趣
12306,Ugw5-0LMkV_rlk4zEQp4AaABAg,0,really enjoyable video .,真的很有趣的视频。
11861,UgzrqQzro_XJy3cqual4AaABAg.97BYASCbpj797GNoH2EKfa,0,was very beautiful and enjoyable;,非常美丽和愉快；
11860,UgzrqQzro_XJy3cqual4AaABAg.97BYASCbpj797GNmfQrFGM,0,was very beautiful and enjoyable;,非常美丽和愉快；
11859,UgzrqQzro_XJy3cqual4AaABAg.97BYASCbpj797GNlzmTRlX,0,was very beautiful and enjoyable;,非常美丽和愉快；
8710,UgxpbpBOa7Eqs3mwZuF4AaABAg,0,very enjoyable living in a village that is still a virgin forest,住在仍然是处女森林的村庄里非常愉快
31630,UgwW4wnI3sVStxXyowV4AaABAg,0,beans and bamboo shoots are my favorite! so enjoyable! xd,豆子跟笋子都是我最爱吃的！好过瘾！ ＸＤ
