,cid,votes,含heaven,含heaven中文翻译
3619,UgxBAWnduyrKBfNPB0t4AaABAg,816,i have watched it many times. very magical. she's like living in heaven.,我看过很多次。非常神奇。她就像住在天堂。
7305,Ugxbf2_7_rr9S72PRON4AaABAg,702,"i can tell you, o beautiful girl, that you are a gift from heaven from the lord of the worlds! <3",美丽的女孩，我可以告诉你，你是来自世界之王的天堂的礼物！ <3
24185,Ugyfp-OANSszCqro3EB4AaABAg,699,"if i die and go to heaven, this is what i want my heaven to look like.",如果我死了，去天堂，这就是我想要天堂的样子。
37897,Ugz4J84OBqwxJuH93hB4AaABAg,540,"by any chance the place you live is called ""heaven"" ??",无论您住的地方都被称为“天堂”？
30492,UgyySwGmDvOFkuceh9F4AaABAg,474,who is this angel like person living in heaven? is it some drama or real..its too good to be true,这个天使是谁，就像住在天堂里的人？这是一些戏剧还是真实的..它太好了，无法实现
43639,UgwTc_fI7gQHGRqoV-F4AaABAg,429,is this heaven ?? wanna go there. what a wonderful life.,这是天堂吗？想去那里。多么美好的生活。
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
13990,UgxgLDqPkeX2Oh7ZgbJ4AaABAg,205,"she lives in a place like heaven... blessed with nature, spared by humans",她住在一个像天堂这样的地方...充满了自然，被人类所幸免
41678,UgyjXRHd_c73BsIuVoR4AaABAg,191,"wow, you really live in the heaven! the heaven of fresh fruits!",哇，你真的住在天堂！新鲜水果的天堂！
18774,UgwbibGMiyzwPEpnF_94AaABAg,186,"wait a minute , there are dislikes for this ? really ? 

sick people 

they are the reason our lives isn't heavenly like the one in the video","等一下，对这个不喜欢吗？真的 ？

生病的人

这是我们的生活不像视频中的天上的原因"
23629,UgwpCFZj1EV4wAug2dt4AaABAg,166,sounds stupid but i have to say that i really want to cry after seeing this video. the heaven should be like this!,听起来很愚蠢，但我不得不说我真的想在看这部视频后哭泣。天堂应该这样！
41964,UgxCxsdUeFk0iLliQQp4AaABAg,76,this is so delightful that it almost put me to sleep. what is this heaven or something?,这是如此令人愉快，几乎让我入睡。这是什么天堂或什么？
47153,UgwRgCDaUhzvBuYPQjp4AaABAg,73,"all plants growing and well maintained,,, all delicious fruits gained easily,,,surrounding by happy puppies ... you are living in heavenly garden",所有生长且维护良好的植物，所有美味的水果都很容易获得，周围是幸福的小狗……您住在天上的花园里
37918,Ugz4J84OBqwxJuH93hB4AaABAg.8tkNoWBxn9R8txyYiGCRjd,57,"she is from sichuan, that place has a nickname ""kingdom of heaven"", and is home to jiuzhai valley national park, google it, its quite beautiful.",她来自四川，那个地方有一个绰号“天国”，并且是柔泽谷国家公园的所在地，Google It，它非常漂亮。
49527,UgxKGc98LbV5EVRPIqh4AaABAg,45,"this was pure heaven. 
happy chinese new year to all.","这是纯粹的天堂。
所有人的农历新年快乐。"
28829,UgzdklCZxyqZVL_9pL14AaABAg,38,"day by day i am watching her video.....i am speechless......speechesss.....what is she....?????!!!!
awesome....she just live in heaven.......really.....can not believe my eyes.so relaxing .i am just adicted....anyone else?","我每天都在观看她的视频.....我无语......演讲.....她是什么.......... ????? !!!!
太棒了....她只是住在天堂....真的.....真的.....不敢相信我的眼睛。"
15030,Ugw-F3AWt21kRGcRhkl4AaABAg.99zjzXzXvaX9A9C0_e9Rks,30,no wonder. sometimes youtube just give junk recommendation videos. welcome to almost heavenly world.,难怪。有时，YouTube只需提供垃圾推荐视频即可。欢迎来到几乎天上的世界。
21785,UgyHBXOkiTbdmz73ikt4AaABAg,28,"if anyone thinks she's surviving in heaven, like here๐‘๐",如果有人认为她在天堂幸存，就像这里
32420,UgylVgrLDVEGWq2lf7V4AaABAg,23,"so beautifull,peace & natural
your videos maka everything looks perfect& feel like in heaven","如此美丽，和平与自然
您的视频Maka一切看起来都完美，感觉在天堂"
25140,UgxRrf7qoHh7GG-sSzV4AaABAg,22,this woman lives in heaven.. that much i can say.. everything seems to perfect ๐ฅบ๐ฅบ๐ฅบ... not going to lie.. really jealous๐’๐’๐’,这个女人住在天堂..我能说的那么多..一切似乎完美
24202,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF91fE4WmmWHk,22,this is not heaven this is life.,这不是天堂，这是生命。
