,cid,votes,含wow,含wow中文翻译
11044,UgzdqJXifDp179lYdYp4AaABAg,693,"wow, canโ€t believe what i am watching. itโ€s like watching a fairytale in real life!",哇，不敢相信我在看什么。就像在现实生活中观看童话！
34352,UgzxESlYraLU_em4Oo54AaABAg,561,"wow, talk about living a life with purpose. this is beautiful. the satisfaction you get from making with your own hands.",哇，谈论有目的的生活。这很漂亮。用自己的手做出的满足感。
27182,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zRkbehWvop,353,"wow...she sounds like cinderella, but she's better than cinderella.",哇...她听起来像灰姑娘，但她比灰姑娘好。
22170,Ugyehpm6WYaRRaPthnp4AaABAg,218,"other people: wow she has so much talent. look at all of her skills

me: wait. is that a round mango?","其他人：哇，她有很多才华。看她的所有技能

我：等等。那是圆形芒果吗？"
41678,UgyjXRHd_c73BsIuVoR4AaABAg,191,"wow, you really live in the heaven! the heaven of fresh fruits!",哇，你真的住在天堂！新鲜水果的天堂！
9274,Ugykly8BwIbMY1JRwVV4AaABAg,145,wow,哇
2605,UgxKWc0pdUtmQe_MPll4AaABAg,124,"the chinese countryside is just wow. this lady is awesome, besides, her cheerfulness seeps to us while watching her. keep it up",中国乡村真是太哇了。此外，这位女士很棒，她的开朗在看着她时渗入我们。保持
36757,UgxCLSmif0mx5Hvc-kx4AaABAg,119,"this is the best channel everrrrrrrrr
i am so serious omg wow","这是最好的频道Everrrrrrrrr
我好认真的天哪哇"
37022,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8uV19axRRTq,114,wait- i thought this was from a drama. wow canโ€t believe this is real. she is my aesthetic lmfao,等待 - 我以为这是一部戏剧。哇不敢相信这是真实的。她是我的美学lmfao
20972,UgyZhNocqDpaa5BH3ih4AaABAg,111,"other people: wow she is so good at cooking


me: did she just write "" dead mango""","其他人：哇，她是如此擅长做饭


我：她只是写了“死芒果”"
38135,Ugy8CJb9b_jxCIPeNVh4AaABAg,102,"how the heck did this come in my recommendation??
but soo beautiful tho woww!!","这是我的建议是如何出现的？
但是太漂亮了！"
13831,UgzYMETrJFhhBjdRHM54AaABAg,90,those snacks look so professionally packaged. i thought she was gonna sell them. haha lol wow...shes amazing.,这些小吃看起来如此专业。我以为她会卖掉它们。哈哈大声笑...她很棒。
48934,Ugy_Uy_ejNzufvE5Irx4AaABAg,82,wow. she is a hardworking young lady and beautiful. she was so cute when she went to cover her grandmas ears. then she was the one who jumped. lol.,哇。她是一位勤奋的小姐，很漂亮。当她去遮住祖母耳朵时，她真可爱。然后她是跳跃的人。哈哈。
27781,UgxmRUOpewkegS7V9t14AaABAg,46,"wowww. soo many things she makes. suddenly i want peanuts, popcorn, and the candy she made. yummmy",哇。她做了很多事情。突然，我想要花生，爆米花和她制作的糖果。点菜
51797,UgwfY3vSQk66zpgvbqh4AaABAg,45,wow! it's too abundant to eat the new year! there are so much praise for any snack,哇！过年未免也吃太丰盛了吧！什么零嘴都有太赞了
52122,UgxU9pNshSQpZEJxSsp4AaABAg,39,wow you cook a lot today. is it preparation for chinese new year next week?,哇，你今天做很多。下周为农历新年做准备吗？
49623,UgyttGahljrnTQjVq3Z4AaABAg,36,super yummy! in méxico we have same candies! wow we have a lot in comun,超级美味！在墨西哥，我们有同样的糖果！哇，我们在comun中有很多东西可能是因为美丽的事物在人类中是一个人！
22483,Ugw93MiOcqW02pI7bJx4AaABAg,36,wow how does she film this?,哇，她如何拍摄这个？
38729,Ugw11hJJQ5uGC3ivwx14AaABAg,27,"woww that place, full of fruits and vegies!! i want to live there!!!",哇，那个地方充满了水果和蔬菜！我想住在那里！！！
40734,UgwLj0_8Vb5gT5GeR8h4AaABAg,21,hey cutie... u are so hard worker... from today your channel is on the top list of my favorite channels wow...,嘿，可爱...你是如此勤奋...从今天开始，您的频道在我最喜欢的频道的最高列表中哇...
42619,Ugy_ezpwtY6MPw42vD54AaABAg,19,you are blessed such a place woww where is this,你很幸运，这个地方哇，这在哪里
29254,UgxB2B-6k92WOgnfWZ94AaABAg,19,"wow they have so much to eat,the girl she is pretty and very hard-working",哇，他们有很多东西要吃，她漂亮又勤奋的女孩
22173,Ugx-VnwOX7qjyeUAAdh4AaABAg.932yC5awLL593ClLBmDZ5I,18,"was thinking the same! 18k hates..wow! the world is full of bitter, jealous people.",在想一样！ 18k讨厌..哇！世界充满了痛苦，嫉妒的人。
3718,UgxzyBBgSq7a8yujuYV4AaABAg,15,"100 million? wow i love her videos...
but also it's been 2 months since she last uploaded...i hope she is okay❤️","1亿？哇，我爱她的视频...
但是自从她上次上传以来已经两个月了……我希望她还可以❤️"
13554,Ugw73Arzndi8SStLopd4AaABAg.9BhwngNN21u9C7jR9Vwyj8,15,"@wowsurfing she has about 2 people helping her, and she still makes all the final calls and stuff",@WowsUrfing她有大约2个人在帮助她，她仍然打了所有最终的电话和东西
42276,UgzHDUKYWktbwHLLLbl4AaABAg,14,wow,哇
50774,UgyKUcf7SCfDlQCsLN14AaABAg,14,wow. such a great passion and talent. you are very bless li. happy new year,哇。如此伟大的热情和才华。你很祝福李。新年快乐
