,cid,votes,time,含awesome,含awesome中文翻译
26860,UgzQ4OBGGGIyUq7xGMV4AaABAg,308,3 years ago,"while we spend hundreds of dollar try to buy what so called ""organic food"" liziqi just pick her ingredients in the backyard. it's awesome.",当我们花费数百美元尝试购买所谓的“有机食品”的东西时，Liziqi只是在后院选择她的食材。这很棒。
33917,UgwWzHvkZtzjRE4rhb94AaABAg,30,3 years ago,"liziqi and team thanks for all your video, such a great work, everything is awesome
♥from indonesia","Liziqi和Team感谢您的所有视频，如此出色的工作，一切都很棒
♥来自印度尼西亚"
20185,UgwZtKiAAF_J4x5Vjoh4AaABAg,25,3 years ago,"she is so beautiful to watch, it is so tranquil, i could have a hard day and i find her and watch her on my phone or tablet and she is so tranquil - i love it, i love her, she is absolutely awesome!!!!!!!",她是如此美丽，它是如此的宁静，我可能会度过艰难的一天，我找到她，在我的手机或平板电脑上看着她，她是如此宁静 - 我爱它，我爱她，她绝对很棒！ !!!!!!
480,Ugzk1P7bWFaCYfdVd4J4AaABAg,14,6 months ago,the video is calm. the sister paper is awesome.,视频看的让人心情平静，妹纸真棒、虽然也吃不太来螺丝丝，但是超爱酸笋
30705,UgwUbmUpfvQnSVUCcXZ4AaABAg,14,3 years ago,i absolutely love your videos! i'm totally in for this bamboo feast!!! bamboo shoots are one of my favorite things to eat. this all looks awesome,我绝对喜欢您的视频！我完全参加这个竹子盛宴！！！竹芽是我最喜欢吃的东西之一。这一切看起来很棒
21259,Ugx4Ik49LafJWYFX_pN4AaABAg,12,3 years ago,awesome too good to be true the farm has everything and anything wow.,太棒了，太好了，无法实现农场拥有一切和一切哇。
26386,UgyDmuaXruu8Ia2TLwV4AaABAg,12,3 years ago,i can't live without watching ds chennel evry episode mke me smile it's jst awesome!,我不能看着DS Chennel Evry情节Mke Me Smile，JST真棒！
18151,UgxiEYmBX-jwCkXfBhd4AaABAg,10,3 years ago,"awesome. it turned out to be crying. many pictures cross time, and quiet flowing. can smooth a lot of folds in my heart. this is the dream of life.",真棒。竟然看哭了。很多画面穿越时间，安静的流水过去。可以抚平很多心上的褶子。这是梦寐以求的生活。
31390,UgyUNuLgMncmFJISwPB4AaABAg,8,3 years ago,"awesome life ....
glory of nature ...
food","很棒的生活...
自然的荣耀...
食物"
4226,Ugw-UR4AZmbiBRTg7aR4AaABAg,7,2 years ago (edited),"congratulations! your videos remember me of my lovely childhood in the countryside and my grandma's awesome cooking!! furthermore, your videos have an eerie aesthetic. they seem etxtracts from a film! may i ask which camera do you use? by the way, which editing programme do you use?",恭喜！您的视频记得我在乡村和祖母的烹饪烹饪中可爱的童年！此外，您的视频具有令人毛骨悚然的美感。他们似乎是从电影中获得的！请问您使用哪种相机？顺便说一下，您使用哪个编辑程序？
19954,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92-qn-394XN,6,3 years ago,@ashoretoo im sorry i think what she is doing is awesome i do have questions of how she makes money because growing up with a garden there is alot of time involved and cooking like she is and rounding up her ingredients and let's not forget how much time filming and making a video takes so i have much respect for her and i would not be suprised if shes working 15+hrs a day plus taken care of granny much respect to her i dont understand stand why anyone would dislike this content unless its a hate monger,@Ashoretoo我对不起，我想她在做什么很棒，我确实有疑问她如何赚钱，因为在花园里长大的时间涉及很多时间，像她一样烹饪并弄清楚自己的食材，让我们不要忘记多少时间拍摄和制作视频需要花费很大的尊重，如果她每天工作15+hrs加上奶奶的照顾，我不明白，我不会感到惊讶，除非有人会不喜欢这个内容贩子
4987,Ugw0WgwizNuKan2MLq14AaABAg,6,2 years ago,"it's awesome, a beautiful lifestyle. this is my dream lifestyle.",太棒了，一种美丽的生活方式。这是我梦dream以求的生活方式。
35093,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUTx6PC6nU,4,3 years ago,i love philippines so much~ i’ve been to palawan last year the scenery there was awesome!,我非常爱菲律宾〜去年我去过巴拉望岛的风景很棒！
16742,Ugw3bWwvJEPeTxEzdBF4AaABAg,4,3 years ago,china is awesome!,中国牛逼！
30678,Ugxnel8DZFvSWb7rv614AaABAg,3,3 years ago,"thank you ! 
good work, as always. you're a smart cookie.your awesome! i like your style. i appreciate you .","谢谢 ！
一如既往的好工作。您是一个聪明的饼干。您很棒！我喜欢你的风格。我感激你 。"
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,3 years ago,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
25721,UgwER2qnmVJ7VmOqujl4AaABAg.8yzGOMxnfp88z5tZNpRAVc,3,3 years ago,"bro i also want to say the same thing, for survival we need job but we are deprived of awesomeness of life.realising watching this that life is beautiful but we need to have a beautiful mind to observe things around.",兄弟，我也想说同样的话，为了生存，我们需要工作，但我们被剥夺了生命的敬畏。
