,cid,votes,含happy,含happy中文翻译
31451,UgwUyESYva-00YZisfx4AaABAg,765,1 million views in only 7 hours. i feel so proud of her and i am so happy to see her account grow so much here outside of china.,仅7个小时内的100万次观看次数。我为她感到骄傲，我很高兴看到她的帐户在中国以外的地方如此之多。
34722,UgwEvpOvh9kcPGJ57Mh4AaABAg,279,"thank you for your hard work and effort to make us happy, love you♥️",感谢您的辛勤工作和努力使我们快乐，爱你♥️
12156,UgycBYapKu7TH6vb3Ed4AaABAg,272,"my dream is to one day have a garden where i can grow plants, flowers, herbs and food for my family. her and grandma must be so happy. all that nature around them and the nutritious food to nourish them",我的梦想是有一天有一个花园，我可以在这里为家人种植植物，鲜花，草药和食物。她和奶奶一定很高兴。他们周围的所有大自然以及营养丰富的食物以滋养它们
26194,UgwzdQr9XSbrxvGNSQF4AaABAg,249,"today is august 21, 2019 exactly two years since this channel was established. congratulations liziqi, our dear princess. happy 2nd year anniversary, we wish you more years of success and happines",今天是自该频道建立以来的2019年8月21日。恭喜我们亲爱的公主利兹奇。二周年快乐，祝您成功多年，快乐
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
20690,UgzpIQ84-wF095MR2bJ4AaABAg,79,whis everyone who reads this comment have a very happy day,低声阅读此评论的每个人都有非常快乐的一天
13183,UgwyIZJTQfi-eoyeS354AaABAg,72,she has been through a lot and seeing her living the life she enjoys and makes her very happy is such a blessing,她经历了很多事情，看到自己的生活过着自己享受的生活，使她非常幸福真是一种祝福
29810,Ugypi1em9K6v7VprkYd4AaABAg,68,granny on a swing looked so happy... made me happy too.,挥舞着的奶奶看起来很开心...也让我开心。
20621,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg,41,it's really great video! thanks to the girl to show more people's lives to more people! i wish you and your grandma healthy and happy! i do n’t know who has such a good blessing to marry such a daughter -in -law!,真的是很棒的视频啊！感谢姑娘把真实的美好的中国人的生活展现给更多人!祝你和你奶奶健康快乐!不知道谁有这么好福气能够娶到这样的媳妇啊！
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
18462,Ugx_6yBpjTMVexlpwQ54AaABAg,38,"occasionally speaking, a strong hometown accent, girl, i am proud of you. her grandma looks very happy",偶尔开口说话，浓浓的家乡口音，姑娘，我很为你骄傲。她奶奶过得很开心的样子
23211,UgymyTmKxbNXC_ZShLR4AaABAg,33,"friends, i hope my mother -in -law is happy, healthy, and happy in the mid -autumn festival!",友，愿婆婆与妳中秋季快乐，健康，幸福！
27958,UgzSc4oeIJg3L3cR2fR4AaABAg,17,"i honestly don't mind giving this lady a million dollars .... just want her to have a happy life n marry the man she loves.


ps: my 1st comment.","老实说，我不介意给这位女士一百万美元。...只是想让她过上幸福的生活，嫁给了她所爱的男人。


PS：我的第一条评论。"
5185,Ugy--BL0yiraW9vw5cB4AaABAg,17,"a! japanese!
thank you (*ยด๊’ณ`*)
japanese is difficult, so i am happy to explain only in the outline column.","A！日本人！
谢谢（*´꒳`*）
日本人很困难，所以我很乐意在大纲列中进行解释。"
19564,Ugw1BSS4noGQb9hRqIh4AaABAg,14,"the effort this young lady exert is always for the good of others. there’s love in her contents, she feeds your eyes, soul and mind. this is a happy woman because she knows there’s more happiness in giving than receiving.liziqi keep giving us your high quality videos, you’re making a difference in people’s lives.",这位年轻女士的努力始终是为了别人的利益。她的内容中有爱，她养活了您的眼睛，灵魂和思想。这是一个快乐的女人，因为她知道给予比接受更多的幸福。Liziqi继续给我们您的高质量视频，您正在改变人们的生活。
21305,UgyVO8b_zk21ygbAcjB4AaABAg,14,"this person is very beautiful,
the food looks really delicious, and the dogs are always shaking their tails and it looks fun

i wonder if i'm happy","这个人很漂亮，
食物看起来真的很美味，狗总是在摇尾巴，看起来很有趣

我想知道我是否开心"
11077,UgxKvyp57EZ5XhPr-B54AaABAg,11,"1:17 the happy grandma here for the first time made me understand what it means to support the year! by the way, congratulations on breaking 10 million fans! intersection",1:17 这里快乐的奶奶第一次让我明白了什么叫颐养天年！顺便一提恭喜你破1千万粉丝了！！
21977,UgxZcII2I-OAkuCydRp4AaABAg,10,anyone who marries this women will be very happy. she can do it all.,结婚的任何人都会非常高兴。她可以做到这一切。
35346,UgxjgxXOdyvZtIpoqM54AaABAg,10,"i saw liziqi, i clicked, i am happy...",我看到了liziqi，我点击了，我很高兴...
6025,UgwVLmWIxGc-SLGifaF4AaABAg,10,"i can see li ziyi on the oil pipe, i'm very happy",能在油管上看到李子柒我很开心
31844,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yV8JTmM9bT,9,"hi! i don't know what are you going through! i just want to show you my support! i everything will be ok, i hope you nothing but happy!",你好！我不知道你正在经历什么！我只想向您展示我的支持！我一切都会好起来的，希望你除了快乐！
15717,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L93CkO2tINOa,9,@xizhiwu8821 her grandmother reminds me of my grandmother who passed away 8 years ago. so i have nothing but respect for her and her grandmother and they seem so happy.,@xizhiwu8821她的祖母让我想起了8年前去世的祖母。所以我只尊重她和她的祖母，他们看起来很高兴。
25810,Ugy0z-zy7tB7Sg_2Jih4AaABAg,8,hello i am a thai fan. i watch you every day through youtube channel and feel happy every time but i want you to speak. ok thank you,你好，我是泰国球迷。我每天通过YouTube频道看着您，每次都会感到高兴，但我希望您讲话。好的谢谢
23449,UgzUJFsjexVHtAYIVQp4AaABAg.8zjK3KSSJ1L8zqZ5q2UL-m,7,she’s so happy because she isnmt married xd,她很高兴，因为她伊斯兰特嫁给了xD
30174,UgyFEcgWfMqUoU4AvAd4AaABAg,7,"so i want to feel life in the house, so natural without the burden of metropolis, without a mall, without traffic without anger that is only relaxed and so happy ... ☺️",因此，我想感受到房子里的生活，自然而然地没有大都市的负担，没有购物中心，没有交通，没有愤怒，只有放松而快乐...☺️
33023,UgzYCfK_w5uir1rw9DF4AaABAg,7,i am happy to see your next notification so quick ❣️,我很高兴看到您的下一个通知这么快❣️
1027,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9haSwoN00A1,6,"zi yan's filial piety was moving. ziyi's video made bai bai see it. i look forward to seeing her new work as soon as possible, and i wish her and grandma safe and happy",子柒的孝心让人感动，子柒的视频让百看不厌，期待能早日看到她新的做品，也祝愿她和奶奶平安幸福
