,cid,votes,time,含girl,含girl中文翻译
29433,UgzV5SRrEU2-VIvbK7h4AaABAg,417,3 years ago,"panda a: that girl comes again, who cut our bamboo last time to make her furniture! this time she evens eats it!
panda b: damn! let’s go dislike her on youtube!
hence the dislikes.","熊猫A：那个女孩又来了，她上次砍了我们的竹子来制作家具！这次她逃避了！
熊猫B：该死！让我们在YouTube上不喜欢她！
因此，不喜欢。"
25059,Ugytvmc3UbnvGly8w114AaABAg,237,3 years ago,"accidentally click the video too,after that could not get enough of it!!...much more better than watching the kardashian/jenner all the time.i'm just so sick of watching the superficial world,where every girls on ig tries to have lips injection and buttock implants.this is the real world,where you could see the beauty of nature,calm,peace of mind and happiness!",偶然地单击视频，之后无法获得足够的时间！！……比整个观看Kardashian/Jenner都要好得多。要注射嘴唇和臀部植入物。这是现实世界，您可以看到大自然的美丽，镇定，心灵和平和幸福！
27344,Ugx1EZUxQB45OBd5gm14AaABAg,131,3 years ago,she’s one of the most amazing and talented girl i’ve ever seen on youtube.. she fed not only her granny but the soul of every viewers.. this is immortality i want to live in that place,她是我在YouTube上见过的最神奇，最有才华的女孩之一。她不仅喂饱了她的奶奶，而且喂饱了每个观众的灵魂。你和奶奶的力量..❤️
34245,Ugx5t6WgXk0zJSrTBg94AaABAg,129,3 years ago,"ziqi is the most talented and hardworking girl.
anyone agree with me","Ziqi是最有才华和勤奋的女孩。
任何人都同意我"
8045,UgzaqEE7JwDmLAar2id4AaABAg,88,2 years ago,"i admire this girl because sheโ€s at good farmer and cooking and she takes care of her grandmother very well,god bless you girl.๐‘๐‘๐‘",我很欣赏这个女孩，因为她在好农民和做饭，她很好地照顾祖母，上帝保佑你的女孩。
22322,UgzalH_OucQr_GSfdLx4AaABAg,87,3 years ago,"grandma should get some respect..

somebody had to teach this girl all this stuff.","奶奶应该得到一些尊重。

有人必须教这个女孩所有这些东西。"
16408,UgzXBeip5ph5HSUetoZ4AaABAg,83,3 years ago,who wouldn't want this girl to be his wife...best girl on planet earth,谁不想让这个女孩成为他的妻子...地球上最好的女孩
18380,UgzLtsCSFJyOmq977454AaABAg,79,3 years ago,"such a beautiful scenery, such a beautiful girl! it's all beautiful scenery",如此田园美景，如此美丽少女！都是美丽的风景
11553,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97v3ZT0OXyN,71,3 years ago,"riya guria after june, 2017, she hired the cameraman and a young assistant. before that, she was a one girl team and did exactly what you said to finish the shooting tasks. almost impossible while she made it with her incredible persistence. as for the proof, she showed all the raw materials on chinese webo, a chinese social media platform. one perfect scene may just come from tens of reshoots, especially when she did it alone at the time. and those early elaborate masterworks make her videos go viral.",Riya Guria在2017年6月之后，聘请了摄影师和年轻助手。在此之前，她是一个女团队，并按照您所说的完成射击任务。当她以她令人难以置信的毅力做到这一点时，几乎是不可能的。至于证明，她在中国社交媒体平台中国韦伯（Webo）上展示了所有原材料。一个完美的场景可能来自数十个重新拍摄，尤其是当她当时独自做的时候。那些早期精心制作的杰作使她的视频传播开来。
18500,UgzON2nGi_4g8o1ZWCR4AaABAg,67,3 years ago,she is a princess to me. sweet and lovable girl,她是我的公主。甜美可爱的女孩
1651,Ugx4g3-WEQ5O85RbgLd4AaABAg,58,1 year ago,"i've tried some dishes of oriental cuisine, especially china and japan and say: there is a natural sensitivity in the way of doing and proving! i really like!!
congratulations to this beautiful girl!","我尝试了一些东方美食，尤其是中国和日本的菜肴，并说：做和证明的自然敏感性！我很喜欢！！
祝贺这个美丽的女孩！"
19944,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91r-fVStewz,41,3 years ago,@ashoretoo i'm pretty sure it is jealous city women who disliked this. they're probably jealous that a hard working country girl can also look this pretty and maybe even prettier than themselves.,@ashoretoo我很确定是嫉妒的城市妇女不喜欢这个。他们可能嫉妒一个努力工作的乡村女孩也可以看起来很漂亮，甚至比自己更漂亮。
