,cid,votes,time,含enjoyable,含enjoyable中文翻译
9707,UgyocxsR202i9r_0kvJ4AaABAg,636,2 years ago (edited),why does life seem more enjoyable that way?,为什么生活看起来更愉快？
52310,UgxNkvEez1G1DIlPjZ94AaABAg,26,4 years ago,10 minutes ..... ziyi rarely has such a long film. this issue can be really enjoyable! ... i hope the future films can be longer .. otherwise,10分钟.....子柒很少有时间这么长的影片.这期看得真过瘾!...希望以后的影片也都能加长些..不然总是意犹未尽❤❤❤
22446,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN931jv_I4ANM,13,3 years ago (edited),"dion dion that sounds like a monk's ideal. i guess li ziqi's videos do have expectations, to be satisfied, to be enjoyable, to be beauty. :)",听起来像和尚的理想的狄翁·迪翁（Dion Dion）。我猜李Ziqi的视频确实有期望，可以满足，令人愉快，成为美丽。 :)
12777,Ugzjf-Y-ybc39244_Sx4AaABAg,10,2 years ago,"shes been blessed!! looking after her elderly grandparents is a blessing, living of the farm and watching her work and care for her grandma is so enjoyable to watch god bless her❤️",她很幸运！照顾她的年迈的祖父母是一种祝福，农场的生活，看着她的工作和照顾祖母，看着上帝祝福赫❤️
51477,UgyEGv8Ois3Dsjb5cHF4AaABAg,4,4 years ago,"0:02 i was like ""wait, one of dogs seems a bit... different? ohh yeah"" 
nice video ! really enjoyable to watch.","0:02我就像“等等，其中一只狗似乎有点...哦？哦，是的”
不错的视频 ！真的很有趣。"
953,UgyM42RrjnZd78xaBMl4AaABAg,2,7 months ago,itโ€s magically satisfying and enjoyable for me! i love your sincerity and purity of soul in life! ๐๐,这对我来说是神奇的满足和愉快的！我爱你生活中灵魂的真诚和纯洁！
33458,UgxFx6YsKpm-3R7RJ6d4AaABAg,2,4 years ago,you're quite lovely and your videos are very relaxing and enjoyable. thank you!,您非常可爱，您的视频非常放松和愉快。谢谢你！
15546,UgyuRB3EwPSX_n1AHth4AaABAg,1,3 years ago,so enjoyable and relaxing video,如此愉快而轻松的视频
18579,UgweceIlhVSkdmJL0dN4AaABAg,1,3 years ago (edited),"li ziqi, that is what i call natural. you are a natural beautiful woman who does natural things from the scratch. i also like the relaxing music which even makes your videos extra special and more enjoyable. thanks",李齐（Li Ziqi），这就是我所说的自然。您是一个天生美丽的女人，她从头开始做自然的事情。我也喜欢轻松的音乐，甚至使您的视频更加特别，更有趣。谢谢
1705,UgycOeVy_ghMJGkjp9B4AaABAg,1,1 year ago,great enjoyable content.,很棒的内容。
27097,Ugw-BWMWluQFhZjobWJ4AaABAg,1,3 years ago,liziqi is that my order u have completed hahahaha i love to watch ur videos please keep them coming it's so enjoyable and relaxing thank u so much for all your hard work,liziqi是我的订单你已经完成了哈哈哈哈哈哈，我喜欢看你的视频
