,cid,votes,time,含culture,含culture中文翻译
18583,Ugw-4ZcCGQMb7Of6XvF4AaABAg,251,3 years ago,"chinese traditional culture, 5 thousand years of civilization",中国传统文化，5000年的文明
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,2 years ago,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
17962,Ugw6czK9Xf25b4E83At4AaABAg,150,3 years ago,this is the best channel to introduce chinese culture. i love to learn chinese culture from here.,这是介绍中国文化的最佳渠道。我喜欢从这里学习中国文化。
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,3 years ago,"in order to write the college entrance examination composition to watch my sister's video ... i really envy my sister's life like this. after reading it, i was so moved. i was very happy to see foreign netizens' messages! intersection thank you sister for the help of spreading chinese culture, and thank you for your dreams for so many people. this may be your dream ~ i'm happy for you. thanks a lot! intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,3 years ago,i love the chinese culture of living and i want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
30722,UgzL5nyy2lVkZjq6So14AaABAg,76,3 years ago (edited),bamboo shoots is one of the most popular recipe in northeast india.. love from northeast india.our culture something like china thailand maynmer etc,竹芽是印度东北部最受欢迎的食谱之一。来自印度东北部的爱情。我们的文化像中国泰国梅纳默等
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,3 years ago,"golden melon grandma was taking care of her when she was young. what she is doing is the gratitude for the love and care received from childhood. this is a part of chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
26384,UgzBbK2aDxUle4bmSSF4AaABAg,38,3 years ago,even sour bamboo shoot or pickle is very common in many states of northeast india too our cuisine and culture has many simmilarities,甚至在印度东北部的许多州，我们的美食也很常见，我们的美食和文化都具有许多同样的andiminties
18637,Ugzji7WoQS6IgFJIOvh4AaABAg,37,3 years ago,"the li family has a woman, and she is called ziqi.
may your dedication give the world better to understand china's farming and rural culture.","李家有女，人称子柒。
愿你的付出让世界更了解中国的农耕田园文化。"
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,3 years ago,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
21903,Ugx6FWM-T9bAlv9WLVR4AaABAg,29,3 years ago,"i am from vietnam, i very like chinese culture",我来自越南，我非常喜欢中国文化
29570,Ugwozk571R6pngLuXUp4AaABAg,26,3 years ago (edited),youtube was pushed and found that i watched a lot of videos in one breath. the shooting is so beautiful. thank you for spreading the traditional chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
9154,UgxTTEaqCGfOX461hbt4AaABAg,25,2 years ago,"sichuan is blessed with its natural magnificent landscape, unique culture, food and many historical wonder.. yading, jiu zhai gou is definitely one of my favourite.",四川拥有其自然宏伟的景观，独特的文化，食物和许多历史奇观。
31929,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVRlrub8n6,19,3 years ago,one person carries the burden of chinese culture output,一个人扛起了中华文化输出的重担
18391,UgxnP5R0-pAl19bP4_p4AaABAg,18,3 years ago,"if you marry a wife, you will be in li ziyi
qingya costume li ziyi
mind and clever li ziyi
chinese output li ziyi
huaxia culture li ziyi
there are many children li ziyi
境 境 心","娶妻就要李子柒
清雅古装李子柒
心灵手巧李子柒
中华输出李子柒
华夏文化李子柒
子女多才李子柒
柒来心境李子柒"
12515,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iU_b_HpaQ,16,3 years ago,"pete g eating bats is part of some people’s culture and even if you feel disgusted by that, you shouldn’t be disrespectful about it.",Pete G吃蝙蝠是某些人文化的一部分，即使您对此感到厌恶，也不应该对此不尊重。
29819,UgxUXvTlOvZOkFyubr54AaABAg,15,3 years ago,"after seeing your youtube
i was interested in china.
china, which has such a beautiful living culture, is wonderful!
modern life is also fun
i want you to protect this wonderful culture.
i want to go to china ✈️","看到您的YouTube之后
我对中国感兴趣。
拥有如此美丽的生活文化的中国真是太好了！
现代生活也很有趣
我希望您保护这种美好的文化。
我想去中国✈️"
18499,UgwFsgKBe50sBFkQ9xF4AaABAg,13,3 years ago,"it is true that rural life in many places is more boring and not beautiful in the video, but this is not a documentary in science and education. what is wrong with the lens more wrong with the beautiful side? those who are not absolutely opposed because these videos are true? journey to the west is true? is avatar real? is the avengers really? those films that are completely unreal can be exported as a culture. why can't qi videos? at least the fresh ingredients, forests, sunlight, white clouds, and morning fog in the video are not props. this is a decompression window for people in the metropolis",诚然，实际很多地方的农村生活比视频里的更枯燥、不美丽，但是这又不是拍科教纪录片，镜头更多地对着美好的一面有什么错呢？那些因为这些视频不是绝对真实就反对的人，西游记真实吗？阿凡达真实吗？复仇者真实吗？那些完全不真实的影视都能作为文化来输出，柒的视频为什么不能呢？ 至少视频里的新鲜食材、森林、阳光、白云、晨雾、都不是道具，这是大都市苦逼人士的一个减压窗口
11097,UgwFBvWUt-BC74PMeiJ4AaABAg,13,3 years ago,"i really loved all your videos! being indonesian we have similar culture, work ethic and the love of cooking. thank you so very much far sharing it with us!",我真的很喜欢您的所有视频！作为印尼人，我们具有相似的文化，职业道德和对烹饪的热爱。非常感谢您与我们分享！
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,1 year ago,"liziqi is a soothing content creator who wants to share traditional chinese culture. she does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,3 years ago (edited),"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
9446,Ugyn-eR8_uZytfC_fVV4AaABAg,12,2 years ago,"in our culture meranao, we call that dabong! and everytime we cook that we sometimes put sardines on it and spices and believe me or not it is verrrrry delicious!!",在我们的文化梅拉诺（Meranao）中，我们称之为dabong！每当我们做饭时，我们有时会在上面放沙丁鱼和香料，并且不相信我，这是美味的！
17690,Ugyq20sSrsHj5YXUi2l4AaABAg,10,3 years ago,i would love to take a trip to china. be in a place like this for a week to experience the culture,我很想去中国旅行。在这样的地方呆一个星期来体验文化
1367,UgyK3lkycrWXjxJDwzV4AaABAg,10,1 year ago (edited),"i love watching your videos. our family ties are very nice to take advantage of nature, nature. i am turkish, our food culture is not similar, but i am watching because you like your work and healthy diet.",我喜欢观看您的视频。我们的家庭关系非常适合利用自然，大自然。我是土耳其语，我们的饮食文化并不相似，但我正在看，因为您喜欢您的工作和健康的饮食。
18915,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92LkK8kNJDc,9,3 years ago,"i really hope that many domestic ups can tell chinese stories and spread chinese culture in youtube. alas, how foreigners understand the essence of chinese, they are just curious.",真希望国内众多up主能在youtube讲好中国故事，传播中国文化，唉，中华之精髓外国人怎么懂，都只是好奇。
21687,UgwnU8yySOsS-dfd1zJ4AaABAg,9,3 years ago,here in the western culture we are conveniently accustome to microwave food and in the eastern culture they make their food from scratch with natural ingredients. what a life...,在西方文化中，我们很方便地习惯微波食品，在东方文化中，他们用天然成分从头开始制作食物。什么生活...
31553,Ugzonvb4zsPJxUzVih54AaABAg.8yVBbepkC-e8yVaMvnyCZM,9,3 years ago,"please make and publish videos. the world is interested and need to see that people from other cultures are human too. cheer up! loads of love for liziqi and you, niki.",请制作和发布视频。世界很感兴趣，需要看到其他文化的人也是人类。开心点！对利兹基和你的爱，尼基。
29449,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yaExTyjkhI,7,3 years ago,"@franzpeters3824 every country has its sad or tragic history. why not accept we have a good culture and we are being better? this peaceful video still evokes your evil prejudice, shame on you",@franzpeters3824每个国家都有悲伤或悲惨的历史。为什么不接受我们有良好的文化，而且我们正在变得更好？这个和平的视频仍然唤起您的邪恶偏见，对你感到羞耻
31094,UgxWvAxOImrsehQXM4F4AaABAg,7,3 years ago,i like chinese culture and cooking,我喜欢中国文化和烹饪
