,cid,votes,time,含lovely,含lovely中文翻译
44960,Ugzkyht9GJ-UWBb8pBV4AaABAg,155,4 years ago,"what a beautiful faerie like place in which you live! a lot of lovely fruits, nuts and resources to make your treats with as well. you are obviously very talented and the calm, hard-work and dedication can be seen in your videos... passion, too",您居住的地方多么美丽的仙境！许多可爱的水果，坚果和资源也可以使您的零食。显然，您很有才华，您的视频中可以看到镇定，努力和奉献精神……激情，所有食物看起来都很好吃！你和你的祖母太可爱了。
17825,UgzrzQVlVE8U33HjHNV4AaABAg,146,3 years ago,isn't it lovely how her dogs always be by her side like everytime and everywhere :') <3,她的狗总是像每次和任何地方一样在她身边，这不是很可爱：'）<3
47388,UgyPAmvkUntYoit6SJJ4AaABAg,90,4 years ago,happy chinese newyear. say hi to your lovely grandma.,快乐中纽约。对你可爱的祖母打招呼。
49181,Ugy7ko4BH_vUfS_hcY14AaABAg,71,4 years ago,another lovely video!! thank you so much,另一个可爱的视频！非常感谢
24971,Ugw04Uimwmp5r-6XhsZ4AaABAg,61,3 years ago,my greatest wish for china is that everyone could afford such a lovely life.,我对中国最大的愿望是，每个人都可以负担得起如此美好的生活。
26244,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zsIVAARk1n,44,3 years ago,"lovely, you are taking the first steps of treating your depression and eventually living the life you dream to live in! god bless!",可爱的是，您正在采取第一步来治疗抑郁症，并最终过着梦dream以求的生活！上帝保佑！
49862,UgxfcZpYpNLvxRKPSbp4AaABAg,40,4 years ago,5:56. 9:46. so cute so lovely.,5:56。 9:46。太可爱了。
5764,Ugxl3_aEEeHJs88R2VZ4AaABAg,35,2 years ago,"am i seeing a sheep? 

those puppies are so lovely
your channel won our hearts. so natural, so peaceful. ❤️❤️

","我看到绵羊吗？ 

那些小狗是如此可爱
您的频道赢得了我们的心。如此自然，如此和平。 ❤️❤️

nagaland"
45304,UgzSeHaJn7aYhJQSgsl4AaABAg,33,4 years ago,everything is so peaceful and lovely,一切都是如此宁静，可爱
50036,UgyQLkCzrfLZfBONlFh4AaABAg,30,4 years ago,happy chinese new year to li zi qi & lovely popo :),李齐和可爱的popo的农历新年快乐:)
50403,UgyBCstQm1VsXADTpWN4AaABAg,19,4 years ago,happy new year!! i wish i could taste all these lovely things!!!,新年快乐！！我希望我可以品尝所有这些可爱的东西！！！
31173,Ugz03KIX3v6YeTTntKV4AaABAg,17,3 years ago,your grandmother is so sweet and adorable! i love her so much! the way you shielded her from the bang of the popcorn made me smile so much. you all seem so lovely!,您的祖母是如此的甜蜜和可爱！我非常爱她！您将她免受爆米花的轰动的方式使我非常微笑。你们看起来都很可爱！
36616,UgxXfTt6VrYFQJURa5F4AaABAg,12,4 years ago,"youtube, sometimes i question the things you recommend to me. this isn't one of them. thank you for this, this is lovely.",YouTube，有时我会质疑您向我推荐的东西。这不是其中之一。谢谢你，这很可爱。
38089,UgwgDpA2C3QgnRFmkzN4AaABAg,10,4 years ago,amazing woman and i love all of her video so so so so so pretty and beautiful nice lovely,很棒的女人和我爱她的所有视频，如此如此漂亮，美丽的漂亮可爱
1008,Ugxhj-3OA7wNzL0b89R4AaABAg,7,7 months ago,"i hope you'll come back soon lovely liziqi
your videos relieve my stress and anxiety
i just wanna say thank you and i miss you so much","我希望你很快回来可爱的利兹奇
您的视频缓解了我的压力和焦虑
我只想说谢谢，我非常想念你"
46647,UgznRayRv0aCLiZInI54AaABAg,7,4 years ago,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
