,cid,votes,含music ,含music 中文翻译
18509,Ugz7vX27tY0R8YBBwyB4AaABAg,89,i love how some of her music sounds like you're entering some sleepy little village in a jrpg from the 90's.,我喜欢她的一些音乐听起来好像您正在90年代进入JRPG的一个困倦的小村庄。
33429,UgzVPNmxM6AyMkdBfYN4AaABAg,42,"love ur natural ways,,,the music ,the scenes everything
love from north east india","爱你的自然方式，音乐，场景
来自印度东北部的爱"
13416,UgyWW8OH0WIdH9YNC-J4AaABAg,22,"i'm in love with the chinese traditional music so soothing so relaxing.... thank you ,, love you guys from india",我爱上了中国的传统音乐，所以舒缓如此放松。....谢谢你，爱你们来自印度的你们
8566,Ugy6kUOOslDOOMFRTUh4AaABAg,14,"i didn't even watch the content, just closed my eyes and listen to the music and the sound of her activities brought peace to my mind. great video by the way.",我什至没有看内容，只是闭上了眼睛，听音乐和她的活动的声音使我想到了和平。顺便说一句，很棒的视频。
16618,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933xdivh5rt,6,"“li lives with her grandmother in the countryside of mianyang in southwest china's sichuan province.[8] she was orphaned at a very young age. as a young adult she lived in the city, making a living by working as a music dj. when her grandfather died, she moved back to take care of her grandmother. accordingly, her online videos are produced using a personal assistant and a videographer. she adopted two dogs into sichuan province and chose to be unmarried and childfree.” wikipedia",“李与她的祖母住在中国西南四川省的迈阳的乡村。[8]她很小的时候就被孤儿院。作为一个年轻的成年人，她住在这座城市，以音乐DJ工作为生。当她的祖父去世时，她回去照顾祖母。因此，她的在线视频是使用个人助理和摄像师制作的。她将两只狗收养到四川省，并选择未婚和免费。”维基百科
13409,UgyUkQuALRADmMrMxCZ4AaABAg,6,i like the music in the ground it's so relaxing . i can sleep,我喜欢地面上的音乐，真是太放松了。我可以睡觉
18158,Ugwtj8EkZ4YoiDEUefx4AaABAg,6,"music and editing are really great, thank you!",音乐和剪辑真的很棒，感恩！
11253,UgzXj-Mx5zxZQHYOk2N4AaABAg,4,natures sound with a wonderful music and a gorgeous girl i am in love,出色的音乐听起来很棒的音乐和一个我恋爱中的华丽女孩
3546,Ugyce3q7fR3cQRZa_Qp4AaABAg,3,the music background it sound like the song in cinderalla. the lavenders blue,音乐背景听起来像Cinderalla中的歌曲。 LavendersBlue
21092,UgwI--vwhvAJQ4z5UsF4AaABAg,3,"the music is really calming, n it reminds me of some old chinese movies",音乐真的很平静，它让我想起了一些古老的中国电影
31540,UgwAujlrORFp_eu4JBh4AaABAg,3,"wowww always your food is delicious and excellent i love all your videos such a beautiful house and beautiful landscapes that always accompanies music always your videos transmits me peace, tranquility and harmony always so cute and kind with your sweet grandmother how cute you look together in that beautiful house that looks like a fairy tale i admire you a lot thanks for some very beautiful videos this girl impresses me more every day, knows how to do everything and works hard i admire her a lot i love you friend greetings from spain
","WOWWW总是您的食物美味，很棒，我喜欢您的所有视频，如此美丽的房屋和美丽的景观，总是伴随音乐的视频，您的视频会传递我的和平，宁静和和谐总是如此可爱和友善，与您甜美的祖母一起友善，您可以在那样的可爱在一起看起来像童话的美丽房子，我非常佩服你，谢谢你的一些非常漂亮的视频，这个女孩每天都给我留下更多的印象
"
9345,Ugx4v4Qu7A-hIFwCa6x4AaABAg,2,i love music of the background awesome ๐๐๐๐,我喜欢背景的音乐很棒
7835,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CXoDqPrziI,1,pls listen my indian classical music.if u like my music so pls subscribe like and share my videos.,请听我的印度古典音乐。如果你喜欢我的音乐，请订阅并分享我的视频。
23734,UgwlkY57u2MV4r94UDt4AaABAg,1,what's the background music called? i'd love to listen to it!,背景音乐叫什么？我很想听听！
8472,UgziVro46SrJlBxVm494AaABAg.9BNW9eoVz229Cn3s1kNQet,1,hi guys i have uploaded indian classical music on sitar for all of u so pls watch my videos and if you like my music so pls subscribe like and comment my video.pls guys support me.,嗨，大家好，我已经在所有人的西塔尔上上传了印度古典音乐，所以请观看我的视频，如果您喜欢我的音乐，请订阅和评论我的视频。
10796,UgyXCH1rGD8ac2TdXnp4AaABAg,1,anyone cried when the music starts?,音乐开始时有人哭了吗？
8443,UgzjvQOmyxlXB4eUceh4AaABAg,1,background music super,背景音乐超级
14722,UgxCv7t-PZ3g7-WyfWx4AaABAg.940Uu8t0Adb94KLY7nksy7,1,i think the music makes this video so much more compelling!,我认为音乐使该视频更具吸引力！
13427,UgyUkQuALRADmMrMxCZ4AaABAg.95WmBQriJ2G96JfIHoMBzY,1,music name? plz,音乐名称？ plz
26767,UgyRIiiWxSVG7wLVNlV4AaABAg,1,"am i the only one who thinks she resembles lee bingbing 
love watching her videos . specially the background music is so pleasing to the mind and soul. 
wish you grow more and more in coming days ❤️❤️❤️❤️","我是唯一一个认为她类似于李·贝宾
喜欢看她的视频。特别是背景音乐对思想和灵魂是如此令人愉悦。
希望您在接下来的日子里越来越多的成长❤️❤️❤️❤️"
21238,UgyMxVRrBQ-ZB43UCU94AaABAg,1,"wow, you're making beautiful and you deserve the support of 
music + photography + place 
✔️♥️","哇，你变得美丽，你应该得到
音乐 +摄影 +地方
✔️♥谢"
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
15772,Ugy5TCRPVP_JkMxUB654AaABAg,1,does anyone know what the background music is?,请问有人知道开头的背景音乐是什么吗~
19161,UgxjSfV6dGnBVdUWGJR4AaABAg,1,please give me a link of the music when the video begin. i very like it please please please,视频开始时，请给我音乐的链接。我非常喜欢它，请
7834,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9CXo2V9MZDK,1,@boilenlhouz4557 guy's pls watch my videos .i have uploaded indian classical music on sitar for all of u .,@boilenlhouz4557 Guy的Pls观看我的视频。
15225,UgyMLbUuQvOEOI0Gk-l4AaABAg,1,please tell me music of this ep. i want to known please please,请告诉我此EP的音乐。我想知道，请
27520,Ugyzo6rXO14bXZBc5xZ4AaABAg,1,"what a pity ... you have to lower the volume a lot for music (almost continuous) not to bother, and the sounds are lost a lot, which are already music without any more. the video would be perfect without music or with it much lower and sporadic.",可惜...您必须大大降低音乐（几乎连续）的大量卷，而不必打扰，而且声音会丢失很多，这已经是音乐已经没有了。没有音乐，该视频将是完美的，或者零星的视频将是完美的。
6149,Ugy4X_D0xB1UTqSb3b54AaABAg,1,"i also do youtube about music invites everyone to see
https://m.youtube.com/channel/unbdvjaacp_9dlit2r1xszg","我也对音乐进行YouTube邀请大家看
https://m.youtube.com/channel/unbdvjaacp_9dlit2r1xszg"
7732,UgwG2YsvuIN4jlWbKCN4AaABAg.9CSGjNsI5Jl9CTlI8gjRp9,1,"yes, she was orphaned at a very young age. she moved in with her grandparents after her stepmother mistreated he. as a young adult she used to live in the city, working various jobs such as waitress, a music dj, and singer. when her grandfather died, she moved back to take care of her grandmothe",是的，她很小的时候就被孤儿院。继母虐待他后，她和祖父母一起搬进去。作为一个年轻的成年人，她曾经住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她搬回去照顾她的祖父
31915,UgxJH20ijhGS-_oEUNF4AaABAg,1,i am watching only for relaxing music ...love you from india,我只是看着放松音乐...来自印度的爱你
5565,UgzSQHAuIG5-Fw-BV0V4AaABAg,1,such atmospheric video and music ... just bliss,这样的大气视频和音乐...只是幸福
6990,Ugymz_orEDN00-Z_F2x4AaABAg,1,"https://youtu.be/jp2aivjn9gg
bleak
please support this music [jo1]","https://youtu.be/jp2aivJn9gg 
⬆
请支持这首乐曲【JO1】"
28340,UgzgD4qo3E7SCbySSrp4AaABAg,1,"always love her videos! 
does anyone know what the music she uses is?","永远喜欢她的视频！
有人知道她使用的音乐吗？"
27661,UgzIiFrv0EtJbXUgxnt4AaABAg,1,"i like it. it's great to do dexterity, and it's really cool to cook and harvest ingredients.
natural sounds and music are also hearted. make it comfortable ...
everything is a meaningful process. i always see it well","我喜欢。敏捷非常好，烹饪和收获成分真的很酷​​。
自然的声音和音乐也令人心动。让它舒适...
一切都是有意义的过程。我总是看得很好"
33237,UgxXMRapIEPzmBRDNIB4AaABAg,0,"i liked the music it peaceful,plus the content of the videos",我喜欢它和平的音乐，以及视频的内容
32887,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8zSrOK8xIzK,0,beacuse the music was relaxation,BeaCuse音乐是放松的
32747,UgyOv2Xz_2es6x_tUHt4AaABAg,0,music sound system like this,音乐声系统这样
