,cid,votes,time,含sichuan,含sichuan中文翻译
9620,UgwsFV9cxgvP5uRBXmZ4AaABAg,184,3 years ago,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
18895,UgxLNsP-0aqASJwOqrN4AaABAg,142,3 years ago,"seeing her video reminds me of my childhood life, it is really that. my hometown is in rural sichuan. what? because it is shooting videos, many scenes have beautified, in fact, the process will be very hard.",看到她的视频让我想起小时候的生活，真的就是这样，我的老家就在四川农村，然而我们却拼命努力去了城市，为了生活奔波，看了她的视频让我怀疑生活究竟是为了什么？因为是拍摄视频，把很多场景都美化了，其实过程会很辛苦。
18752,UgwXLyqJiScjXUxRJYl4AaABAg,90,3 years ago,"i’m so proud that she comes from my hometown sichuan,chinese old saying: the beauties shall come from sichuan. she is the goddess in my heart.",我为她来自我的家乡四川而感到自豪，中国的老话：美女将来自四川。她是我心中的女神。
9154,UgxTTEaqCGfOX461hbt4AaABAg,25,2 years ago,"sichuan is blessed with its natural magnificent landscape, unique culture, food and many historical wonder.. yading, jiu zhai gou is definitely one of my favourite.",四川拥有其自然宏伟的景观，独特的文化，食物和许多历史奇观。
11397,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97lZBQp7-pX,18,3 years ago (edited),"@logicone5667 she lives there with her grandma, the video is actually filmed at her home in the village of sichuan province. all those crops would die if she only goes there once a month...she does have a team though, but it doesnt mean its just for show. her grandma needs someone to take care of, thats why she moved back to the village to live with her.",@logicone5667她和祖母一起住在那里，该视频实际上是在她在四川省村的家中拍摄的。所有这些农作物每月只去那里一次……但是她确实有一支球队，但这并不意味着这只是为了表演。她的祖母需要一个人来照顾，这就是为什么她回到村庄和她住在一起的原因。
9157,Ugzles7utrIYwnyB4RN4AaABAg,15,2 years ago,"i now understand why sichuan (where liziqi lives) is also called ""heaven (ๅคฉๅบ tianfu)"" in chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
22397,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-Ovr5m7pah,13,3 years ago,"it is not work ,this is life.she is farmer。she is from sichuan.china",这是不起作用的，这是生活。
4246,Ugxay3ltHf9maMEpQLB4AaABAg,12,2 years ago,"one day, i'll definitely visit sichuan.",有一天，我一定会访问四川。
9497,Ugya2UviT7fIgUH5OiZ4AaABAg,11,2 years ago,"sichuan is the country of tianfu.
primitive life, fresh air, innocent girl and of course network.","四川是天府之国，人杰地灵，人才辈出。
Primitive life, fresh air, innocent girl and of course net celebrity."
18912,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92HuzDIZzqo,10,3 years ago,"i also come to beijing in rural sichuan, go to work every morning and go home to sleep at night. sometimes i think, is this a life i want?",我也四川农村，毕业来到北京，每天早上去上班，晚上回家睡觉，有时候在想，这是我想要的生活吗
18737,Ugzsvx9qbHniYFQgvE94AaABAg,10,3 years ago,this is sichuan，where pandas live. so you can see so many bamboos here,这是四川，熊猫居住的地方。因此您可以在这里看到这么多竹子
9294,UgzmIwoVeD_8J-tEgUV4AaABAg,8,2 years ago,sichuan people are so spicy 'great! admire!,四川人辣的好' 厉害!佩服!
19075,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392E5FxqZwBR,7,3 years ago,"yupppp! asian food is so great!!! ps: i am a chinese and there are still sooooo many different food i got to explore and want to eat in the future cuz there are different representative food found in different region, different city... also chinese food is divided into eight big cuisines, or say, eight styles, such as cantonese food, sichuan food, shandong food, etc. (just too much to say about it",yupppp！亚洲美食真棒！！！ PS：我是中国人，仍然有很多不同的食物要探索并想在将来吃饭，因为在不同地区有不同的代表性食物，不同的城市……也将中国食品分为八种大美食或说八种款式，例如粤菜，四川食物，山东食物等（关于它的话太多了）和您的旅行好运！
4856,UgzA1_JT30Whgirkezd4AaABAg,7,2 years ago,"come on, a great sichuan girl!",加油，棒棒的川妹儿！
30231,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38ywuI3KClCo,6,3 years ago (edited),"@colin seet,
the sichuan people call their grandmother as her mother -in -law. confirmed with a friend of chongqing.
and her husband's mother directly calls mom.","@Colin Seet ,
四川人把奶奶叫作婆婆。 和一个重庆的朋友确认过。 
而老公的妈妈，直接叫妈。"
27545,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqNf6on3G3,6,3 years ago,apt215 melissa brown it's just your prejudice.this type village is too normal in china and also the lifestyle.if you don't believe just have a visit to yunnan sichuan guizhou hunan province.,APT215梅利莎·布朗（Melissa Brown）只是您的偏见。这种类型的村庄在中国和生活方式都过于正常。如果您不相信只能参观Yunnan Sichuan Guizhou Hunan省。
