,cid,votes,time,含feel,含feel中文翻译
21753,UgwHHw9NsEGyLXeYM3F4AaABAg,1100,3 years ago (edited),"my mom would cook authentic phillipino food every single day without stop, after she lost her battle with cancer about a year ago ive never had the same feeling of just coming home from school to smell the most amazing food ive ever tasted. your videos brings back these memories, the frying of the food sounds the same in your videos, her tossing the food in the wok, the scrapeing of the metal on the pan, i can even smell whats going on through the screen. your videos saved me from ever forgetting her, your videos helped me out through those dark times, though its not phillipino food, the way you cook is so so so similar to my mom’s. thank you for that. (ive also shown these videos to my dad and he also loves them, my entire family is full of cooks so this was a breath of fresh air)",我妈妈每天都会每天煮正宗的菲律宾食物，而大约一年前，她失去了与癌症的斗争后，我从来没有像从学校回家回家的感觉，闻到了有史以来最令人惊叹的食物。您的视频带回了这些记忆，食物的煎炸在您的视频中听起来一样，她在锅中扔食物，锅上的金属刮擦，我什至可以闻到屏幕上发生的事情。您的视频使我免于忘记她，您的视频在那些黑暗的时期帮助了我，尽管它不是菲律宾的食物，但您的烹饪方式与我妈妈的烹饪方式如此相似。谢谢你。 （我还向我的父亲展示了这些视频，他也爱他们，我的整个家庭都充满了厨师，所以这是新鲜空气的呼吸）
31451,UgwUyESYva-00YZisfx4AaABAg,765,3 years ago,1 million views in only 7 hours. i feel so proud of her and i am so happy to see her account grow so much here outside of china.,仅7个小时内的100万次观看次数。我为她感到骄傲，我很高兴看到她的帐户在中国以外的地方如此之多。
3940,UgzddFErU7M5OM42IZ94AaABAg,728,2 years ago,i feel like everything i know about life is wrong. this is what life supposed to look like!,我觉得我对生活的一切都错了。这就是生活应该的样子！
32865,UgxN7NFGjJrEc7efRWd4AaABAg,621,3 years ago,i don't know why but when i get notification of her vedio automatically i feel relax myself all my tensions get away for a while . any one else feels like me then hit like,我不知道为什么，但是当我自动收到她的吠陀通知时，我感到放松自己的所有紧张局势暂时摆脱了一段时间。任何其他人都喜欢我，然后像我一样击中
11006,UgzxCAS0Jrwg6fsStv54AaABAg,459,3 years ago,..and im here feeling tired after changing my bedsheet. how does she have so much energy,..我在更换床单后在这里感到疲倦。她如何有那么多能量
2767,UgyjokKB5kT-vLggUk54AaABAg,427,1 year ago,i feel so attracted to this lifestyle as if it’s how humans are naturally supposed to live,我对这种生活方式感到如此吸引，好像是人类自然应该生活的方式
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
28524,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8ydCu-BAJYr,174,3 years ago,"@franzpeters3824 ""she has nothing to do"" whoa im suprised! then what about me supposed to call i feel bad for myself. ha ha",@franzpeters3824“她无事可做”，哇！那我该怎么称呼我为自己感到难过。哈哈
33384,UgwyyTX_11oSpbqFpYl4AaABAg,139,3 years ago,"3 new videos in a week? 
wow!! i feel like i got a big diamond's ring....
thank you so much for you, grandma and your team's hard work, liziqi....
can't wait for another new video, because your videos always amazed me.
lots of love from indonesia 
❤❤❤","一周内的3个新视频？
哇！！我觉得我有一个大钻石的戒指。
非常感谢您，奶奶和您团队的辛勤工作，Liziqi。
等不及另一个新视频，因为您的视频总是让我惊讶。
来自印度尼西亚的很多爱
❤❤❤"
24279,Ugw6-Fyh1Ixq0BuXkIZ4AaABAg,125,3 years ago,"everytime i watch your video, feels like i'm on the fairytale. the water sound, the animal sound, even the tree when the wind blow it feels so real in my beside",每次我观看您的视频时，都会感觉就像我在童话中。水的声音，动物的声音，甚至在风吹时，在我旁边感觉如此真实
