,cid,votes,含chinese,含chinese中文翻译
12621,UgwT1gDAxj3u5Py3Xn14AaABAg,567,when i get depressed by reading comments full of hatred about china i come here. this is like the most friendly place towards chinese people. thank you liziqi. it has been a hard year to us.,当我阅读充满仇恨的评论时，我来这里。这就像对中国人民最友好的地方。谢谢Liziqi。对我们来说，这是艰难的一年。
29211,UgxcycgGm6xZj9t-Pqt4AaABAg,484,"her videos came to my attention by my 10-year-old daughter, she loved watching her videos on youtube. now we are watching it together and we both are fascinated and awe-inspiring by her works, we are learning mandarin and this video will help us to know a little more about the traditional chinese food etc.",我10岁的女儿引起了我的注意，她喜欢在YouTube上观看视频。现在，我们正在一起观看它，我们俩都对她的作品着迷和令人敬畏，我们正在学习普通话，这段视频将帮助我们更多地了解传统的中国食品等。
29830,UgzwLAANTk5m3qE9Vcp4AaABAg,342,"i am egyptian, i have 14 years. but i believe that the chinese are the best people in the world. i am talking about arabic, but i translate it into chinese and let the chinese understand. i love china and china, and i have been looking forward to all news from this great country in china. this is a very great country.",我是埃及人，我有14年。但我相信中国人是全世界最好的人。我说的是阿拉伯语，但是我把它翻译成中文，让中国人理解。我热爱中国和中国，我一直期待中国这个伟大国家的所有新闻，这是一个非常伟大的国家。
30200,UgzXdzPPTN6NDtHcj2Z4AaABAg,329,"this video shows the most traditional way of chinese making popcorns, oh dear lord, all my childhood memories. ziqi, love you.",该视频显示了我所有童年的回忆，最传统的中国人制作爆米花的方式。 Ziqi，爱你。
50563,UgyIf9B7LC3o_ShFBdJ4AaABAg,312,"chinese traditional snacks for the chinese new year 


chinese sugar-coated fruit 
spicy beef jerky 
dried mango 
peanut sesame brittle 
roasted chestnuts 
popcorn 
salty sunflower seeds 
fried peanuts 
crispy fried egg roll (egg liquid 50g, milk 120g, plain flour 100g, honey, granulated sugar 50g, corn oil/unsalted butter 50g) 
snowflake crisp (non-stick pan: important, marshmallow 200g, milk powder 130g, cranberry, chestnuts, cookies, dried strawberries, corn oil/unsalted butter 40g. the ratio of marshmallow, milk powder and butter is so important. the crisp will not be so hard or too soft, but chewy at the right ratio. )","春节中国传统小吃


中国糖衣的水果
辣牛肉干
干芒果
花生芝麻脆
烤栗子
爆米花
咸向日葵种子
炸花生
脆皮炸鸡蛋卷（鸡蛋液体50克，牛奶120克，普通面粉100克，蜂蜜，糖50克，玉米油/无盐黄油50克）
雪花酥脆（不粘锅：重要，棉花糖200克，奶粉130克，酸果蔓，栗子，饼干，干草莓，玉米油/无盐黄油40克。棉花糖，奶粉和黄油的比例很重要。酥脆不会如此坚硬或太软，但以正确的比例耐嚼。）"
50189,UgzC_AYMc9iKQDw54AR4AaABAg,235,"happy chinese new year.
happy new year!","Happy Chinese New Year.
新年快乐！"
33566,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28vPknnEU98G,226,j o jaaaโ€ฆ cuz itโ€s chinese new yearโ€ฆ she needs celebration and so do we โ€ฆ one thing is not enough,J o jaaa…因为春节新年……她需要庆祝活动，我们也需要……一件事还不够
31186,UgxBPmGw0xIG1aIl6ZF4AaABAg,225,"as a chinese,i am really happy to see people from different countries appreciate and love ziqi's video.",作为中国人，我真的很高兴看到来自不同国家的人们欣赏并喜欢Ziqi的视频。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
39844,UgyO3Z2tzQA_VEFvmVN4AaABAg,218,"his name is li ziqi. she was orphaned since an early age, so she was raised by her grandparents.


he moved to the city and lived there for a while since he was 14 years old he had to work as a waitress and then had the opportunity to work as dj, but when his grandfather died, he returned to the field to take care of his grandmother. especially she was the one who raised her.


now load videos in weibo, a chinese platform, since people in china do not have access to youtube or facebook, etc. and his fans raise their videos on youtube so that the other part of the world can enjoy this beauty.


here is an edition to answer your questions:


1-this is an official youtube account and she benefits from this account but is not sure of the other channels.


2 - it used to produce its content alone, but after receiving recognition she began working with a small team to help her photograph, but i think she is not pretending the way she lives.


3-vive in sichuan (china).


i translated it from another message, so that people who do not understand english very well, or just prefer to read it in spanish, or many more reasons. you are welcome! :^




ps: thank you for reading it, i wait for my likes! > :, 3","他的名字叫李齐。她从小就开始孤儿院，所以她是由祖父母抚养长大的。


他搬到这座城市，从14岁起就在那里住了一段时间，他必须担任女服务员，然后有机会担任DJ，但是当他的祖父去世时，他回到野外照顾他祖母。特别是她是抚养她的人。


现在，在中国平台上加载视频，因为中国的人们无法访问YouTube或Facebook等。他的粉丝在YouTube上提出了视频，以便世界的另一部分可以享受这种美丽。


这是回答您的问题的版本：


1-这是一个YouTube官方帐户，她从该帐户中受益，但不确定其他渠道。


2-它曾经单独生产其内容，但是在得到认可之后，她开始与一支小型团队一起帮助她的照片，但我认为她没有假装自己的生活方式。


3-Vive在四川（中国）。


我从另一条消息中翻译了它，以便那些不太了解英语的人，或者只是更喜欢用西班牙语阅读或更多原因。不客气！ ：^




PS：谢谢您阅读，我等待我的喜欢！ >：，3"
17462,UgwjwUJ64AMEJt0Mruh4AaABAg,203,"see how they treat their parents ,grand parents...they respect them most.....what a beautiful country.....what a beautiful life........i love china 
i wish i would be a chinese guy .....love you guys ,.love your country, truly from the bottom of my heart....thank you","看看他们如何对待父母，祖父母...他们最尊重他们.....多么美丽的国家.....多么美好的生活........我爱中国
我希望我会成为一个中国人.....爱你们，爱你的国家，真的是我心底的。"
50888,UgxmG2wdFYPjiTnHSth4AaABAg,176,"happy chinese new year beautiful lady and to popo 

i'm so inlove with all your videos... well done","春节快乐美丽的女士和popo

我对你所有的视频都很热爱...做得好"
52519,UgwbP6W2HBDiHTTV3UV4AaABAg,171,i want to wish you happy chinese year,我想祝你中国快乐
47849,UgwWCOWPTTkmpP0vtDJ4AaABAg,167,happy chinese new year am from ethiopia,埃塞俄比亚的农历新年快乐
23051,UgzMYMnXeYDQoDa9XcB4AaABAg,157,"melon=็“๏ผseed=ๅญ. melon seeds(็“ๅญ)is a joint name for the kind of chinese snacks that are made of seeds, including baked sunflower seeds, baked pumpkin seeds, watermelon seeds etc.",瓜=瓜，种子=子。瓜子（瓜子）是由种子制成的中国小吃的联合名称，包括烤葵花籽，烤南瓜种子，西瓜种子等。
28148,UgxV6wwjOWPppmiiUF54AaABAg,139,so happy to see that so many people in the world love chinese traditional culture.,很高兴看到世界上有这么多人喜欢中国传统文化。
24364,Ugzpl0UNkc7Sdjcaac94AaABAg,136,these foods are seriously made me feel want to celebrate chinese new year,这些食物很认真地让我觉得想庆祝农历新年
51686,UgxYasu9FDqzWgUHqsl4AaABAg,134,"happy chinese new year 

","春节快乐

"
7585,UgzxlPsU44VpexDLA5F4AaABAg,133,"li ziqi, and your family, and other chinese people, happy chinese new year! this video was very amazing!",Li Ziqi，您的家人和其他中国人，新年快乐！这个视频非常了不起！
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
47987,UgwLW4o1hqOj1Kt0IX14AaABAg,130,happy chinese new year,春节快乐
35014,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8v5NldAD9mJ,127,โ€ @therewasnochill8997 i l just want taugh at your stupidity. it can be said that your education is not necessarily as high as her. she just chose to escape the big city after experiencing all kinds of life.chinese women usually have no access to higher education๏ผhahahaha this is the biggest joke i have heard this year.,@thenwasnochill8997我我只想taugh以你的愚蠢。可以说，您的教育不一定像她那样高。她只是在体验各种生活后选择逃避这座大城市。中国妇女通常无法接受高等教育。
46170,UgwmcXaCHC83nLj3DVJ4AaABAg,126,happy chinese new year❣ thank you very much for the beauty❣❣❣ with love from russia❣❣❣,春节快乐❣非常感谢您的美女❣❣❣俄罗斯的爱
2605,UgxKWc0pdUtmQe_MPll4AaABAg,124,"the chinese countryside is just wow. this lady is awesome, besides, her cheerfulness seeps to us while watching her. keep it up",中国乡村真是太哇了。此外，这位女士很棒，她的开朗在看着她时渗入我们。保持
48260,UgwBblU4QoNakBytV7p4AaABAg,124,"dear ziyi, you bring hold to people on economic! no wars, face, point, disease and sorrow if everyone learns to be loving and self-sufficient like you. you're an e ncyclopedia for us to standy forever:) happy chinese new year from eagle mountain, utah, usa.
dear ziyi, you bring hope to world peace.
if everyone learns love and self -sufficiency like you, war, famine, poverty, disease and sadness will completely disappear. you are our eternal encyclopedia:)
happy new year-greetings from yingshan, utah, usa.","Dear 子柒, you bring hope to Peace on Earth ! No wars, famine, poverty, disease and sorrow if everyone learns to be loving and self-sufficient like you. You're an encyclopedia for us to study forever : ) Happy Chinese New Year from Eagle Mountain, Utah, USA. 
亲爱的子柒，你为世界和平带来希望。 
如果每个人都像你一样学会爱和自足，战争、饥荒、贫穷、疾病和悲伤将彻底消失。你是我们永远的百科全书 : ) 
新年快乐--来自美国犹他州老鹰山的问候。"
27179,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zL_6J0T1Q_,122,"i am chinese and i am working in vn, come on, do what you want to do",我是中国人，我正在VN工作，来吧，做你想做的事
27721,UgzccLbaP8YfTilsZcF4AaABAg,117,"this is my favourite video by ziqi so far, it has such a comforting effect, reminds me of spending chinese new year at home with my family.",到目前为止，这是我最喜欢的Ziqi视频，它具有如此舒适的效果，使我想起了与家人一起度过农历新年。
52326,UgyXY00bdu8Z3KpM2ZN4AaABAg,114,"leave a name, i wish all the chinese pigs a happy year, their own blessings, healthy and peaceful!",留个名，祝所有华人猪年快乐，各有其福，健康平安！
44961,UgxF6fHp5nG5Nh5CLnp4AaABAg,97,"who said french cuisine is the best ? chineses is far better, healthier and richer. am french.",谁说法国美食是最好的？ Chineses更好，更健康，更丰富。是法国人。
51691,UgzJF68EYULJZmn7f5l4AaABAg,97,happy chinese new year my motivated girl ❤❤❤ wish you luck in your life.,春节快乐，我的积极进取的女孩❤❤❤祝你一生好运。
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
47388,UgyPAmvkUntYoit6SJJ4AaABAg,90,happy chinese newyear. say hi to your lovely grandma.,快乐中纽约。对你可爱的祖母打招呼。
50817,UgwdLVx_bOeWhbHnmYR4AaABAg,90,fantastic fantastic fantastic really i liked this video and your cook all your cook in fact this life so amazing and wonderful life too thanks my dear for sharing and happy chinese new year-- greetings,神奇太棒了，真是我真的很喜欢这个视频，而且您的厨师实际上是如此，这是如此美好而美好的生活，感谢我的亲爱的分享和春节快乐 - 问候
45779,Ugw5E_fX8RAn-9bIRsx4AaABAg,87,happy chinese spring festival to you and your grand mother (love u grand maa),中国春节快乐给您和您的祖母（Love U Grand Maa）
49215,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8qmkfWvd8Yr,84,she is doing many things in a traditional way. for instance the black machine that she use to make the popcorn is a traditional chinese machine which is hardly seen in big cities in china. and the sugar hawthorn which is is also fabulous is a food in the memory of childhood.,她以传统方式做很多事情。例如，她用来制作爆米花的黑色机器是一种传统的中国机器，在中国的大城市几乎看不到。而且，也很棒的糖山楂是纪念童年的一种食物。
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
34141,UgwwsJPvwbrWOMAkqUF4AaABAg,77,"it was all the traditional memories and things that i could not see in today's impetuous society. it was shocked that so many foreigners liked and commented. seeing li zizhen's announcement video learned that many foreigners did not know that this was china. i do nโ€t know that li ziyi is the chinese. let them also see that china is not just a world factory, not only haze and industry ... we also have inheritance and good life. let them see chinese characters comment! welcomed to china",全是传统的小时候的回忆和当今浮躁的社会看不到的东西，很震惊有这么多外国人点赞和评论，看到李子柒的申明视频得知，老外有很多并不知道这是中国，不知道李子柒是中国人
48806,UgyHuwpbOpHWwevzdEh4AaABAg,76,happy chinese new year,春节快乐
50202,UgxTXDY2WzPeajjE1TV4AaABAg,76,happy chinese new year!! this video is awesome. god bless you and your family.,农历新年快乐！该视频很棒。上帝保佑你和你的家人。
32600,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vt7B78NnH8,72,"the video reminds me of my childhood, many chinese people used to live a life like that!",该视频使我想起了我的童年，许多中国人曾经过上这样的生活！
41123,UgzonIYreStf3b2FWBp4AaABAg,70,"young people in contemporary china should return to their own culture. modern chinese young people have more than westernized, and they have reached the point of flooding. those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. the customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
51500,Ugw11-qq_fElFiXqNZZ4AaABAg,63,happy chinese new year! don't forget to invite me,农历新年快乐！别忘了邀请我
48671,UgwfR-8XXg2vnDU4RTd4AaABAg,63,happy chinese new year,农历新年快乐
35615,Ugxq5AogYh16tQtSC-x4AaABAg,63,"foreign friends seem to have fallen, and they can't read chinese at all.",外国友人们好像沦陷了，根本翻不到中文评论了哈哈哈
21436,Ugx0WRbXZM6j3OugXxZ4AaABAg,62,"so proud of being a chinese, and being immersed in such culture.",如此自豪地成为中国人，并沉浸在这种文化中。
48076,UgzQ0ZHjeB3O_R4NCvV4AaABAg,58,happy chinese new year . from viet nam,农历新年快乐。来自越南
23622,UgyjieguoxUFGm8Jkfp4AaABAg,58,"ziyi, come on! it's too difficult to find a sentence in chinese!",子柒加油呀！找句中文评论可太难啦！
6082,Ugy7-7XUg_03pMGLvSx4AaABAg,56,this video finally broke through 90 million viewing volume! 100 million people are just around the corner. no one can surpass her in the influence of chinese all over the world. it is not an exaggeration to call the chinese first woman. she is the general representative of the top 100 billion chinese in the world and is well deserved.,本视频终于突破了九千万观看量！一亿人次指日可待。全世界华人影响力没有人能超过她，称之为华人第一女性绝不为过，她是全世界十几亿华人的总代表，当之无愧。
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
45196,UgwkDPqmPWCWdXCPOo14AaABAg,55,beautiful girl and chinese culture ❤️,美丽的女孩和中国文化❤️
14512,UgyJkhMiaXH04REetKp4AaABAg,55,"girl zi, you are great! your video is exquisite and real, which inspires my memories as the chinese. for thousands of years, our ancestors have been diligent and capable like you, and they are working hard, sunrise, and chunhua qiu shi ... i hope that the chinese can return to the original origin of life. one day, oriental civilization returns.",子柒姑娘，你太棒了! 你的视频精致而又真实，激发了我作为中国人的回忆。几千年来，我们的祖祖辈辈就是象你这样勤劳、能干，日出而作，春华秋实…… 希望中国人能回归生活的本原，有朝一日，东方文明回归。
49842,UgwjeVj4yhpd281--314AaABAg,55,"happy chinese new year li ziqi. you're amazing and talented
love from philippines","农历新年快乐李齐。你很棒，才华横溢
来自菲律宾的爱"
