,cid,votes,time,含fake,含fake中文翻译
21597,UgxmqdZOcxxK0Zco7ld4AaABAg,57,3 years ago,i think about how much fake food i eat and how weak i always feel... this almost makes me cry. someday i'm going to live like this too. its beautiful.,我想到我吃了多少假的食物，以及我总是感到多么虚弱……这几乎使我哭泣。总有一天，我也会像这样生活。很美丽。
17443,UgyxjCNw7PcHy00mFTh4AaABAg,45,3 years ago,now that is real chinese food not the fake stuff i just ordered.,现在，这是真正的中国食品，而不是我刚刚订购的假物品。
19939,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91S5fCNXtd0,37,3 years ago,"your name says it all :) but in all seriousness i agree. people say it’s all for money yet how do they know? are they liziqi? no. so they can’t say wether or not it’s fake and anyway she does it for her grandma (whose ill) i’ve seen some people say her products are over priced, but she took several hours of her day to prepare the food. so thank you for your comment.",您的名字说明了一切:)，但我同意，但我同意。人们说这一切都是为了钱，他们怎么知道？他们是liziqi吗？否。 。因此，谢谢您的评论。
15380,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss940kXrtZsuM,24,3 years ago,"strait arrow nmsl, your whole life is fake, so your dead brain could never believe anything in china is real",海峡箭头NMSL，您的一生都是假的，所以您的死脑永远无法相信中国的任何东西是真实的
2790,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UYfiO3-g3B,16,1 year ago,"@lxixi2105 actually no. she actually used to be a dj but when her mum and dad died she went back to the country to live with her grandma. she then started doing what see is doing now. she decided to put it on youtube and as her channel grew more popularity she hired a filming crew. nothing here is fake, and if you think about it how can someone fake doing something even though they are actually doing it",@lxixi2105实际上没有。她实际上曾经是DJ，但是当她的妈妈和爸爸去世时，她回到乡下和奶奶住在一起。然后，她开始做现在正在做的事情。她决定将其放在YouTube上，随着她的频道越来越受欢迎，她雇用了一名拍摄人员。这里没有什么是假的，如果您考虑一下，即使有人实际上在做
16785,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92znD8m4jum,13,3 years ago (edited),"it's because the rural areas in china are nothing like this. if you go, the reality actually looks quite decrepit, and you will see lots of poverty and trash everywhere. you also have to shit in an outhouse in a pit with no running water. she doesn't show that. the videos are heavily edited to make them beautiful. even the vegetation. she probably uses her youtube money and hires landscapers to grow all that for her videos.

i'm just providing an explanation for why some people might hate this because it's not accurate depiction of reality. i still appreciate it because it's beautiful art even if it's fake.","这是因为中国的农村地区与众不同。如果您走了，现实实际上看起来很破旧，您会看到许多贫穷和垃圾。您还必须在没有自来水的坑里的外屋里屎。她没有表明。这些视频经过大量编辑，以使其美丽。甚至植被。她可能会用YouTube的钱，并雇用园丁来为自己的视频发展所有这些。

我只是为为什么有人可能讨厌这一点提供了解释，因为这不是对现实的准确描述。我仍然很感激它，因为它是美丽的艺术，即使它是假的。"
2780,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9S_eo9R1QtG,8,1 year ago,cuz she is a actress. all fake,因为她是一名女演员。都是假的
21804,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-nFLrv2UdE,8,3 years ago,@thegggttt did you ever come to china or know about chinese??? i am assuming that your answer is not. so how dare you insult china by the fake news? you stupid troll who just trust what you want to trust.傻逼玩意儿,@TheGGGTTT您是来中国还是知道中文？？？我假设您的答案不是。那么，假新闻您怎么敢侮辱中国呢？你愚蠢的巨魔，谁只是相信你想信任的东西。
11403,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97v18fuVoNF,6,3 years ago (edited),"logicone did you even know what a weeb is? people like you? lol 

haters like you are always haters as you only believe what you think so. she does it successfully and somehow show us the beautiful parts of china ( and of course that won’t be the whole of this nation). of course the authority would like to take advantage of it and why won’t they? did she even mention anything good about china in any of her videos? no. she only shows her works and people like them. that’s all. 

you didn’t see how her works started to go viral from the scratch in the past because of her diligence but only see she makes lots of money now because of these elaborate works. what a shame! 

well, since you have used the term “propaganda”, i somehow understand now. you might be just one fo the haters against china, which making you think whatever comes from china is a fake, especially when the authority of china also admires them. i have no issues about that. it’s ok. it’s your freedom. but, don’t claim you did the research. liar!","逻辑您甚至知道WEEB是什么？人们喜欢你吗？哈哈

像您这样的仇恨者永远是仇恨者，因为您只相信自己的想法。她成功地做到了这一点，并以某种方式向我们展示了中国的美丽地区（当然，这不是这个国家的整个国家）。当然，当局想利用它，为什么不这样做？她甚至在任何视频中都提到了关于中国的任何好处吗？不，她只会展示她的作品和喜欢他们的人。就这样。

由于她的勤奋，您看不到她的作品过去如何从划痕开始流行，但只能看到她现在赚了很多钱，因为这些精致的作品。真丢脸！

好吧，由于您已经使用了“宣传”一词，所以我现在以某种方式了解。您可能只是仇恨中国的人，这使您认为来自中国的任何东西都是假的，尤其是当中国的权威也钦佩他们时。我没有问题。没关系。这是你的自由。但是，不要声称您进行了研究。说谎者！"
14275,Ugw7EVgsYqtHm2tVH1d4AaABAg,4,3 years ago,"to people who think this is all fake: she was a online store owner selling agricultural products on alibaba, and in the beginning she films her everyday life in order to promote sales. her videos became popular very soon, so she shut the online store and became a professional youtuber, and hired a small filming team to shoot and edit the videos. there are millions more videos with similar or higher quality in china uploaded by individuals, so please stop arguing everything is fake and produced by the government authorities.",对于那些认为这都是假的人来说：她是一家在线商店的所有者，在阿里巴巴销售农产品，一开始，她拍摄了自己的日常生活以促进销售。她的视频很快就开始流行，因此她关闭了在线商店并成为专业的YouTuber，并雇用了一支小型拍摄团队来拍摄和编辑视频。中国上载的中国有数百万个具有相似或更高质量的视频，因此请停止争论一切都是假的，并且由政府当局制作。
